# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00199e-05 to 7.67956 h/Mpc,
# number of wavenumbers equal to 607
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2              8:-T_tot_no_scf/k2   
       1.001989208876e-05       2.136105056003e+07       2.136105006872e+07       2.846639341451e+07       2.846605990972e+07       2.135610156648e+07       5.994831152406e+06       2.136302048535e+07 
       2.270702571531e-05       2.136092563599e+07       2.136092301847e+07       2.840423912559e+07       2.840252923251e+07       2.135579793269e+07       5.994790821393e+06       2.136287676301e+07 
       3.543673948395e-05       2.136070176370e+07       2.136069539073e+07       2.829374983395e+07       2.828959779945e+07       2.135525555662e+07       5.994718621786e+06       2.136261947472e+07 
       4.824225650947e-05       2.136037660392e+07       2.136036475741e+07       2.813448604558e+07       2.812682404645e+07       2.135446931211e+07       5.994613854430e+06       2.136224612901e+07 
       6.115732709957e-05       2.135994829001e+07       2.135992925148e+07       2.792574411386e+07       2.791350045847e+07       2.135343317380e+07       5.994475934284e+06       2.136175464103e+07 
       7.421652074123e-05       2.135941285802e+07       2.135938481346e+07       2.766655970233e+07       2.764865685444e+07       2.135213739041e+07       5.994303660427e+06       2.136114073121e+07 
       8.745552707832e-05       2.135876540470e+07       2.135872657352e+07       2.735571745719e+07       2.733107140012e+07       2.135056976866e+07       5.994095552817e+06       2.136039912531e+07 
       1.009114697762e-04       2.135799974550e+07       2.135794816292e+07       2.699176175293e+07       2.695928219535e+07       2.134871485248e+07       5.993849739650e+06       2.135952315301e+07 
       1.146232371989e-04       2.135710849481e+07       2.135704204485e+07       2.657301358071e+07       2.653160503777e+07       2.134655408806e+07       5.993563993559e+06       2.135850487692e+07 
       1.286318338573e-04       2.135608275891e+07       2.135599944782e+07       2.609759130284e+07       2.604615740278e+07       2.134406554639e+07       5.993235658954e+06       2.135733483364e+07 
       1.429807565981e-04       2.135491219709e+07       2.135480960304e+07       2.556344420883e+07       2.550089104251e+07       2.134122291994e+07       5.992861630140e+06       2.135600195580e+07 
       1.577163994619e-04       2.135358464475e+07       2.135346037965e+07       2.496839262932e+07       2.489363843780e+07       2.133799584337e+07       5.992438299211e+06       2.135449338633e+07 
       1.728884910013e-04       2.135208603464e+07       2.135193740734e+07       2.431018809912e+07       2.422217429079e+07       2.133434866660e+07       5.991961498202e+06       2.135279427238e+07 
       1.885505675555e-04       2.135040004361e+07       2.135022424431e+07       2.358659224268e+07       2.348429925002e+07       2.133024018945e+07       5.991426431844e+06       2.135088752562e+07 
       2.047604854459e-04       2.134850788620e+07       2.134830186364e+07       2.279548422486e+07       2.267795040886e+07       2.132562265034e+07       5.990827612096e+06       2.134875358900e+07 
       2.215809741820e-04       2.134638794568e+07       2.134614834970e+07       2.193499373032e+07       2.180134627502e+07       2.132044081997e+07       5.990158767862e+06       2.134637011498e+07 
       2.390802314115e-04       2.134401538669e+07       2.134373863767e+07       2.100368719069e+07       2.085317411634e+07       2.131463105461e+07       5.989412756395e+06       2.134371164980e+07 
       2.573325583201e-04       2.134136172682e+07       2.134104394469e+07       2.000079263669e+07       1.983282811083e+07       2.130811990934e+07       5.988581452996e+06       2.134074924047e+07 
       2.764190312837e-04       2.133839432012e+07       2.133803133486e+07       1.892648792257e+07       1.874070755472e+07       2.130082275914e+07       5.987655631821e+06       2.133745000996e+07 
       2.964282014950e-04       2.133507591322e+07       2.133466301642e+07       1.778225844950e+07       1.757858243470e+07       2.129264201898e+07       5.986624855240e+06       2.133377676293e+07 
       3.174568087376e-04       2.133136379367e+07       2.133089614283e+07       1.657131439139e+07       1.635003084908e+07       2.128346566098e+07       5.985477299232e+06       2.132968736356e+07 
       3.396104880923e-04       2.132720944788e+07       2.132668163547e+07       1.529909181230e+07       1.506094582882e+07       2.127316464847e+07       5.984199653201e+06       2.132513437847e+07 
       3.630044388118e-04       2.132255754283e+07       2.132196394814e+07       1.397380144333e+07       1.372009732953e+07       2.126159106975e+07       5.982776914849e+06       2.132006434579e+07 
       3.877640126101e-04       2.131734548297e+07       2.131667996288e+07       1.260700602725e+07       1.233971687233e+07       2.124857528218e+07       5.981192275923e+06       2.131441736799e+07 
       4.140251641234e-04       2.131150239630e+07       2.131075864978e+07       1.121416846358e+07       1.093604325804e+07       2.123392361948e+07       5.979426911938e+06       2.130812636258e+07 
       4.419346895865e-04       2.130494877535e+07       2.130412011033e+07       9.815074597368e+06       9.529730849894e+06       2.121741542725e+07       5.977459881623e+06       2.130111670375e+07 
       4.716501617397e-04       2.129759557797e+07       2.129667527487e+07       8.433989162718e+06       8.145972117150e+06       2.119880067369e+07       5.975267913097e+06       2.129330546043e+07 
       5.033394514367e-04       2.128934410722e+07       2.128832537277e+07       7.099357306453e+06       6.814135872271e+06       2.117779747734e+07       5.972825321806e+06       2.128460110389e+07 
       5.371797123992e-04       2.128008572374e+07       2.127896198122e+07       5.842810592958e+06       5.566679232742e+06       2.115409043443e+07       5.970103863624e+06       2.127490298426e+07 
       5.733556995637e-04       2.126970200959e+07       2.126846722841e+07       4.697244701918e+06       4.437087408591e+06       2.112732966434e+07       5.967072626270e+06       2.126410094360e+07 
       6.120572994312e-04       2.125806571665e+07       2.125671461303e+07       3.693781915521e+06       3.456667693236e+06       2.109713129051e+07       5.963698044937e+06       2.125207537162e+07 
       6.534761796116e-04       2.124504164684e+07       2.124357021470e+07       2.857638473248e+06       2.650226344904e+06       2.106307954972e+07       5.959943836700e+06       2.123869697192e+07 
       6.978015207800e-04       2.123048885604e+07       2.122889467185e+07       2.203253850652e+06       2.031032793077e+06       2.102473131765e+07       5.955771223217e+06       2.122382755554e+07 
       7.452148812178e-04       2.121426272849e+07       2.121254556495e+07       1.729580569163e+06       1.596017031307e+06       2.098162313277e+07       5.951139161315e+06       2.120732086258e+07 
       7.958843599427e-04       2.119621844897e+07       2.119438049924e+07       1.416990334843e+06       1.322741238867e+06       2.093328147142e+07       5.946005065558e+06       2.118902513697e+07 
       8.499583582084e-04       2.117621409095e+07       2.117426036932e+07       1.227634057599e+06       1.170051025294e+06       2.087923580254e+07       5.940325732845e+06       2.116878642117e+07 
       9.075593696435e-04       2.115411482607e+07       2.115205327788e+07       1.110847118787e+06       1.084013689919e+06       2.081903488403e+07       5.934058965282e+06       2.114645433927e+07 
       9.687783266790e-04       2.112979666083e+07       2.112763800130e+07       1.013888180810e+06       1.009364086074e+06       2.075226501270e+07       5.927165489256e+06       2.112188893579e+07 
       1.033670063279e-03       2.110315042714e+07       2.110090781717e+07       8.959301075157e+05       9.041747876850e+05       2.067856977388e+07       5.919611208194e+06       2.109496870378e+07 
       1.102250397546e-03       2.107408542125e+07       2.107177371179e+07       7.404771136696e+05       7.526424439848e+05       2.059766953803e+07       5.911369211923e+06       2.106559774585e+07 
       1.174495187796e-03       2.104253297260e+07       2.104016779845e+07       5.599613918998e+05       5.694893637798e+05       2.050937957195e+07       5.902421148000e+06       2.103371066153e+07 
       1.250341492663e-03       2.100844920188e+07       2.100604572911e+07       3.881035806845e+05       3.915515296685e+05       2.041362458872e+07       5.892757373844e+06       2.099927308978e+07 
       1.329690712695e-03       2.097180111492e+07       2.096937282190e+07       2.612958202241e+05       2.580903095798e+05       2.031043410911e+07       5.882371576816e+06       2.096226253694e+07 
       1.412413360962e-03       2.093254155070e+07       2.093009863662e+07       1.975538625559e+05       1.889259039541e+05       2.019992240597e+07       5.871252056649e+06       2.092263731016e+07 
       1.498354949869e-03       2.089077823269e+07       2.088832787464e+07       1.854098722433e+05       1.732114113183e+05       2.008243714825e+07       5.859428334707e+06       2.088050261162e+07 
       1.587342416268e-03       2.084656837327e+07       2.084411360197e+07       1.909865172487e+05       1.770430193677e+05       1.995836656986e+07       5.846914053778e+06       2.083590705720e+07 
       1.679190536064e-03       2.079998944609e+07       2.079752890867e+07       1.799091034899e+05       1.660376826979e+05       1.982818960840e+07       5.833728589472e+06       2.078891969084e+07 
       1.773707880176e-03       2.075113529853e+07       2.074866373904e+07       1.393012254751e+05       1.274785157072e+05       1.969245561339e+07       5.819897707698e+06       2.073963232926e+07 
       1.870702002265e-03       2.070011239934e+07       2.069762124152e+07       8.360584838738e+04       7.562994651715e+04       1.955176210106e+07       5.805452936555e+06       2.068815732525e+07 
       1.969983692183e-03       2.064703670079e+07       2.064451528125e+07       3.979219137092e+04       3.639205674556e+04       1.940673247155e+07       5.790429511682e+06       2.063462024584e+07 
       2.071370253505e-03       2.059203117618e+07       2.058946775406e+07       2.424071931257e+04       2.437151625044e+04       1.925799507284e+07       5.774863832802e+06       2.057915080668e+07 
       2.174687856039e-03       2.053522219731e+07       2.053260531258e+07       3.063440702743e+04       3.181700278292e+04       1.910616306322e+07       5.758791514123e+06       2.052187592225e+07 
       2.279773072442e-03       2.047673785473e+07       2.047405723910e+07       3.835289958816e+04       3.806490139050e+04       1.895181874782e+07       5.742247559457e+06       2.046292032926e+07 
       2.386473736182e-03       2.041670449162e+07       2.041395186326e+07       3.225991817439e+04       2.934100327278e+04       1.879549952377e+07       5.725266928051e+06       2.040240860484e+07 
       2.494649263526e-03       2.035524760566e+07       2.035241688216e+07       1.491818875173e+04       9.836530063575e+03       1.863769121884e+07       5.707885681738e+06       2.034046925711e+07 
       2.604170572922e-03       2.029248666795e+07       2.028957409712e+07       7.022201611123e+02      -5.414690510456e+03       1.847881953517e+07       5.690139027790e+06       2.027722775164e+07 
       2.714919717697e-03       2.022853723023e+07       2.022554104318e+07      -5.434908380362e+02      -7.022399232907e+03       1.831925105706e+07       5.672060594774e+06       2.021280392891e+07 
       2.826789327544e-03       2.016351118608e+07       2.016043082993e+07       6.943705002442e+03       1.763305853322e+02       1.815929547300e+07       5.653681760547e+06       2.014730960691e+07 
       2.939681933919e-03       2.009751033482e+07       2.009434604666e+07       1.087093465088e+04       4.046855319594e+03       1.799920396841e+07       5.635030367617e+06       2.008084400249e+07 
       3.053509236159e-03       2.003063560974e+07       2.002738750928e+07       4.545216479197e+03      -1.085170644985e+03       1.783918325612e+07       5.616134372999e+06       2.001350674011e+07 
       3.168191349678e-03       1.996297637144e+07       1.995964393802e+07      -6.923937505217e+03      -2.116316379569e+03       1.767954007028e+07       5.597019721520e+06       1.994539027584e+07 
       3.283656065040e-03       1.989461812477e+07       1.989119981717e+07      -1.356370402617e+04       1.174859239004e+04       1.752036663107e+07       5.577711165858e+06       1.987658281979e+07 
       3.399838137026e-03       1.982564257019e+07       1.982213548581e+07      -1.170423052956e+04       3.069716024843e+04       1.736174498813e+07       5.558231511842e+06       1.980716564424e+07 
       3.516678615477e-03       1.975612075852e+07       1.975252085060e+07      -6.882336809092e+03       4.094416415812e+04       1.720387444875e+07       5.538600173656e+06       1.973720793270e+07 
       3.634124224360e-03       1.968612237387e+07       1.968242452897e+07      -6.383242497019e+03       3.889537877638e+04       1.704692969147e+07       5.518836314444e+06       1.966677797215e+07 
       3.752126791699e-03       1.961571088932e+07       1.961190951545e+07      -1.097362289522e+04       3.180441180999e+04       1.689105782374e+07       5.498957975159e+06       1.959594005142e+07 
