# Matter power spectrum P(k) at redshift z=0
# for k=1.02044e-05 to 8.08501 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.020442473746e-05       4.965062077144e+01 
       2.287911365461e-05       1.086641688259e+02 
       3.559676028774e-05       1.668435386852e+02 
       4.839049244281e-05       2.247293558408e+02 
       6.129396687505e-05       2.826390944581e+02 
       7.434165989774e-05       3.408167767321e+02 
       8.756916697842e-05       3.994750085629e+02 
       1.010135151914e-04       4.588122766412e+02 
       1.147134924251e-04       5.190219116469e+02 
       1.287099972760e-04       5.802975830601e+02 
       1.430464135700e-04       6.428371857904e+02 
       1.577690134145e-04       7.068459090519e+02 
       1.729273925422e-04       7.725389092151e+02 
       1.885749414189e-04       8.401437690107e+02 
       2.047693550556e-04       9.099028921304e+02 
       2.215731835986e-04       9.820758799420e+02 
       2.390544244198e-04       1.056941939922e+03 
       2.572871544221e-04       1.134802323737e+03 
       2.763521983881e-04       1.215982791709e+03 
       2.963378251557e-04       1.300836061683e+03 
       3.173404578973e-04       1.389744175425e+03 
       3.394653774562e-04       1.483120684919e+03 
       3.628273882212e-04       1.581412512501e+03 
       3.875514041401e-04       1.685101289034e+03 
       4.137728981015e-04       1.794703923449e+03 
       4.416381413454e-04       1.910772084621e+03 
       4.713041416766e-04       2.033890206675e+03 
       5.029381718288e-04       2.164671578103e+03 
       5.367167653650e-04       2.303752053219e+03 
       5.728240514347e-04       2.451780859620e+03 
       6.114493074264e-04       2.609408187827e+03 
       6.527836368302e-04       2.777269153954e+03 
       6.970157348335e-04       2.955964364843e+03 
       7.443267900436e-04       3.146037299384e+03 
       7.948846852973e-04       3.347949494294e+03 
       8.488377931280e-04       3.562054966930e+03 
       9.063087912256e-04       3.788575879009e+03 
       9.673890207149e-04       4.027581561325e+03 
       1.032133943643e-03       4.278973427925e+03 
       1.100560201892e-03       4.542477684169e+03 
       1.172644632681e-03       4.817647170832e+03 
       1.248325375669e-03       5.103872471858e+03 
       1.327504955601e-03       5.400393568523e+03 
       1.410054995174e-03       5.706312979545e+03 
       1.495822051620e-03       6.020708615489e+03 
       1.584634003457e-03       6.342569788801e+03 
       1.676306440509e-03       6.670860123097e+03 
       1.770648608673e-03       7.004544742214e+03 
       1.867468597851e-03       7.342612486253e+03 
       1.966577604093e-03       7.684094230452e+03 
       2.067793221272e-03       8.028075597300e+03 
       2.170941810499e-03       8.373705604076e+03 
       2.275860054274e-03       8.720202993056e+03 
       2.382395831146e-03       9.066855143654e+03 
       2.490408552710e-03       9.413020487514e+03 
       2.599769095863e-03       9.758123440329e+03 
       2.710359446183e-03       1.010165246273e+04 
       2.822072147991e-03       1.044315500767e+04 
       2.934809636466e-03       1.078223297551e+04 
       3.048483508899e-03       1.111853780631e+04 
       3.163013776694e-03       1.145176504021e+04 
       3.278328127214e-03       1.178165259167e+04 
       3.394361214776e-03       1.210797160070e+04 
       3.511053992798e-03       1.243052830500e+04 
       3.628353093674e-03       1.274915494581e+04 
       3.746210259160e-03       1.306371111220e+04 
       3.864581821430e-03       1.337407750164e+04 
       3.983428233219e-03       1.368015835798e+04 
       4.102713644427e-03       1.398187163810e+04 
       4.222405521932e-03       1.427915376911e+04 
       4.342474309104e-03       1.457195309480e+04 
       4.462893121432e-03       1.486023087463e+04 
       4.583637474803e-03       1.514396595781e+04 
       4.704685043096e-03       1.542312914908e+04 
       4.826015442045e-03       1.569771667371e+04 
       4.947610036515e-03       1.596772756694e+04 
       5.069451768637e-03       1.623315966695e+04 
       5.191525004485e-03       1.649402578661e+04 
       5.313815397202e-03       1.675033649956e+04 
       5.436309764749e-03       1.700211085570e+04 
       5.558995980592e-03       1.724937613918e+04 
       5.681862875900e-03       1.749214894944e+04 
       5.804900151933e-03       1.773046241163e+04 
       5.928098301477e-03       1.796434927735e+04 
       6.051448538331e-03       1.819383925148e+04 
       6.174942733929e-03       1.841896723196e+04 
       6.298573360318e-03       1.863977193857e+04 
       6.422333438799e-03       1.885628526489e+04 
       6.546216493598e-03       1.906855186495e+04 
       6.670216510049e-03       1.927661887834e+04 
       6.794327896773e-03       1.948051604682e+04 
       6.918545451462e-03       1.968028717897e+04 
       7.042864329868e-03       1.987597917460e+04 
       7.167280017662e-03       2.006762459901e+04 
       7.291788304889e-03       2.025527561399e+04 
       7.416385262726e-03       2.043898017376e+04 
       7.541067222332e-03       2.061877341201e+04 
       7.665830755565e-03       2.079469782842e+04 
       7.790672657401e-03       2.096680379402e+04 
       7.915589929862e-03       2.113512850867e+04 
       8.040579767334e-03       2.129971851921e+04 
       8.165639543122e-03       2.146061725612e+04 
       8.290766797133e-03       2.161787999983e+04 
       8.415959224585e-03       2.177154119935e+04 
       8.541214665639e-03       2.192163333037e+04 
       8.666531095872e-03       2.206820928348e+04 
       8.791906617517e-03       2.221131604152e+04 
       8.917339451401e-03       2.235098921155e+04 
       9.042827929519e-03       2.248727313370e+04 
       9.168370488182e-03       2.262020779211e+04 
       9.293965661697e-03       2.274983100862e+04 
       9.419612076537e-03       2.287617657012e+04 
       9.545308445944e-03       2.299930861032e+04 
       9.671053564940e-03       2.311924175034e+04 
       9.796846305717e-03       2.323602623594e+04 
       9.922685613359e-03       2.334970053365e+04 
       1.004857050188e-02       2.346028346151e+04 
       1.017450005057e-02       2.356785512892e+04 
       1.030047340056e-02       2.367242352355e+04 
       1.042648975167e-02       2.377402112171e+04 
       1.055254835949e-02       2.387269853147e+04 
       1.067864853266e-02       2.396849199074e+04 
       1.080478963029e-02       2.406142841616e+04 
       1.093097105964e-02       2.415154642562e+04 
       1.105719227393e-02       2.423888482241e+04 
       1.118345277030e-02       2.432348234752e+04 
       1.130975208789e-02       2.440535949473e+04 
       1.143608980611e-02       2.448456191552e+04 
       1.156246554299e-02       2.456112334213e+04 
       1.168887895364e-02       2.463506433341e+04 
       1.181532972884e-02       2.470643904506e+04 
       1.194181759369e-02       2.477527037473e+04 
       1.206834230645e-02       2.484158073291e+04 
       1.219490365732e-02       2.490542585657e+04 
       1.232150146741e-02       2.496681147489e+04 
       1.244813558777e-02       2.502581996063e+04 
       1.257480589842e-02       2.508242976088e+04 
