#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.089687699602e+00       1.550891921352e-05      -1.658059187593e-03      -9.718630841169e-08       3.984428570793e-08       9.961071426984e-08       1.053625293194e-13       1.992214285397e-08      -1.243544390695e-03      -9.718630841168e-08       6.010455566946e-01       6.968739695473e-01      -1.658059187585e-03      -1.457084674705e-07       2.008242325962e-04      -1.243544390706e-03       4.652708954049e-32      -1.659767431877e-03      -1.458587477095e-07       2.010309137967e-04       3.333325969235e-01      -1.652239637325e-10      -8.217821142402e-22 
       7.089687817480e+00       1.550891947468e-05      -1.658059242429e-03      -9.718631323033e-08       3.984428770884e-08       9.961071927210e-08       1.053625381590e-13       1.992214385442e-08      -1.243544431822e-03      -9.718631323030e-08       6.010455566949e-01       6.968739694991e-01      -1.658059242414e-03      -1.457084747240e-07       2.008242392572e-04      -1.243544431845e-03       2.006358022824e-31      -1.659767486762e-03      -1.458587549704e-07       2.010309204646e-04       3.333325969235e-01      -3.304479247416e-10      -2.593641427491e-21 
       7.089687935358e+00       1.550891973585e-05      -1.658059297265e-03      -9.718631804897e-08       3.984428970975e-08       9.961072427437e-08       1.053625469987e-13       1.992214485487e-08      -1.243544472949e-03      -9.718631804892e-08       6.010455566952e-01       6.968739694509e-01      -1.658059297242e-03      -1.457084819775e-07       2.008242459182e-04      -1.243544472983e-03       5.267826665815e-31      -1.659767541647e-03      -1.458587622314e-07       2.010309271324e-04       3.333325969235e-01      -4.956718829677e-10      -5.335607116636e-21 
       7.089688449664e+00       1.550892087532e-05      -1.658059536517e-03      -9.718633907290e-08       3.984429843980e-08       9.961074609949e-08       1.053625855665e-13       1.992214921990e-08      -1.243544652388e-03      -9.718633907279e-08       6.010455566965e-01       6.968739692406e-01      -1.658059536461e-03      -1.457085136248e-07       2.008242749807e-04      -1.243544652472e-03       5.817239705293e-30      -1.659767781112e-03      -1.458587939112e-07       2.010309562247e-04       3.333325969234e-01      -1.216551449054e-09      -2.789114469808e-20 
       7.089688963970e+00       1.550892201480e-05      -1.658059775770e-03      -9.718636009684e-08       3.984430716985e-08       9.961076792461e-08       1.053626241344e-13       1.992215358492e-08      -1.243544831827e-03      -9.718636009666e-08       6.010455566978e-01       6.968739690304e-01      -1.658059775680e-03      -1.457085452720e-07       2.008243040431e-04      -1.243544831962e-03       2.049088555623e-29      -1.659768020576e-03      -1.458588255910e-07       2.010309853169e-04       3.333325969233e-01      -1.937430963165e-09      -6.857728473868e-20 
       7.089689478276e+00       1.550892315428e-05      -1.658060015022e-03      -9.718638112078e-08       3.984431589990e-08       9.961078974974e-08       1.053626627022e-13       1.992215794995e-08      -1.243545011266e-03      -9.718638112053e-08       6.010455566991e-01       6.968739688201e-01      -1.658060014899e-03      -1.457085769193e-07       2.008243331055e-04      -1.243545011451e-03       4.972366943248e-29      -1.659768260041e-03      -1.458588572708e-07       2.010310144092e-04       3.333325969232e-01      -2.658310424446e-09      -1.276803619480e-19 
       7.089689992582e+00       1.550892429375e-05      -1.658060254274e-03      -9.718640214472e-08       3.984432462995e-08       9.961081157487e-08       1.053627012701e-13       1.992216231497e-08      -1.243545190706e-03      -9.718640214441e-08       6.010455567004e-01       6.968739686099e-01      -1.658060254118e-03      -1.457086085666e-07       2.008243621680e-04      -1.243545190940e-03       9.893059731344e-29      -1.659768499506e-03      -1.458588889506e-07       2.010310435015e-04       3.333325969230e-01      -3.379189832597e-09      -2.053014286408e-19 
       7.089691518967e+00       1.550892767555e-05      -1.658060964340e-03      -9.718646454069e-08       3.984435053946e-08       9.961087634865e-08       1.053628157339e-13       1.992217526973e-08      -1.243545723255e-03      -9.718646454017e-08       6.010455567042e-01       6.968739679859e-01      -1.658060964085e-03      -1.457087024911e-07       2.008244484210e-04      -1.243545723637e-03       4.356079464014e-28      -1.659769210203e-03      -1.458589829716e-07       2.010311298430e-04       3.333325969227e-01      -5.518652816011e-09      -5.448369486182e-19 
       7.089693045351e+00       1.550893105734e-05      -1.658061674405e-03      -9.718652693668e-08       3.984437644898e-08       9.961094112245e-08       1.053629301977e-13       1.992218822449e-08      -1.243546255804e-03      -9.718652693597e-08       6.010455567081e-01       6.968739673619e-01      -1.658061674052e-03      -1.457087964156e-07       2.008245346740e-04      -1.243546256335e-03       1.141269950968e-27      -1.659769920900e-03      -1.458590769926e-07       2.010312161845e-04       3.333325969224e-01      -7.658115330934e-09      -1.047652291141e-18 
       7.089694571736e+00       1.550893443914e-05      -1.658062384471e-03      -9.718658933270e-08       3.984440235851e-08       9.961100589628e-08       1.053630446617e-13       1.992220117926e-08      -1.243546788353e-03      -9.718658933179e-08       6.010455567119e-01       6.968739667379e-01      -1.658062384018e-03      -1.457088903401e-07       2.008246209271e-04      -1.243546789032e-03       2.353735995126e-27      -1.659770631597e-03      -1.458591710137e-07       2.010313025261e-04       3.333325969221e-01      -9.797577377353e-09      -1.713752499656e-18 
