# Matter power spectrum P(k) at redshift z=0
# for k=1.00199e-05 to 7.67956 h/Mpc,
# number of wavenumbers equal to 607
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.001989208876e-05       5.245389682608e+01 
       2.270702571531e-05       1.159969172738e+02 
       3.543673948395e-05       1.786287180185e+02 
       4.824225650947e-05       2.409383691326e+02 
       6.115732709957e-05       3.032696383590e+02 
       7.421652074123e-05       3.658860730917e+02 
       8.745552707832e-05       4.290169843249e+02 
       1.009114697762e-04       4.928762873602e+02 
       1.146232371989e-04       5.576722344217e+02 
       1.286318338573e-04       6.236133643454e+02 
       1.429807565981e-04       6.909127007181e+02 
       1.577163994619e-04       7.597130000887e+02 
       1.728884910013e-04       8.303860730693e+02 
       1.885505675555e-04       9.031124458842e+02 
       2.047604854459e-04       9.781525981971e+02 
       2.215809741820e-04       1.055785407549e+03 
       2.390802314115e-04       1.136310717992e+03 
       2.573325583201e-04       1.220051937546e+03 
       2.764190312837e-04       1.307358652554e+03 
       2.964282014950e-04       1.398609225299e+03 
       3.174568087376e-04       1.494213269639e+03 
       3.396104880923e-04       1.594613954008e+03 
       3.630044388118e-04       1.700289891638e+03 
       3.877640126101e-04       1.811756499055e+03 
       4.140251641234e-04       1.929566448860e+03 
       4.419346895865e-04       2.054308984449e+03 
       4.716501617397e-04       2.186607545052e+03 
       5.033394514367e-04       2.327115373187e+03 
       5.371797123992e-04       2.476508458758e+03 
       5.733556995637e-04       2.635475365263e+03 
       6.120572994312e-04       2.804703575077e+03 
       6.534761796116e-04       2.984861897147e+03 
       6.978015207800e-04       3.176579258188e+03 
       7.452148812178e-04       3.380420016063e+03 
       7.958843599427e-04       3.596857173376e+03 
       8.499583582084e-04       3.826244662907e+03 
       9.075593696435e-04       4.068791299840e+03 
       9.687783266790e-04       4.324538472903e+03 
       1.033670063279e-03       4.593344417191e+03 
       1.102250397546e-03       4.874877056694e+03 
       1.174495187796e-03       5.168617011997e+03 
       1.250341492663e-03       5.473870747920e+03 
       1.329690712695e-03       5.789784220492e+03 
       1.412413360962e-03       6.115354623043e+03 
       1.498354949869e-03       6.449561748918e+03 
       1.587342416268e-03       6.791291268676e+03 
       1.679190536064e-03       7.139405917248e+03 
       1.773707880176e-03       7.492774421627e+03 
       1.870702002265e-03       7.850295695969e+03 
       1.969983692183e-03       8.210918146705e+03 
       2.071370253505e-03       8.573653995729e+03 
       2.174687856039e-03       8.937587689082e+03 
       2.279773072442e-03       9.301881278279e+03 
       2.386473736182e-03       9.665774589518e+03 
       2.494649263526e-03       1.002858633920e+04 
       2.604170572922e-03       1.038970746540e+04 
       2.714919717697e-03       1.074859964856e+04 
       2.826789327544e-03       1.110479145536e+04 
       2.939681933919e-03       1.145786657152e+04 
       3.053509236159e-03       1.180746864017e+04 
       3.168191349678e-03       1.215328501741e+04 
       3.283656065040e-03       1.249504844148e+04 
       3.399838137026e-03       1.283253376641e+04 
       3.516678615477e-03       1.316554563901e+04 
       3.634124224360e-03       1.349392504367e+04 
       3.752126791699e-03       1.381753939487e+04 
       3.870642730432e-03       1.413627756108e+04 
       3.989632568551e-03       1.445005141570e+04 
       4.109060525826e-03       1.475879800209e+04 
       4.228894133821e-03       1.506245944128e+04 
       4.349103895675e-03       1.536100326452e+04 
       4.469662982016e-03       1.565440095276e+04 
       4.590546959545e-03       1.594264621200e+04 
       4.711733548945e-03       1.622573065523e+04 
       4.833202409035e-03       1.650366048521e+04 
       4.954934944344e-03       1.677644610824e+04 
       5.076914133519e-03       1.704411338721e+04 
       5.199124376258e-03       1.730667911583e+04 
       5.321551356683e-03       1.756417534553e+04 
       5.444181921306e-03       1.781663483047e+04 
       5.567003969930e-03       1.806409919775e+04 
       5.690006358028e-03       1.830660276817e+04 
       5.813178809308e-03       1.854419490509e+04 
       5.936511837310e-03       1.877692217266e+04 
       6.059996675034e-03       1.900482618120e+04 
       6.183625211694e-03       1.922796780175e+04 
       6.307389935817e-03       1.944638731661e+04 
       6.431283883996e-03       1.966013866599e+04 
       6.555300594659e-03       1.986928634207e+04 
       6.679434066339e-03       2.007387228706e+04 
       6.803678719944e-03       2.027395244342e+04 
       6.928029364611e-03       2.046959619327e+04 
       7.052481166760e-03       2.066084260176e+04 
       7.177029622026e-03       2.084775401258e+04 
       7.301670529760e-03       2.103038646135e+04 
       7.426399969845e-03       2.120880388197e+04 
       7.551214281592e-03       2.138305156058e+04 
       7.676110044501e-03       2.155318574311e+04 
       7.801084060718e-03       2.171928163788e+04 
       7.926133339000e-03       2.188137485456e+04 
       8.051255080067e-03       2.203951728091e+04 
       8.176446663184e-03       2.219379452961e+04 
       8.301705633878e-03       2.234422553488e+04 
       8.427029692667e-03       2.249088973709e+04 
       8.552416684714e-03       2.263383227567e+04 
       8.677864590329e-03       2.277310163800e+04 
       8.803371516223e-03       2.290874998367e+04 
       8.928935687466e-03       2.304082741460e+04 
       9.054555440076e-03       2.316939301916e+04 
       9.180229214183e-03       2.329450783246e+04 
       9.305955547730e-03       2.341618600124e+04 
       9.431733070643e-03       2.353450412944e+04 
       9.557560499458e-03       2.364950587533e+04 
       9.683436632338e-03       2.376123743618e+04 
       9.809360344475e-03       2.386974038616e+04 
       9.935330583818e-03       2.397506876964e+04 
       1.006134636713e-02       2.407727011341e+04 
       1.018740677632e-02       2.417638339786e+04 
       1.031351095505e-02       2.427245936883e+04 
       1.043965810556e-02       2.436552853313e+04 
       1.056584748578e-02       2.445565279422e+04 
       1.069207840658e-02       2.454286949897e+04 
       1.081835022924e-02       2.462721877966e+04 
       1.094466236310e-02       2.470874936336e+04 
       1.107101426341e-02       2.478748605599e+04 
       1.119740542925e-02       2.486348811680e+04 
       1.132383540166e-02       2.493678469413e+04 
       1.145030376188e-02       2.500744040027e+04 
       1.157681012972e-02       2.507545738423e+04 
       1.170335416202e-02       2.514088860295e+04 
       1.182993555124e-02       2.520379154045e+04 
       1.195655402416e-02       2.526420380942e+04 
       1.208320934060e-02       2.532211609828e+04 
       1.220990129236e-02       2.537763392243e+04 
       1.233662970207e-02       2.543075184725e+04 
       1.246339442228e-02       2.548149618995e+04 
       1.259019533451e-02       2.552993109107e+04 
       1.271703234841e-02       2.557607740294e+04 
       1.284390540095e-02       2.561996702327e+04 
       1.297081445575e-02       2.566164002712e+04 
       1.309775950236e-02       2.570111526555e+04 
       1.322474055563e-02       2.573846234986e+04 
       1.335175765518e-02       2.577363631769e+04 
       1.347881086487e-02       2.580672790756e+04 
       1.360590027226e-02       2.583778879908e+04 
       1.373302598824e-02       2.586680355958e+04 
       1.386018814659e-02       2.589380886618e+04 
       1.398738690363e-02       2.591885118070e+04 
       1.411462243788e-02       2.594194382095e+04 
       1.424189494975e-02       2.596312366072e+04 
       1.436920466133e-02       2.598240818321e+04 
       1.449655181610e-02       2.599985119119e+04 
       1.462393667873e-02       2.601544019570e+04 
       1.474789701500e-02       2.602889026842e+04 
       1.475135953495e-02       2.602923691082e+04 
       1.487882069134e-02       2.604124517248e+04 
       1.500632047525e-02       2.605151456919e+04 
       1.513385923469e-02       2.606004786268e+04 
       1.526143733823e-02       2.606687504559e+04 
       1.538905517499e-02       2.607203168719e+04 
       1.551671315456e-02       2.607552806817e+04 
       1.564441170704e-02       2.607740973989e+04 
       1.577215128302e-02       2.607767075638e+04 
       1.589993235360e-02       2.607637359097e+04 
       1.602775541049e-02       2.607350292639e+04 
       1.615562096605e-02       2.606910887615e+04 
       1.628352955336e-02       2.606320309290e+04 
       1.641148172637e-02       2.605580949386e+04 
       1.653947806000e-02       2.604694957010e+04 
       1.666751915030e-02       2.603664565068e+04 
       1.679560561459e-02       2.602491767724e+04 
       1.692373809166e-02       2.601180170866e+04 
       1.705191724195e-02       2.599729437114e+04 
       1.718014374778e-02       2.598142714051e+04 
       1.730841831357e-02       2.596424442470e+04 
       1.743674166606e-02       2.594572185435e+04 
       1.756511455464e-02       2.592592821038e+04 
       1.769353775156e-02       2.590484362930e+04 
       1.782201205225e-02       2.588250880438e+04 
       1.795053827567e-02       2.585892961595e+04 
       1.807911726456e-02       2.583415463020e+04 
       1.820774988587e-02       2.580817345439e+04 
       1.833643703106e-02       2.578100474406e+04 
       1.846517961651e-02       2.575268933508e+04 
       1.859397858391e-02       2.572325297586e+04 
       1.872283490067e-02       2.569265757930e+04 
       1.885174956034e-02       2.566098335557e+04 
       1.898072358310e-02       2.562822760263e+04 
       1.910975801615e-02       2.559439117322e+04 
       1.923885393429e-02       2.555952359878e+04 
       1.936801244034e-02       2.552359331027e+04 
       1.949723466568e-02       2.548668751152e+04 
       1.962652177084e-02       2.544878563212e+04 
       1.975587494599e-02       2.540988775853e+04 
       1.988529541155e-02       2.537001615772e+04 
       2.001478441880e-02       2.532923845595e+04 
       2.014434325046e-02       2.528752362651e+04 
       2.027397322137e-02       2.524488768293e+04 
       2.040367567913e-02       2.520133225461e+04 
       2.053345200478e-02       2.515690623520e+04 
       2.066330361353e-02       2.511163139170e+04 
       2.079323195544e-02       2.506548074534e+04 
       2.092323851622e-02       2.501854728949e+04 
       2.105332481798e-02       2.497075431755e+04 
       2.118349242003e-02       2.492219143259e+04 
       2.131374291971e-02       2.487277162694e+04 
       2.144407795326e-02       2.482266974033e+04 
       2.157449919666e-02       2.477175610603e+04 
       2.170500836656e-02       2.472011131367e+04 
       2.183560722122e-02       2.466774113193e+04 
       2.196629756146e-02       2.461469339758e+04 
       2.209708123166e-02       2.456086184147e+04 
       2.222796012077e-02       2.450635011039e+04 
       2.235893616342e-02       2.445117040390e+04 
       2.249001134093e-02       2.439532432555e+04 
       2.262118768251e-02       2.433889297318e+04 
       2.275246726637e-02       2.428172783274e+04 
       2.288385222093e-02       2.422396514395e+04 
       2.301534472608e-02       2.416568766788e+04 
       2.314694701442e-02       2.410668522390e+04 
       2.327866137258e-02       2.404713901831e+04 
       2.341049014258e-02       2.398700709518e+04 
       2.354243572325e-02       2.392635018967e+04 
       2.367450057163e-02       2.386511342962e+04 
       2.380668720449e-02       2.380341879694e+04 
       2.393899819985e-02       2.374106838745e+04 
       2.407143619860e-02       2.367826569929e+04 
       2.420400390608e-02       2.361496893713e+04 
       2.433670409384e-02       2.355115888630e+04 
       2.446953960132e-02       2.348688530520e+04 
       2.460251333772e-02       2.342215917305e+04 
       2.473562828379e-02       2.335695891831e+04 
       2.486888749385e-02       2.329133209143e+04 
       2.500229409766e-02       2.322528080644e+04 
       2.513585130261e-02       2.315875811335e+04 
       2.526956239573e-02       2.309186688124e+04 
       2.540343074596e-02       2.302451207472e+04 
       2.553745980639e-02       2.295682480267e+04 
       2.567165311663e-02       2.288875643718e+04 
       2.580601430522e-02       2.282030499494e+04 
       2.594054709216e-02       2.275151975882e+04 
       2.607525529152e-02       2.268234427383e+04 
       2.621014281413e-02       2.261279060519e+04 
       2.634521367034e-02       2.254304895192e+04 
       2.648047197298e-02       2.247282870688e+04 
       2.661592194028e-02       2.240246082457e+04 
       2.675156789900e-02       2.233160665869e+04 
       2.688741428768e-02       2.226065321220e+04 
       2.702346565989e-02       2.218925767253e+04 
       2.715972668777e-02       2.211771418083e+04 
       2.729620216556e-02       2.204572669994e+04 
       2.743289701331e-02       2.197366410692e+04 
       2.756981628077e-02       2.190130728764e+04 
       2.770696515138e-02       2.182871786805e+04 
       2.784434894639e-02       2.175583095199e+04 
       2.798197312923e-02       2.168273885384e+04 
       2.811984330993e-02       2.160951335801e+04 
       2.825796524983e-02       2.153606119350e+04 
       2.839634486637e-02       2.146233474806e+04 
       2.853498823816e-02       2.138841318686e+04 
       2.867390161016e-02       2.131442386429e+04 
       2.881309139919e-02       2.124012650117e+04 
       2.895256419951e-02       2.116577266255e+04 
       2.909232678880e-02       2.109121676159e+04 
       2.923238613421e-02       2.101649452463e+04 
       2.937274939881e-02       2.094162505929e+04 
       2.951342394822e-02       2.086667086986e+04 
       2.965441735758e-02       2.079149590168e+04 
       2.979573741873e-02       2.071625782934e+04 
       2.993739214781e-02       2.064091722256e+04 
       3.007938979312e-02       2.056542828450e+04 
       3.022173884334e-02       2.048989576776e+04 
       3.036444803608e-02       2.041442120592e+04 
       3.050752636688e-02       2.033838428612e+04 
       3.065098309859e-02       2.026252872721e+04 
       3.079482777109e-02       2.018657182464e+04 
       3.093907021160e-02       2.011054079656e+04 
       3.108372054538e-02       2.003443592282e+04 
       3.122878920689e-02       1.995842004175e+04 
       3.137428695158e-02       1.988212424298e+04 
       3.152022486817e-02       1.980584829153e+04 
       3.166661439153e-02       1.972954121410e+04 
       3.181346731618e-02       1.965324311038e+04 
       3.196079581047e-02       1.957684731497e+04 
       3.210861243144e-02       1.950047969105e+04 
       3.225693014043e-02       1.942419036765e+04 
       3.240576231948e-02       1.934753900599e+04 
       3.255512278853e-02       1.927107923303e+04 
       3.270502582357e-02       1.919464963053e+04 
       3.285548617563e-02       1.911806311174e+04 
       3.300651909092e-02       1.904148429153e+04 
       3.315814033183e-02       1.896505475816e+04 
       3.331036619927e-02       1.888859808404e+04 
       3.346321355604e-02       1.881209868231e+04 
       3.361669985161e-02       1.873564295870e+04 
       3.377084314818e-02       1.865917639883e+04 
       3.392566214822e-02       1.858267653113e+04 
       3.408117622363e-02       1.850625961199e+04 
       3.423740544643e-02       1.842990901537e+04 
       3.439437062139e-02       1.835350359682e+04 
       3.455209332042e-02       1.827712804524e+04 
       3.471059591910e-02       1.820081878796e+04 
       3.486990163529e-02       1.812451519534e+04 
       3.503003457022e-02       1.804829686503e+04 
       3.519101975194e-02       1.797209700970e+04 
       3.535288318156e-02       1.789594187261e+04 
       3.551565188241e-02       1.781981150533e+04 
       3.567935395221e-02       1.774374479355e+04 
       3.584401861868e-02       1.766769646330e+04 
       3.600967629882e-02       1.759173714156e+04 
       3.617635866195e-02       1.751580433667e+04 
       3.634409869709e-02       1.743996009825e+04 
       3.651293078484e-02       1.736411743070e+04 
       3.668289077423e-02       1.728836323733e+04 
       3.685401606484e-02       1.721264969954e+04 
       3.702634569479e-02       1.713696752509e+04 
       3.719992043495e-02       1.706140062614e+04 
       3.737478288999e-02       1.698585158040e+04 
       3.755097760685e-02       1.691031013470e+04 
       3.772855119130e-02       1.683489555172e+04 
       3.790755243324e-02       1.675956097192e+04 
       3.808803244173e-02       1.668422553147e+04 
       3.827004479038e-02       1.660893437469e+04 
