# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   42       1.225004421973e+03       5.530564928684e-02       0.000000000000e+00       1.728210328769e+00       1.405915567286e-07       1.108735674011e-03      -6.699244102927e-07 
   43       1.242149389468e+03       5.986003488767e-02       0.000000000000e+00       1.666449372282e+00       1.403769206527e-07       1.084760618239e-03      -6.802874313930e-07 
   44       1.259408822552e+03       6.464877203070e-02       0.000000000000e+00       1.595736800441e+00       1.401322752511e-07       1.061424219367e-03      -7.154076670939e-07 
   45       1.276693987231e+03       6.967477994763e-02       0.000000000000e+00       1.516007219037e+00       1.398304205757e-07       1.038610109863e-03      -7.699650026646e-07 
   46       1.294040581906e+03       7.494209332716e-02       0.000000000000e+00       1.426878919639e+00       1.394952470498e-07       1.016481138835e-03      -8.389580649823e-07 
   47       1.311512997812e+03       8.045494706347e-02       0.000000000000e+00       1.327846388523e+00       1.391546059172e-07       9.951956179227e-04      -9.161292830457e-07 
   48       1.329167315225e+03       8.621742595237e-02       0.000000000000e+00       1.218351162707e+00       1.388163920393e-07       9.747780891290e-04      -9.931916405987e-07 
   49       1.347050193745e+03       9.223345963304e-02       0.000000000000e+00       1.097778342548e+00       1.384624658433e-07       9.550954818145e-04      -1.059601186859e-06 
   50       1.365193639916e+03       9.850645712332e-02       0.000000000000e+00       9.655742213307e-01       1.380604986843e-07       9.359418008627e-04      -1.105522617603e-06 
   51       1.383600210229e+03       1.050381052117e-01       0.000000000000e+00       8.216449062386e-01       1.376244414932e-07       9.173943272681e-04      -1.132743246194e-06 
   52       1.402251873432e+03       1.118292351589e-01       0.000000000000e+00       6.660598703550e-01       1.371742804423e-07       8.995569895607e-04      -1.147732847422e-06 
   53       1.421112509371e+03       1.188801331018e-01       0.000000000000e+00       4.989424522796e-01       1.367169771282e-07       8.824504460605e-04      -1.159010543511e-06 
   54       1.440126605266e+03       1.261905180344e-01       0.000000000000e+00       3.204720683509e-01       1.362428815940e-07       8.659987787063e-04      -1.177356981525e-06 
   55       1.459239089693e+03       1.337600428777e-01       0.000000000000e+00       1.308018685862e-01       1.357340512675e-07       8.500807935855e-04      -1.213092462168e-06 
   56       1.478463591118e+03       1.415899938967e-01       0.000000000000e+00      -7.021731813775e-02       1.352039898025e-07       8.347398802257e-04      -1.266183216544e-06 
   57       1.497828852674e+03       1.496819748879e-01       0.000000000000e+00      -2.828256323272e-01       1.346702091466e-07       8.200268975189e-04      -1.332880493458e-06 
   58       1.517358610404e+03       1.580374194764e-01       0.000000000000e+00      -5.072766945933e-01       1.341416217474e-07       8.059338422840e-04      -1.408244905803e-06 
   59       1.537071113076e+03       1.666575894775e-01       0.000000000000e+00      -7.438386878299e-01       1.336163258066e-07       7.923855978698e-04      -1.486031120092e-06 
   60       1.556978642018e+03       1.755435732585e-01       0.000000000000e+00      -9.927954393913e-01       1.330791880134e-07       7.792313336373e-04      -1.558568395993e-06 
   61       1.577089379514e+03       1.846956637562e-01       0.000000000000e+00      -1.254380425169e+00       1.325099152088e-07       7.663015195597e-04      -1.618463804890e-06 
   62       1.597414590376e+03       1.941113330934e-01       0.000000000000e+00      -1.528559023210e+00       1.319180107649e-07       7.536226849033e-04      -1.664679568508e-06 
