# Matter power spectrum P(k) at redshift z=0
# for k=1.03056e-05 to 8.30345 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030557643787e-05       4.833328761161e+01 
       2.299222992864e-05       1.052775173258e+02 
       3.572219980657e-05       1.614256727567e+02 
       4.852870942129e-05       2.172984794168e+02 
       6.144551561813e-05       2.732035112526e+02 
       7.450720075993e-05       3.293780322180e+02 
       8.774947382247e-05       3.860293174883e+02 
       1.012094844577e-04       4.433512928864e+02 
       1.149261539486e-04       5.015331982117e+02 
       1.289405270128e-04       5.607649216489e+02 
       1.432961484212e-04       6.212407977373e+02 
       1.580394683577e-04       6.831057462120e+02 
       1.732202803024e-04       7.466737145574e+02 
       1.888921949243e-04       8.121224404703e+02 
       2.051131529334e-04       8.796911259092e+02 
       2.219459789539e-04       9.496362349546e+02 
       2.394589771179e-04       1.022233883020e+03 
       2.577265670338e-04       1.097782247720e+03 
       2.768299558598e-04       1.176603982194e+03 
       2.968578381093e-04       1.259048595875e+03 
       3.179071092313e-04       1.345494700751e+03 
       3.400835715870e-04       1.436352024870e+03 
       3.635026018488e-04       1.532063013300e+03 
       3.882897368149e-04       1.633103814208e+03 
       4.145811201025e-04       1.739984358500e+03 
       4.425237354390e-04       1.853247199164e+03 
       4.722753342447e-04       1.973464745277e+03 
       5.040039477008e-04       2.101234446278e+03 
       5.378868595982e-04       2.237171564815e+03 
       5.741089104861e-04       2.381899212031e+03 
       6.128600119546e-04       2.536035547715e+03 
       6.543317791438e-04       2.700178260661e+03 
       6.987132461581e-04       2.874886868402e+03 
       7.461857165992e-04       3.060663637775e+03 
       7.969169176826e-04       3.257934249591e+03 
       8.510547602717e-04       3.467029191666e+03 
       9.087211372197e-04       3.688166523170e+03 
       9.700062887409e-04       3.921436074312e+03 
       1.034964294305e-03       4.166784601318e+03 
       1.103610192269e-03       4.424001921199e+03 
       1.175919076879e-03       4.692709547379e+03 
       1.251827298302e-03       4.972355750520e+03 
       1.331235638389e-03       5.262213882774e+03 
       1.414014105985e-03       5.561402394563e+03 
       1.500007837114e-03       5.868991917478e+03 
       1.589043522144e-03       6.183975638092e+03 
       1.680935812817e-03       6.505344592649e+03 
       1.775493263637e-03       6.832116671165e+03 
       1.872523500972e-03       7.163344309880e+03 
       1.971837456498e-03       7.498110358012e+03 
       2.073252625410e-03       7.835527325837e+03 
       2.176595401685e-03       8.174749128259e+03 
       2.281702600221e-03       8.514993974336e+03 
       2.388422303290e-03       8.855562902603e+03 
       2.496614173864e-03       9.195840891340e+03 
       2.606149368821e-03       9.535282542764e+03 
       2.716910167537e-03       9.873393000297e+03 
       2.828789410899e-03       1.020971758630e+04 
       2.941689825457e-03       1.054384965783e+04 
       3.055523289217e-03       1.087543662892e+04 
       3.170210080118e-03       1.120418339432e+04 
       3.285678135798e-03       1.152983790412e+04 
       3.401862343623e-03       1.185217668566e+04 
       3.518703872606e-03       1.217099552949e+04 
       3.636149553607e-03       1.248611672180e+04 
       3.754151310397e-03       1.279738958259e+04 
       3.872665641604e-03       1.310469977705e+04 
       3.991653151871e-03       1.340795033294e+04 
       4.111078129533e-03       1.370705842138e+04 
       4.230908167501e-03       1.400194847927e+04 
       4.351113823824e-03       1.429255568666e+04 
       4.471668318317e-03       1.457883593806e+04 
       4.592547261771e-03       1.486076078248e+04 
       4.713728414432e-03       1.513830933616e+04 
       4.835191470659e-03       1.541147208256e+04 
       4.956917866936e-03       1.568022796579e+04 
       5.078890610685e-03       1.594457102605e+04 
       5.201094127541e-03       1.620450160427e+04 
       5.323514125038e-03       1.646003753310e+04 
       5.446137470848e-03       1.671119344246e+04 
       5.568952083922e-03       1.695798035863e+04 
       5.691946837088e-03       1.720041891474e+04 
       5.815111469799e-03       1.743851971317e+04 
       5.938436509905e-03       1.767231752702e+04 
       6.061913203423e-03       1.790184611827e+04 
       6.185533451427e-03       1.812712990037e+04 
       6.309289753267e-03       1.834819844330e+04 
       6.433175155418e-03       1.856508682844e+04 
       6.557183205348e-03       1.877781731610e+04 
       6.681307909872e-03       1.898644400007e+04 
       6.805543697488e-03       1.919098843872e+04 
       6.929885384305e-03       1.939149860881e+04 
       7.054328143152e-03       1.958800898909e+04 
       7.178867475561e-03       1.978055040486e+04 
       7.303499186319e-03       1.996915843041e+04 
       7.428219360324e-03       2.015388448553e+04 
       7.553024341520e-03       2.033476764092e+04 
       7.677910713691e-03       2.051184986118e+04 
       7.802875282950e-03       2.068515831612e+04 
       7.927915061730e-03       2.085473671452e+04 
       8.053027254162e-03       2.102062680838e+04 
       8.178209242683e-03       2.118286678727e+04 
       8.303458575767e-03       2.134150529985e+04 
       8.428772956675e-03       2.149657865716e+04 
       8.554150233132e-03       2.164812316164e+04 
       8.679588387832e-03       2.179617872039e+04 
       8.805085529717e-03       2.194077971107e+04 
       8.930639885943e-03       2.208197588710e+04 
       9.056249794478e-03       2.221980093659e+04 
       9.181913697284e-03       2.235429464651e+04 
       9.307630134017e-03       2.248549183903e+04 
       9.433397736217e-03       2.261342549640e+04 
       9.559215221934e-03       2.273814101504e+04 
       9.685081390757e-03       2.285968214650e+04 
       9.810995119220e-03       2.297806721727e+04 
       9.936955356541e-03       2.309334096851e+04 
       1.006296112068e-02       2.320553778184e+04 
