# Matter power spectrum P(k) at redshift z=0
# for k=1.025e-05 to 8.04293 h/Mpc,
# number of wavenumbers equal to 609
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.025001547790e-05       5.023207985795e+01 
       2.310468890011e-05       1.105212728946e+02 
       3.600390947531e-05       1.699853533476e+02 
       4.898224049633e-05       2.291992229578e+02 
       6.207481045617e-05       2.885081141082e+02 
       7.531762500668e-05       3.481828005620e+02 
       8.874788879796e-05       4.084632932659e+02 
       1.024043414654e-04       4.695770619694e+02 
       1.163276120633e-04       5.317486933596e+02 
       1.305605962777e-04       5.952060255210e+02 
       1.451488607592e-04       6.601846699511e+02 
       1.601410788592e-04       7.269317338661e+02 
       1.755895018831e-04       7.957091720510e+02 
       1.915504696170e-04       8.667969716355e+02 
       2.080849632480e-04       9.404962551351e+02 
       2.252592027536e-04       1.017132402721e+03 
       2.431452892225e-04       1.097058107353e+03 
       2.618218901673e-04       1.180656382104e+03 
       2.813749624416e-04       1.268343356218e+03 
       3.018985025529e-04       1.360570726748e+03 
       3.234953076009e-04       1.457827567602e+03 
       3.462777213715e-04       1.560641196020e+03 
       3.703683289081e-04       1.669576651206e+03 
       3.959005489001e-04       1.785234158222e+03 
       4.230190564848e-04       1.908244149607e+03 
       4.518799500321e-04       2.039259010618e+03 
       4.826505554567e-04       2.178941168245e+03 
       5.155087430002e-04       2.327947598099e+03 
       5.506416181885e-04       2.486910841664e+03 
       5.882434464500e-04       2.656418572589e+03 
       6.285126868565e-04       2.836994408250e+03 
       6.716480524307e-04       3.029084508967e+03 
       7.178435889560e-04       3.233054734411e+03 
       7.672828733757e-04       3.449203262113e+03 
       8.201325708311e-04       3.677788684282e+03 
       8.765357391536e-04       3.919067693286e+03 
       9.366054026550e-04       4.173325893729e+03 
       1.000418997422e-03       4.440878475505e+03 
       1.068014284350e-03       4.722017567187e+03 
       1.139387215251e-03       5.016899035010e+03 
       1.214492028991e-03       5.325393323285e+03 
       1.293243585070e-03       5.646958322036e+03 
       1.375521667728e-03       5.980589688183e+03 
       1.461176773566e-03       6.324972691753e+03 
       1.550036771621e-03       6.678702091531e+03 
       1.641913810376e-03       7.040491622210e+03 
       1.736610925723e-03       7.409308789153e+03 
       1.833927943374e-03       7.784310229517e+03 
       1.933666429510e-03       8.164652241252e+03 
       2.035633592258e-03       8.549330699047e+03 
       2.139645154089e-03       8.937182457102e+03 
       2.245527294190e-03       9.327051684942e+03 
       2.353117802744e-03       9.717985263003e+03 
       2.462266603221e-03       1.010929636042e+04 
       2.572835793267e-03       1.050045498305e+04 
       2.684699337856e-03       1.089091362933e+04 
       2.797742526304e-03       1.128003610974e+04 
       2.911861281928e-03       1.166716208125e+04 
       3.026961392040e-03       1.205176248175e+04 
       3.142957707884e-03       1.243349001401e+04 
       3.259773349387e-03       1.281210998333e+04 
       3.377338938029e-03       1.318736091370e+04 
       3.495591872457e-03       1.355891268436e+04 
       3.614475655047e-03       1.392642935540e+04 
       3.733939273075e-03       1.428967049309e+04 
       3.853936635052e-03       1.464851727368e+04 
       3.974426060708e-03       1.500289693283e+04 
       4.095369821845e-03       1.535269386503e+04 
       4.216733730524e-03       1.569774012257e+04 
       4.338486770747e-03       1.603787074314e+04 
       4.460600769688e-03       1.637301992477e+04 
       4.583050104622e-03       1.670318513289e+04 
       4.705811441900e-03       1.702836567544e+04 
       4.828863504566e-03       1.734852131256e+04 
       4.952186865484e-03       1.766355390881e+04 
       5.075763763157e-03       1.797341766739e+04 
       5.199577937666e-03       1.827812589398e+04 
       5.323614484453e-03       1.857773362577e+04 
       5.447859723915e-03       1.887226775178e+04 
       5.572301084988e-03       1.916169844702e+04 
       5.696927001136e-03       1.944600229425e+04 
       5.821726817313e-03       1.972518804536e+04 
       5.946690706662e-03       1.999931760565e+04 
       6.071809595837e-03       2.026846507968e+04 
       6.197075097987e-03       2.053265003799e+04 
       6.322479452535e-03       2.079186545736e+04 
       6.448015471001e-03       2.104612558340e+04 
       6.573676488204e-03       2.129547952184e+04 
       6.699456318254e-03       2.154000677430e+04 
       6.825349214816e-03       2.177977274656e+04 
       6.951349835179e-03       2.201479341739e+04 
       7.077453207743e-03       2.224507774061e+04 
       7.203654702547e-03       2.247067629302e+04 
       7.329950004531e-03       2.269164314293e+04 
       7.456335089243e-03       2.290806354369e+04 
       7.582806200754e-03       2.311999004692e+04 
       7.709359831538e-03       2.332743492707e+04 
       7.835992704145e-03       2.353043521131e+04 
       7.962701754465e-03       2.372903583011e+04 
       8.089484116451e-03       2.392333041694e+04 
       8.216337108139e-03       2.411335735613e+04 
       8.343258218856e-03       2.429916499004e+04 
       8.470245097497e-03       2.448079246772e+04 
       8.597295541772e-03       2.465827617603e+04 
       8.724407488335e-03       2.483166887072e+04 
       8.851579003709e-03       2.500104654668e+04 
       8.978808275944e-03       2.516645824684e+04 
       9.106093606932e-03       2.532793391071e+04 
       9.233433405330e-03       2.548550386009e+04 
       9.360826180034e-03       2.563922379450e+04 
       9.488270534155e-03       2.578915873145e+04 
       9.615765159452e-03       2.593535676761e+04 
       9.743308831195e-03       2.607785678188e+04 
       9.870900403406e-03       2.621669198295e+04 
       9.998538804459e-03       2.635190025480e+04 
       1.012622303300e-02       2.648353085496e+04 
       1.025395215418e-02       2.661165313191e+04 
       1.038172529613e-02       2.673630147651e+04 
       1.050954164675e-02       2.685751054339e+04 
       1.063740045064e-02       2.697530295189e+04 
       1.076530100636e-02       2.708973043864e+04 
       1.089324266379e-02       2.720085488402e+04 
       1.102122482171e-02       2.730870387658e+04 
       1.114924692558e-02       2.741333689172e+04 
       1.127730846543e-02       2.751476559322e+04 
       1.140540897392e-02       2.761301786894e+04 
       1.153354802455e-02       2.770815675832e+04 
       1.166172522995e-02       2.780023496154e+04 
       1.178994024035e-02       2.788927321787e+04 
       1.191819274209e-02       2.797529792941e+04 
       1.204648245630e-02       2.805836251501e+04 
       1.217480913760e-02       2.813849402582e+04 
       1.230317257299e-02       2.821574435704e+04 
       1.243157258071e-02       2.829013924267e+04 
       1.256000900926e-02       2.836173488322e+04 
       1.268848173644e-02       2.843053942861e+04 
       1.281699066851e-02       2.849659710335e+04 
       1.294553573936e-02       2.855994864012e+04 
       1.307411690977e-02       2.862061819054e+04 
       1.320273416673e-02       2.867866089907e+04 
       1.333138752279e-02       2.873408063771e+04 
       1.346007701550e-02       2.878693673918e+04 
       1.358880270683e-02       2.883722870229e+04 
       1.371756468271e-02       2.888502076587e+04 
       1.384636305255e-02       2.893034116714e+04 
       1.397519794885e-02       2.897321444839e+04 
       1.410406952683e-02       2.901366813659e+04 
       1.423297796406e-02       2.905173347843e+04 
       1.436192346018e-02       2.908745393844e+04 
       1.449090623661e-02       2.912084153613e+04 
       1.461992653634e-02       2.915195293430e+04 
       1.474238081126e-02       2.917936842464e+04 
       1.474898462369e-02       2.918079791813e+04 
       1.487808078413e-02       2.920740035523e+04 
       1.500721532412e-02       2.923179590031e+04 
       1.513638857102e-02       2.925401268880e+04 
       1.526560087292e-02       2.927408940126e+04 
       1.539485259862e-02       2.929205797890e+04 
       1.552414413753e-02       2.930792194150e+04 
       1.565347589966e-02       2.932172969994e+04 
       1.578284831559e-02       2.933348378827e+04 
       1.591226183650e-02       2.934324116168e+04 
       1.604171693418e-02       2.935100891762e+04 
       1.617121410107e-02       2.935683499319e+04 
       1.630075385036e-02       2.936072344916e+04 
       1.643033671606e-02       2.936271827998e+04 
       1.655996325307e-02       2.936281902740e+04 
       1.668963403739e-02       2.936108118720e+04 
       1.681934966617e-02       2.935750328723e+04 
       1.694911075792e-02       2.935215016095e+04 
       1.707891795268e-02       2.934499585288e+04 
       1.720877191222e-02       2.933611017701e+04 
       1.733867332022e-02       2.932550762774e+04 
       1.746862288253e-02       2.931315774738e+04 
       1.759862132741e-02       2.929920375036e+04 
       1.772866940576e-02       2.928354256460e+04 
       1.785876789147e-02       2.926625876729e+04 
       1.798891758161e-02       2.924738669284e+04 
       1.811911929685e-02       2.922690034827e+04 
       1.824937388170e-02       2.920487002225e+04 
       1.837968220491e-02       2.918131648500e+04 
       1.851004515982e-02       2.915629436780e+04 
       1.864046366470e-02       2.912970609522e+04 
       1.877093866322e-02       2.910168476191e+04 
       1.890147112477e-02       2.907221267554e+04 
       1.903206204496e-02       2.904130960880e+04 
       1.916271244607e-02       2.900902205117e+04 
       1.929342337744e-02       2.897536485234e+04 
       1.942419591603e-02       2.894034307645e+04 
       1.955503116690e-02       2.890397510053e+04 
       1.968593026370e-02       2.886628939508e+04 
       1.981689436925e-02       2.882734685101e+04 
       1.994792467608e-02       2.878709616857e+04 
       2.007902240698e-02       2.874562571555e+04 
       2.021018881564e-02       2.870293213826e+04 
       2.034142518727e-02       2.865900421494e+04 
       2.047273283919e-02       2.861391196230e+04 
