# Matter power spectrum P(k) at redshift z=0
# for k=1.025e-05 to 8.04293 h/Mpc,
# number of wavenumbers equal to 609
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.025001547790e-05       5.024597430737e+01 
       2.310468890011e-05       1.105517236336e+02 
       3.600390947531e-05       1.700318601542e+02 
       4.898224049633e-05       2.292612935796e+02 
       6.207481045617e-05       2.885851944126e+02 
       7.531762500668e-05       3.482742438319e+02 
       8.874788879796e-05       4.085683377659e+02 
       1.024043414654e-04       4.696948094813e+02 
       1.163276120633e-04       5.318780860985e+02 
       1.305605962777e-04       5.953458197669e+02 
       1.451488607592e-04       6.603334056297e+02 
       1.601410788592e-04       7.270876991112e+02 
       1.755895018831e-04       7.958703618650e+02 
       1.915504696170e-04       8.669610400342e+02 
       2.080849632480e-04       9.406604596538e+02 
       2.252592027536e-04       1.017293541034e+03 
       2.431452892225e-04       1.097212444886e+03 
       2.618218901673e-04       1.180799570787e+03 
       2.813749624416e-04       1.268470344333e+03 
       3.018985025529e-04       1.360675660884e+03 
       3.234953076009e-04       1.457903688917e+03 
       3.462777213715e-04       1.560680734362e+03 
       3.703683289081e-04       1.669570723006e+03 
       3.959005489001e-04       1.785172677025e+03 
       4.230190564848e-04       1.908115760374e+03 
       4.518799500321e-04       2.039051063567e+03 
       4.826505554567e-04       2.178639750105e+03 
       5.155087430002e-04       2.327537637181e+03 
       5.506416181885e-04       2.486376303501e+03 
       5.882434464500e-04       2.655742747952e+03 
       6.285126868565e-04       2.836160277200e+03 
       6.716480524307e-04       3.028075131131e+03 
       7.178435889560e-04       3.231853578696e+03 
       7.672828733757e-04       3.447794345698e+03 
       8.201325708311e-04       3.676156377766e+03 
       8.765357391536e-04       3.917196073366e+03 
       9.366054026550e-04       4.171197627492e+03 
       1.000418997422e-03       4.438473386954e+03 
       1.068014284350e-03       4.719311232883e+03 
       1.139387215251e-03       5.013861883083e+03 
       1.214492028991e-03       5.321990649944e+03 
       1.293243585070e-03       5.643151342648e+03 
       1.375521667728e-03       5.976337275718e+03 
       1.461176773566e-03       6.320233033080e+03 
       1.550036771621e-03       6.673433499901e+03 
       1.641913810376e-03       7.034652232404e+03 
       1.736610925723e-03       7.402855570445e+03 
       1.833927943374e-03       7.777198286847e+03 
       1.933666429510e-03       8.156835188008e+03 
       2.035633592258e-03       8.540762087554e+03 
       2.139645154089e-03       8.927817416395e+03 
       2.245527294190e-03       9.316847748478e+03 
       2.353117802744e-03       9.706902035326e+03 
       2.462266603221e-03       1.009729462199e+04 
       2.572835793267e-03       1.048749621598e+04 
       2.684699337856e-03       1.087696043784e+04 
       2.797742526304e-03       1.126505309082e+04 
       2.911861281928e-03       1.165111629171e+04 
       3.026961392040e-03       1.203462303219e+04 
       3.142957707884e-03       1.241522721564e+04 
       3.259773349387e-03       1.279269599370e+04 
       3.377338938029e-03       1.316676819856e+04 
       3.495591872457e-03       1.353711542571e+04 
       3.614475655047e-03       1.390340425185e+04 
       3.733939273075e-03       1.426539635734e+04 
       3.853936635052e-03       1.462297440075e+04 
       3.974426060708e-03       1.497606685247e+04 
       4.095369821845e-03       1.532455962078e+04 
       4.216733730524e-03       1.566828664107e+04 
       4.338486770747e-03       1.600708482007e+04 
       4.460600769688e-03       1.634088972226e+04 
       4.583050104622e-03       1.666969974156e+04 
       4.705811441900e-03       1.699351508375e+04 
       4.828863504566e-03       1.731229665826e+04 
       4.952186865484e-03       1.762594772972e+04 
       5.075763763157e-03       1.793442362913e+04 
       5.199577937666e-03       1.823773835155e+04 
       5.323614484453e-03       1.853594732206e+04 
       5.447859723915e-03       1.882907792474e+04 
       5.572301084988e-03       1.911710109744e+04 
       5.696927001136e-03       1.939999416084e+04 
       5.821726817313e-03       1.967776631728e+04 
       5.946690706662e-03       1.995047956498e+04 
       6.071809595837e-03       2.021820802230e+04 
       6.197075097987e-03       2.048097153786e+04 
       6.322479452535e-03       2.073876355268e+04 
       6.448015471001e-03       2.099159868086e+04 
       6.573676488204e-03       2.123952615426e+04 
       6.699456318254e-03       2.148262544288e+04 
       6.825349214816e-03       2.172096204869e+04 
       6.951349835179e-03       2.195455234749e+04 
       7.077453207743e-03       2.218340578777e+04 
       7.203654702547e-03       2.240757326048e+04 
       7.329950004531e-03       2.262710903883e+04 
       7.456335089243e-03       2.284209849912e+04 
       7.582806200754e-03       2.305259452301e+04 
       7.709359831538e-03       2.325860993131e+04 
       7.835992704145e-03       2.346018220387e+04 
       7.962701754465e-03       2.365735658708e+04 
       8.089484116451e-03       2.385022680302e+04 
       8.216337108139e-03       2.403883151358e+04 
       8.343258218856e-03       2.422321937991e+04 
       8.470245097497e-03       2.440342990504e+04 
       8.597295541772e-03       2.457949975487e+04 
       8.724407488335e-03       2.475148180725e+04 
       8.851579003709e-03       2.491945207478e+04 
       8.978808275944e-03       2.508345975660e+04 
       9.106093606932e-03       2.524353506542e+04 
       9.233433405330e-03       2.539970858444e+04 
       9.360826180034e-03       2.555203612960e+04 
       9.488270534155e-03       2.570058277732e+04 
       9.615765159452e-03       2.584539679335e+04 
       9.743308831195e-03       2.598651735041e+04 
       9.870900403406e-03       2.612397803127e+04 
       9.998538804459e-03       2.625781708065e+04 
       1.012622303300e-02       2.638808406942e+04 
       1.025395215418e-02       2.651484862737e+04 
       1.038172529613e-02       2.663814563895e+04 
       1.050954164675e-02       2.675801033445e+04 
       1.063740045064e-02       2.687446598106e+04 
       1.076530100636e-02       2.698756484334e+04 
       1.089324266379e-02       2.709736928820e+04 
       1.102122482171e-02       2.720390755441e+04 
       1.114924692558e-02       2.730723969167e+04 
       1.127730846543e-02       2.740737813061e+04 
       1.140540897392e-02       2.750435142643e+04 
       1.153354802455e-02       2.759822309373e+04 
       1.166172522995e-02       2.768904631372e+04 
       1.178994024035e-02       2.777684242485e+04 
       1.191819274209e-02       2.786163838530e+04 
       1.204648245630e-02       2.794348800085e+04 
       1.217480913760e-02       2.802241873430e+04 
       1.230317257299e-02       2.809848271716e+04 
       1.243157258071e-02       2.817170598255e+04 
       1.256000900926e-02       2.824214486802e+04 
       1.268848173644e-02       2.830980780798e+04 
       1.281699066851e-02       2.837473908719e+04 
       1.294553573936e-02       2.843697943959e+04 
       1.307411690977e-02       2.849655303652e+04 
       1.320273416673e-02       2.855351490358e+04 
       1.333138752279e-02       2.860786896279e+04 
       1.346007701550e-02       2.865967433395e+04 
       1.358880270683e-02       2.870893051650e+04 
       1.371756468271e-02       2.875570143427e+04 
       1.384636305255e-02       2.880001516178e+04 
       1.397519794885e-02       2.884189609846e+04 
       1.410406952683e-02       2.888137160911e+04 
       1.423297796406e-02       2.891847274562e+04 
       1.436192346018e-02       2.895324270897e+04 
       1.449090623661e-02       2.898569340326e+04 
       1.461992653634e-02       2.901588118470e+04 
       1.474238081126e-02       2.904243256606e+04 
       1.474898462369e-02       2.904381576037e+04 
       1.487808078413e-02       2.906952085435e+04 
       1.500721532412e-02       2.909303191815e+04 
       1.513638857102e-02       2.911437691947e+04 
       1.526560087292e-02       2.913359433484e+04 
       1.539485259862e-02       2.915071594495e+04 
       1.552414413753e-02       2.916574525079e+04 
       1.565347589966e-02       2.917873042279e+04 
       1.578284831559e-02       2.918967397523e+04 
       1.591226183650e-02       2.919863258361e+04 
       1.604171693418e-02       2.920561332032e+04 
       1.617121410107e-02       2.921066390280e+04 
       1.630075385036e-02       2.921378838927e+04 
