# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.078414125891e+03       3.115175500127e-02       1.826110150216e-06       2.434238468124e+00       4.659165973531e-08       3.272647071996e-03      -1.190828462873e-05 
    3       1.005094854012e+03       3.969862187551e-02       3.652824661545e-06       2.724105152667e+00       5.832500703996e-08       3.288024862243e-03      -1.266877476726e-05 
    4       9.407036310164e+02       3.425987535892e-02       6.089375458194e-06       2.554827937780e+00       6.799570230171e-08       3.214464314864e-03      -1.060926204787e-05 
    5       8.936720940449e+02       2.288693390967e-02       9.136544377385e-06       2.200414655199e+00       7.641153549236e-08       3.109514378962e-03      -7.084729583870e-06 
    6       8.615127699582e+02       1.292340117492e-02       1.279528840686e-05       1.805607782244e+00       8.375684295728e-08       2.993526956194e-03      -3.230509163334e-06 
    7       8.407229986040e+02       7.195940527661e-03       1.706672672072e-05       1.452156112710e+00       9.023287989314e-08       2.875428767902e-03       7.176503133690e-08 
    8       8.279656682130e+02       4.876470341704e-03       2.195212568294e-05       1.175690615006e+00       9.604588029820e-08       2.760177513333e-03       2.286215605140e-06 
    9       8.214741958126e+02       4.055826039469e-03       2.745288210579e-05       9.848985259930e-01       1.013271985773e-07       2.651644842260e-03       3.238466798084e-06 
   10       8.194521174812e+02       3.481937688610e-03       3.357050508366e-05       8.727969633214e-01       1.061189129364e-07       2.551405959907e-03       3.070030392396e-06 
   11       8.205456270053e+02       2.866253691131e-03       4.030659674895e-05       8.246217727718e-01       1.071833199840e-07       2.462614803569e-03       2.142172619441e-06 
   12       8.244727821840e+02       2.383596599591e-03       4.766283231623e-05       8.223719463801e-01       1.108202630231e-07       2.368146144641e-03       8.900793785850e-07 
   13       8.300950968435e+02       2.172879104532e-03       5.564093979228e-05       8.491633972939e-01       1.140895226196e-07       2.283795400042e-03      -2.781069000951e-07 
   14       8.370747898228e+02       2.195527281555e-03       6.424267973336e-05       8.922669600133e-01       1.170301392688e-07       2.198130371436e-03      -1.098929700367e-06 
   15       8.456215911820e+02       2.347471551529e-03       7.346982542628e-05       9.429487333563e-01       1.196766222216e-07       2.121201018053e-03      -1.446639092275e-06 
   16       8.550289214960e+02       2.580527244941e-03       8.332414385664e-05       9.966110350177e-01       1.220590501014e-07       2.049346988436e-03      -1.363695375989e-06 
   17       8.652902032534e+02       2.916491049476e-03       9.380737780637e-05       1.051985691346e+00       1.242029093675e-07       1.980717379489e-03      -9.993592030526e-07 
   18       8.762273055301e+02       3.394827887018e-03       1.049212290723e-04       1.109796646236e+00       1.260816224119e-07       1.912916041496e-03      -5.594300240246e-07 
   19       8.878927225762e+02       4.023688613436e-03       1.166673453303e-04       1.171353614157e+00       1.278596505733e-07       1.848748160402e-03      -1.863384401228e-07 
   20       9.000412351677e+02       4.794622741881e-03       1.290473034913e-04       1.237752756736e+00       1.294019296343e-07       1.788962683548e-03      -8.751297108992e-09 
   21       9.126699116787e+02       5.700754328571e-03       1.420626054608e-04       1.308889640932e+00       1.307931854441e-07       1.733916932154e-03      -4.864453619391e-08 
   22       9.256424912346e+02       6.733579658834e-03       1.557146608351e-04       1.383620877043e+00       1.320095432983e-07       1.681163286769e-03      -2.567046741585e-07 
   23       9.390680800992e+02       7.894524531619e-03       1.700047920677e-04       1.459379370166e+00       1.331191644572e-07       1.631641541112e-03      -5.530074795200e-07 
   24       9.529642202729e+02       9.186801268671e-03       1.849342167394e-04       1.532803060134e+00       1.340753573053e-07       1.585539407366e-03      -8.262451930975e-07 
   25       9.672931445794e+02       1.061118339937e-02       2.005040649414e-04       1.601714917666e+00       1.349310767129e-07       1.541240959564e-03      -1.011415601763e-06 
   26       9.818899965421e+02       1.216894827601e-02       2.167153574317e-04       1.664316186620e+00       1.356654035453e-07       1.495636144096e-03      -1.064902966870e-06 
   27       9.967431669996e+02       1.387222533794e-02       2.335690268014e-04       1.719791983154e+00       1.363048323186e-07       1.451045555464e-03      -9.995599980559e-07 
   28       1.011817481490e+03       1.573663915508e-02       2.510659029520e-04       1.767790919771e+00       1.368146294195e-07       1.410905699364e-03      -8.603091207441e-07 
   29       1.027165541405e+03       1.777273981512e-02       2.692067667368e-04       1.808482104739e+00       1.372659575919e-07       1.375370884468e-03      -6.913201251385e-07 
   30       1.042776466925e+03       1.998970216938e-02       2.879922978569e-04       1.842403402819e+00       1.376784312293e-07       1.341928753750e-03      -5.518266643666e-07 
   31       1.058566381997e+03       2.239635335863e-02       3.074230780484e-04       1.870184010955e+00       1.379738757043e-07       1.306984767169e-03      -5.060001401839e-07 
   32       1.074584592499e+03       2.499938741617e-02       3.274996870889e-04       1.891762671895e+00       1.381959840072e-07       1.271339750620e-03      -5.524942966971e-07 
   33       1.090865798210e+03       2.780439541213e-02       3.482226340054e-04       1.906883630151e+00       1.383726774751e-07       1.237241612347e-03      -6.572997170457e-07 
   34       1.107391569178e+03       3.081664589170e-02       3.695923538343e-04       1.915150172041e+00       1.384689586369e-07       1.206579952585e-03      -7.756948941318e-07 
   35       1.124175248312e+03       3.404241386019e-02       3.916092981188e-04       1.915514048150e+00       1.385159529898e-07       1.179178093599e-03      -8.820059947045e-07 
   36       1.141193632636e+03       3.748805878339e-02       4.142738718274e-04       1.906586843428e+00       1.385202172570e-07       1.153452476111e-03      -9.518204798869e-07 
   37       1.158388118626e+03       4.115962227474e-02       4.375864339758e-04       1.887069326675e+00       1.384435774617e-07       1.127357084182e-03      -9.618131790763e-07 
   38       1.175769629835e+03       4.506273225733e-02       4.615473878635e-04       1.856817455072e+00       1.383234757414e-07       1.101005909689e-03      -9.185192471094e-07 
   39       1.193339277526e+03       4.920262327376e-02       4.861571200069e-04       1.816131136423e+00       1.381948028989e-07       1.075096852645e-03      -8.433457062792e-07 
   40       1.211054588212e+03       5.358412807410e-02       5.114159764875e-04       1.765482481048e+00       1.380446695777e-07       1.050217694575e-03      -7.668884390199e-07 
   41       1.228857817821e+03       5.821180226917e-02       5.373242793586e-04       1.705345902476e+00       1.378272827880e-07       1.026780798458e-03      -7.216736879620e-07 
   42       1.246782650604e+03       6.309041117621e-02       5.638823813096e-04       1.635596348315e+00       1.375646979466e-07       1.004883753005e-03      -7.128701368075e-07 
   43       1.264874762852e+03       6.822455658969e-02       5.910906294827e-04       1.555933064585e+00       1.372817099355e-07       9.843178054054e-04      -7.355930264901e-07 
   44       1.283159920210e+03       7.361852319075e-02       6.189493524904e-04       1.466041468151e+00       1.369711513360e-07       9.645399488599e-04      -7.818435555915e-07 
   45       1.301648842093e+03       7.927629124041e-02       6.474588519334e-04       1.365593723604e+00       1.366058725171e-07       9.448798632726e-04      -8.419773681696e-07 
   46       1.320358692977e+03       8.520161760706e-02       6.766193703681e-04       1.254254942636e+00       1.362095458482e-07       9.254079955982e-04      -9.109733725821e-07 
   47       1.339294288615e+03       9.139795122774e-02       7.064311163354e-04       1.131675760763e+00       1.358097949356e-07       9.063583174324e-04      -9.842086477448e-07 
   48       1.358439859429e+03       9.786839195807e-02       7.368942744368e-04       9.974884840137e-01       1.354144189677e-07       8.878839964079e-04      -1.055650554023e-06 
   49       1.377757265525e+03       1.046156759373e-01       7.680090062716e-04       8.513054172909e-01       1.350053668501e-07       8.700406813202e-04      -1.117701503906e-06 
   50       1.397203972190e+03       1.116420123793e-01       7.997754224796e-04       6.927702956045e-01       1.345504964587e-07       8.528192368437e-04      -1.163425575859e-06 
   51       1.416796869692e+03       1.189485756703e-01       8.321934877505e-04       5.217329140049e-01       1.340635801342e-07       8.363026945719e-04      -1.194703165957e-06 
