# Matter power spectrum P(k) at redshift z=0
# for k=1.01198e-05 to 9.23641 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.011975468079e-05       5.455885789891e+01 
       2.326715855700e-05       1.223917509874e+02 
       3.646120667763e-05       1.893344237728e+02 
       4.973888165243e-05       2.560851837488e+02 
       6.313778917950e-05       3.230753285265e+02 
       7.669650732301e-05       3.906525356656e+02 
       9.045494721183e-05       4.591322920362e+02 
       1.044547301479e-04       5.288197234452e+02 
       1.187395861501e-04       6.000216281592e+02 
       1.333557789933e-04       6.730544974760e+02 
       1.483525628038e-04       7.482507882958e+02 
       1.637826751846e-04       8.258573095076e+02 
       1.797028716077e-04       9.064459351270e+02 
       1.961745053314e-04       9.903407280996e+02 
       2.132641562472e-04       1.077989292701e+03 
       2.310443106797e-04       1.169880214004e+03 
       2.495940920237e-04       1.266547518328e+03 
       2.690000389309e-04       1.368574745497e+03 
       2.893569232064e-04       1.476597956244e+03 
       3.107685932198e-04       1.591307419273e+03 
       3.333488200106e-04       1.713446864509e+03 
       3.572221118731e-04       1.843809477919e+03 
       3.825244486274e-04       1.983229284896e+03 
       4.094038687941e-04       2.132566322760e+03 
       4.380208217040e-04       2.292684731435e+03 
       4.685481731847e-04       2.464422061127e+03 
       5.011707300292e-04       2.648550979413e+03 
       5.360841288428e-04       2.845734865879e+03 
       5.734929250018e-04       3.056483628759e+03 
       6.136077254008e-04       3.281119221336e+03 
       6.566412439401e-04       3.519766959583e+03 
       7.028032304230e-04       3.772387988574e+03 
       7.522943371210e-04       4.038869277802e+03 
       8.052991398900e-04       4.319171316278e+03 
       8.619787067654e-04       4.613509671417e+03 
       9.224632758874e-04       4.922511459465e+03 
       9.868457239808e-04       5.247260081283e+03 
       1.055176532381e-03       5.589141292476e+03 
       1.127460859782e-03       5.949463663778e+03 
       1.203658109225e-03       6.328936815505e+03 
       1.283684067901e-03       6.727218345876e+03 
       1.367415367871e-03       7.142793839661e+03 
       1.454695738056e-03       7.573326901593e+03 
       1.545343350094e-03       8.016448813215e+03 
       1.639158525580e-03       8.470406720692e+03 
       1.735931155277e-03       8.934309184572e+03 
       1.835447341739e-03       9.407713308084e+03 
       1.937494966937e-03       9.889892121202e+03 
       2.041868064896e-03       1.037937119725e+04 
       2.148370020462e-03       1.087412050021e+04 
       2.256815709744e-03       1.137223346492e+04 
       2.367032748357e-03       1.187249090081e+04 
       2.478862029461e-03       1.237432481139e+04 
       2.592157726065e-03       1.287727024601e+04 
       2.706786911188e-03       1.338046092494e+04 
       2.822628922914e-03       1.388264947307e+04 
       2.939574574328e-03       1.438268606233e+04 
       3.057525283676e-03       1.487991809114e+04 
       3.176392179180e-03       1.537410992585e+04 
       3.296095216128e-03       1.586500709863e+04 
       3.416562330900e-03       1.635203068061e+04 
       3.537728646837e-03       1.683442595495e+04 
       3.659535739939e-03       1.731163236051e+04 
       3.781930967422e-03       1.778347235085e+04 
       3.904866858908e-03       1.824992781291e+04 
       4.028300567879e-03       1.871082070531e+04 
       4.152193379777e-03       1.916573065037e+04 
       4.276510272450e-03       1.961424553378e+04 
       4.401219524360e-03       2.005621356956e+04 
       4.526292365996e-03       2.049170267464e+04 
       4.651702670080e-03       2.092074206260e+04 
       4.777426676432e-03       2.134316702943e+04 
       4.903442747687e-03       2.175869316673e+04 
       5.029731152384e-03       2.216718063760e+04 
       5.156273872302e-03       2.256871957267e+04 
       5.283054431235e-03       2.296344367527e+04 
       5.410057742729e-03       2.335133659004e+04 
       5.537269974537e-03       2.373223567358e+04 
       5.664678427872e-03       2.410602739250e+04 
       5.792271429705e-03       2.447278033461e+04 
       5.920038236604e-03       2.483267227404e+04 
       6.047968948773e-03       2.518577781990e+04 
       6.176054433116e-03       2.553205533268e+04 
       6.304286254288e-03       2.587138994477e+04 
       6.432656612835e-03       2.620384018963e+04 
       6.561158289614e-03       2.652957677445e+04 
       6.689784595796e-03       2.684874570666e+04 
       6.818529327833e-03       2.716135296207e+04 
       6.947386726840e-03       2.746734314824e+04 
       7.076351441922e-03       2.776674573635e+04 
       7.205418497004e-03       2.805969704246e+04 
       7.334583260816e-03       2.834637209411e+04 
       7.463841419672e-03       2.862683570427e+04 
       7.593188952778e-03       2.890106563943e+04 
       7.722622109788e-03       2.916907369518e+04 
       7.852137390389e-03       2.943097869958e+04 
       7.981731525711e-03       2.968694662166e+04 
       8.111401461377e-03       2.993707378601e+04 
       8.241144342022e-03       3.018138126125e+04 
       8.370957497162e-03       3.041986845974e+04 
       8.500838428253e-03       3.065261296943e+04 
       8.630784796853e-03       3.087978817838e+04 
       8.760794413763e-03       3.110150549794e+04 
       8.890865229068e-03       3.131780530476e+04 
       9.020995322988e-03       3.152869411148e+04 
       9.151182897470e-03       3.173421808850e+04 
       9.281426268453e-03       3.193452190575e+04 
       9.411723858743e-03       3.212972800350e+04 
       9.542074191446e-03       3.231988954470e+04 
       9.672475883914e-03       3.250503111440e+04 
       9.802927642153e-03       3.268518166487e+04 
       9.933428255662e-03       3.286045533185e+04 
       1.006397659265e-02       3.303096721963e+04 
       1.019457159565e-02       3.319678423391e+04 
       1.032521227737e-02       3.335794031273e+04 
       1.045589771699e-02       3.351447109870e+04 
       1.058662705656e-02       3.366644595742e+04 
       1.071739949785e-02       3.381397348709e+04 
       1.084821429923e-02       3.395713859186e+04 
       1.097907077295e-02       3.409595953062e+04 
       1.110996828248e-02       3.423050905471e+04 
       1.124090624015e-02       3.436080577016e+04 
       1.137188410483e-02       3.448694104289e+04 
       1.150290137994e-02       3.460901604609e+04 
       1.163395761142e-02       3.472706554102e+04 
       1.176505238600e-02       3.484113342390e+04 
       1.189618532947e-02       3.495124864683e+04 
       1.202735610514e-02       3.505748816537e+04 
       1.215856441241e-02       3.515993621980e+04 
       1.228980998541e-02       3.525865465292e+04 
       1.242109259171e-02       3.535366776626e+04 
       1.255241203124e-02       3.544500412593e+04 
       1.268376813513e-02       3.553272857523e+04 
       1.281516076475e-02       3.561692723268e+04 
       1.294658981076e-02       3.569764393547e+04 
       1.307805519228e-02       3.577491492387e+04 
       1.320955685603e-02       3.584876319424e+04 
