# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.073206690311e+03       3.350889664443e-02       0.000000000000e+00       2.599668185445e+00       4.750142358550e-08       3.289040294057e-03      -1.250261143760e-05 
    3       1.006451887288e+03       4.109897185287e-02       0.000000000000e+00       2.911737059986e+00       5.867167292481e-08       3.285802556085e-03      -1.302449979672e-05 
    4       9.470058212484e+02       3.377717932415e-02       0.000000000000e+00       2.692835731964e+00       6.828971653124e-08       3.210514425002e-03      -1.051669424345e-05 
    5       9.036815417312e+02       2.134371120538e-02       0.000000000000e+00       2.259194854022e+00       7.678630014392e-08       3.108905965653e-03      -6.583815206756e-06 
    6       8.744194143934e+02       1.147516319275e-02       0.000000000000e+00       1.788832084991e+00       8.430991882891e-08       2.999805284385e-03      -2.533887246933e-06 
    7       8.558963682208e+02       6.311395352304e-03       0.000000000000e+00       1.381759684830e+00       9.104239052778e-08       2.891444869393e-03       6.867000215655e-07 
    8       8.451884160601e+02       4.361664401785e-03       0.000000000000e+00       1.078269565724e+00       9.710249524262e-08       2.786596787225e-03       2.581543684638e-06 
    9       8.401131798693e+02       3.589410684079e-03       0.000000000000e+00       8.828983541506e-01       1.025654957268e-07       2.687464027902e-03       3.093042591008e-06 
   10       8.396022343355e+02       2.970864642152e-03       0.000000000000e+00       7.801433724725e-01       1.074931123281e-07       2.595979783721e-03       2.509459190574e-06 
   11       8.421364507962e+02       2.410621390779e-03       0.000000000000e+00       7.464408821342e-01       1.086226617398e-07       2.520204694335e-03       1.329537698567e-06 
   12       8.472789413200e+02       2.070706923444e-03       0.000000000000e+00       7.579172349180e-01       1.124868005911e-07       2.432162618523e-03       3.169982776391e-08 
   13       8.544628176390e+02       1.970125606803e-03       0.000000000000e+00       7.941862181481e-01       1.159929203843e-07       2.355723044291e-03      -9.652975360185e-07 
   14       8.631309132210e+02       2.002968904187e-03       0.000000000000e+00       8.407389591003e-01       1.191790322717e-07       2.275157875887e-03      -1.470334080565e-06 
   15       8.729461823311e+02       2.095989364450e-03       0.000000000000e+00       8.900957142462e-01       1.220769925854e-07       2.202988956694e-03      -1.461447345104e-06 
   16       8.842263945565e+02       2.265119306112e-03       0.000000000000e+00       9.396843358351e-01       1.247153321817e-07       2.135674253562e-03      -1.085606617072e-06 
   17       8.963117910112e+02       2.560143645021e-03       0.000000000000e+00       9.893053200576e-01       1.271182456515e-07       2.069893659144e-03      -5.667475524549e-07 
   18       9.091104304730e+02       3.002814857302e-03       0.000000000000e+00       1.041333708032e+00       1.292568161397e-07       2.005230401065e-03      -1.280891942199e-07 
   19       9.227342741205e+02       3.583295577443e-03       0.000000000000e+00       1.097851283586e+00       1.312954012003e-07       1.944499596014e-03       1.151422921926e-07 
   20       9.368609862628e+02       4.278657067316e-03       0.000000000000e+00       1.160121915132e+00       1.330969776583e-07       1.887157642050e-03       1.017587465305e-07 
   21       9.515557822624e+02       5.086177126777e-03       0.000000000000e+00       1.226677531258e+00       1.347459735768e-07       1.833435279294e-03      -1.269643198974e-07 
   22       9.667637159843e+02       6.007366119114e-03       0.000000000000e+00       1.294557348780e+00       1.362174824153e-07       1.781292880195e-03      -4.527306093514e-07 
   23       9.824348846584e+02       7.040323202577e-03       0.000000000000e+00       1.361207102667e+00       1.375793598492e-07       1.732074759626e-03      -7.713292745358e-07 
   24       9.983838327802e+02       8.181686442031e-03       0.000000000000e+00       1.423932990618e+00       1.387836140392e-07       1.686444217290e-03      -9.740794635896e-07 
   25       1.014717164703e+03       9.435001384388e-03       0.000000000000e+00       1.480807940905e+00       1.398830277288e-07       1.643292626385e-03      -1.027743506493e-06 
   26       1.031498080454e+03       1.080778814266e-02       0.000000000000e+00       1.530345391019e+00       1.408559074628e-07       1.599673781606e-03      -9.423996148528e-07 
