# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01948e-05 to 7.94874 h/Mpc,
# number of wavenumbers equal to 609
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2              8:-T_tot_no_scf/k2   
       4.880158084240e-03       1.822177060153e+07       1.819637286422e+07      -2.239620669854e+04      -2.273909494238e+04       1.498351976916e+07       5.323598887576e+06       1.819752518568e+07 
       5.002608999518e-03       1.816303246648e+07       1.813705257130e+07      -2.124463969036e+04      -2.156988825499e+04       1.485727586996e+07       5.306298845026e+06       1.813838956876e+07 
       5.125302753545e-03       1.810436833033e+07       1.807782438352e+07      -2.017441807870e+04      -2.048327332059e+04       1.473245561738e+07       5.289023190989e+06       1.807933723314e+07 
       5.248224030023e-03       1.804577827921e+07       1.801868845009e+07      -1.917830326683e+04      -1.947190065495e+04       1.460902095317e+07       5.271772098959e+06       1.802036809754e+07 
       5.371358772732e-03       1.798725782703e+07       1.795964029295e+07      -1.824982460640e+04      -1.852920038329e+04       1.448692520680e+07       5.254544137030e+06       1.796147748140e+07 
       5.494694065805e-03       1.792880434500e+07       1.790067698837e+07      -1.738318745722e+04      -1.764928898433e+04       1.436611905783e+07       5.237338219149e+06       1.790266248991e+07 
       5.618218026707e-03       1.787041219367e+07       1.784179256270e+07      -1.657318319315e+04      -1.682687799491e+04       1.424654769376e+07       5.220152476182e+06       1.784391720016e+07 
       5.741919710500e-03       1.781207974430e+07       1.778298541164e+07      -1.581512606404e+04      -1.605720991462e+04       1.412815763201e+07       5.202986476647e+06       1.778523974483e+07 
       5.865789024098e-03       1.775379950664e+07       1.772424759566e+07      -1.510478603973e+04      -1.533598997746e+04       1.401088989882e+07       5.185838159607e+06       1.772662232069e+07 
       5.989816649391e-03       1.769557428747e+07       1.766558232123e+07      -1.443835886069e+04      -1.465935562254e+04       1.389469424983e+07       5.168708363988e+06       1.766806755039e+07 
       6.113993974250e-03       1.763739141662e+07       1.760697662754e+07      -1.381239379510e+04      -1.402380319732e+04       1.377950977346e+07       5.151593154242e+06       1.760956249321e+07 
       6.238313030518e-03       1.757925178588e+07       1.754843147037e+07      -1.322377512786e+04      -1.342616920827e+04       1.366528879704e+07       5.134492540368e+06       1.755110782325e+07 
       6.362766438230e-03       1.752115556473e+07       1.748994678083e+07      -1.266967090939e+04      -1.286357833756e+04       1.355198644002e+07       5.117406488012e+06       1.749270345948e+07 
       6.487347355364e-03       1.746309520023e+07       1.743151466293e+07      -1.214749949636e+04      -1.233340944165e+04       1.343955598838e+07       5.100332882929e+06       1.743434161097e+07 
       6.612049432521e-03       1.740506983653e+07       1.737313419631e+07      -1.165491693335e+04      -1.183328268127e+04       1.332796061076e+07       5.083271563276e+06       1.737602124271e+07 
       6.736866772017e-03       1.734708088404e+07       1.731480600269e+07      -1.118979040157e+04      -1.136103254191e+04       1.321716988873e+07       5.066222820079e+06       1.731774348616e+07 
       6.861793890883e-03       1.728912528467e+07       1.725652648556e+07      -1.075017060174e+04      -1.091467982506e+04       1.310715474519e+07       5.049185536698e+06       1.725950507378e+07 
       6.986825687390e-03       1.723120471228e+07       1.719829669103e+07      -1.033427630438e+04      -1.049241600437e+04       1.299789421666e+07       5.032160051435e+06       1.720130746998e+07 
       7.111957410707e-03       1.717331630759e+07       1.714011276537e+07      -9.940471483320e+03      -1.009258001583e+04       1.288936794639e+07       5.015145531804e+06       1.714314757133e+07 
       7.237184633377e-03       1.711546263447e+07       1.708197631174e+07      -9.567258747701e+03      -9.713651558709e+03       1.278156319272e+07       4.998142801311e+06       1.708502771191e+07 
       7.362503226311e-03       1.705764291624e+07       1.702388603442e+07      -9.213262960183e+03      -9.354234432665e+03       1.267446758837e+07       4.981151633876e+06       1.702694697598e+07 
       7.487909336053e-03       1.699986100745e+07       1.696584483242e+07      -8.877223773649e+03      -9.013048962536e+03       1.256807421054e+07       4.964173002486e+06       1.696890901006e+07 
       7.613399364078e-03       1.694212461233e+07       1.690785967732e+07      -8.557982613538e+03      -8.688918809627e+03       1.246238033137e+07       4.947209000684e+06       1.691092134748e+07 
       7.738969947930e-03       1.688442854834e+07       1.684992463187e+07      -8.254463764112e+03      -8.380751786323e+03       1.235737434295e+07       4.930258065787e+06       1.685297865343e+07 
