#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.090590020926e+00       1.551126145824e-05      -1.658419120370e-03      -9.722054292155e-08       3.985691473324e-08       9.964228683309e-08       1.054277623569e-13       1.992845736662e-08      -1.243814340278e-03      -9.722054284466e-08       6.010714350854e-01       6.968943329034e-01      -1.658419082044e-03      -1.457610062192e-07       2.008733310709e-04      -1.243814397850e-03       2.305606396976e-36      -1.660127696149e-03      -1.459113405007e-07       2.010800626169e-04       3.333325967011e-01      -1.303450074413e-10      -1.230598650876e-14 
       7.090725567042e+00       1.551156178943e-05      -1.658482178160e-03      -9.722608510334e-08       3.985921630297e-08       9.964804075743e-08       1.054379332573e-13       1.992960815149e-08      -1.243861633620e-03      -9.722608500884e-08       6.010714339221e-01       6.968942754564e-01      -1.658482131061e-03      -1.457693489446e-07       2.008809907021e-04      -1.243861704370e-03       4.230610854187e-36      -1.660190810002e-03      -1.459196918015e-07       2.010877301080e-04       3.333325966726e-01      -1.601685083964e-10      -1.857972530786e-14 
       7.091413545588e+00       1.551308615418e-05      -1.658802252890e-03      -9.725421825534e-08       3.987089953762e-08       9.967724884404e-08       1.054895688904e-13       1.993544976881e-08      -1.244101689668e-03      -9.725421807146e-08       6.010714280105e-01       6.968939838734e-01      -1.658802161256e-03      -1.458116982186e-07       2.009198702099e-04      -1.244101827317e-03       3.354292315881e-35      -1.660511169320e-03      -1.459620846077e-07       2.011266495137e-04       3.333325965278e-01      -3.114956621895e-10      -7.028612133550e-14 
       7.092101524135e+00       1.551461052269e-05      -1.659122358193e-03      -9.728235679816e-08       3.988258507119e-08       9.970646267797e-08       1.055412248451e-13       1.994129253559e-08      -1.244341768645e-03      -9.728235652484e-08       6.010714220860e-01       6.968936922817e-01      -1.659122222010e-03      -1.458540556721e-07       2.009587534687e-04      -1.244341973213e-03       1.064254114475e-34      -1.660831559261e-03      -1.460044856048e-07       2.011655726782e-04       3.333325963830e-01      -4.627473967405e-10      -1.551789107149e-13 
       7.092789502681e+00       1.551613489495e-05      -1.659442494068e-03      -9.731050073228e-08       3.989427290414e-08       9.973568226034e-08       1.055929011281e-13       1.994713645207e-08      -1.244581870551e-03      -9.731050036947e-08       6.010714161472e-01       6.968934006798e-01      -1.659442313323e-03      -1.458964213061e-07       2.009976404785e-04      -1.244582142057e-03       2.429161045535e-34      -1.661151979829e-03      -1.460468947938e-07       2.012044996019e-04       3.333325962381e-01      -6.139237559166e-10      -2.732549802671e-13 
       7.093477481228e+00       1.551765927097e-05      -1.659762660515e-03      -9.733865005820e-08       3.990596303691e-08       9.976490759228e-08       1.056445977460e-13       1.995298151846e-08      -1.244821995386e-03      -9.733864960585e-08       6.010714101927e-01       6.968931090659e-01      -1.659762435195e-03      -1.459387951211e-07       2.010365312393e-04      -1.244822333849e-03       4.638519066392e-34      -1.661472431029e-03      -1.460893121760e-07       2.012434302855e-04       3.333325960933e-01      -7.650247838802e-10      -4.245111058108e-13 
       7.094904646720e+00       1.552082149906e-05      -1.660426921889e-03      -9.739706114836e-08       3.993022077151e-08       9.982555192877e-08       1.057519037969e-13       1.996511038575e-08      -1.245320191417e-03      -9.739706051010e-08       6.010713977842e-01       6.968925040878e-01      -1.660426604061e-03      -1.460267228588e-07       2.011172194834e-04      -1.245320668840e-03       1.278328314191e-33      -1.662137283311e-03      -1.461773303306e-07       2.013242013769e-04       3.333325957928e-01      -1.078233732476e-09      -8.440747541093e-13 
       7.096331812213e+00       1.552398374331e-05      -1.661091314822e-03      -9.745549544752e-08       3.995448840804e-08       9.988622102010e-08       1.058592974400e-13       1.997724420402e-08      -1.245818486117e-03      -9.745549462311e-08       6.010713852951e-01       6.968918990440e-01      -1.661090904429e-03      -1.461146858123e-07       2.011979238691e-04      -1.245819102583e-03       2.729321945281e-33      -1.662802267447e-03      -1.462653837562e-07       2.014049886526e-04       3.333325954922e-01      -1.391119092715e-09      -1.406379074154e-12 
       7.097758977705e+00       1.552714600372e-05      -1.661755839313e-03      -9.751395296021e-08       3.997876594706e-08       9.994691486764e-08       1.059667787254e-13       1.998938297353e-08      -1.246316879484e-03      -9.751395194945e-08       6.010713727353e-01       6.968912939455e-01      -1.661755336299e-03      -1.462026839889e-07       2.012786443963e-04      -1.246317635078e-03       5.004737344227e-33      -1.663467383405e-03      -1.463534724573e-07       2.014857921088e-04       3.333325951916e-01      -1.703681258436e-09      -2.111395055897e-12 
       7.099186143198e+00       1.553030828029e-05      -1.662420495360e-03      -9.757243369097e-08       4.000305338876e-08       1.000076334719e-07       1.060743477022e-13       2.000152669438e-08      -1.246815371520e-03      -9.757243249361e-08       6.010713601165e-01       6.968906888056e-01      -1.662419899668e-03      -1.462907173954e-07       2.013593810649e-04      -1.246816266323e-03       8.291406574666e-33      -1.664132631151e-03      -1.464415964380e-07       2.015666117412e-04       3.333325948909e-01      -2.015920622508e-09      -2.959093885869e-12 
