# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   18       8.748555255136e+02       3.635447710072e-03       1.032972822027e-04       1.141632718660e+00       1.259390765065e-07       1.793940059543e-03      -4.749518212882e-07 
   19       8.872846775293e+02       4.323202057412e-03       1.148660518741e-04       1.206483119833e+00       1.276392696997e-07       1.736372611392e-03      -1.055947128849e-07 
   20       9.001876854050e+02       5.155413257245e-03       1.270589563220e-04       1.275479804863e+00       1.291061354014e-07       1.680279502722e-03       3.424016157987e-08 
   21       9.135909459553e+02       6.126858705721e-03       1.398772887982e-04       1.348238620538e+00       1.304248942754e-07       1.627862253125e-03      -6.206402420858e-08 
   22       9.274003171938e+02       7.233484198069e-03       1.533222432856e-04       1.423323182146e+00       1.315714937109e-07       1.580223498907e-03      -3.218982833242e-07 
   23       9.416504533523e+02       8.476875307268e-03       1.673949440366e-04       1.498610948337e+00       1.326142554703e-07       1.535808841174e-03      -6.534227452348e-07 
   24       9.562608697910e+02       9.858873827638e-03       1.820964229722e-04       1.571309074479e+00       1.335058431239e-07       1.490582066560e-03      -9.380240144310e-07 
   25       9.712325290929e+02       1.137940972984e-02       1.974276614488e-04       1.638644431071e+00       1.342994412356e-07       1.446415006318e-03      -1.109360891459e-06 
   26       9.864884787468e+02       1.303968843722e-02       2.133895630025e-04       1.698019720002e+00       1.349741342709e-07       1.406155261430e-03      -1.128637846251e-06 
   27       1.002058834275e+03       1.485513946362e-02       2.299829932927e-04       1.749191089861e+00       1.355561376962e-07       1.369096154261e-03      -1.025386427943e-06 
   28       1.017930313270e+03       1.684545405382e-02       2.472087615034e-04       1.792776309968e+00       1.360099900470e-07       1.332534425446e-03      -8.658165106924e-07 
   29       1.034130620961e+03       1.902141842618e-02       2.650676845603e-04       1.829094850382e+00       1.364070287965e-07       1.296872117694e-03      -6.950338320181e-07 
   30       1.050601700620e+03       2.139091307769e-02       2.835605341178e-04       1.858555399848e+00       1.367672809655e-07       1.262983829508e-03      -5.633613314939e-07 
   31       1.067211163246e+03       2.396137675186e-02       3.026880363210e-04       1.881628608554e+00       1.370128303849e-07       1.231076774653e-03      -5.239509943616e-07 
   32       1.083997376346e+03       2.673976844791e-02       3.224509514363e-04       1.898163388412e+00       1.371873732091e-07       1.201318589460e-03      -5.739221105066e-07 
   33       1.100997486358e+03       2.973249867176e-02       3.428500230379e-04       1.907816794666e+00       1.373185420365e-07       1.173211987285e-03      -6.813154828371e-07 
   34       1.118199116478e+03       3.294557222929e-02       3.638859681703e-04       1.910106330256e+00       1.373708555985e-07       1.145699229523e-03      -8.033434988508e-07 
   35       1.135624974649e+03       3.638524092138e-02       3.855595147552e-04       1.903990369249e+00       1.373752858162e-07       1.118832973945e-03      -9.121356902556e-07 
   36       1.153265310457e+03       4.005751111824e-02       4.078713785480e-04       1.888120122758e+00       1.373383364585e-07       1.092708788022e-03      -9.789325982530e-07 
   37       1.171079345126e+03       4.396812164602e-02       4.308222490709e-04       1.861215828541e+00       1.372217792127e-07       1.067159522853e-03      -9.765415498687e-07 
   38       1.189099744872e+03       4.812317851181e-02       4.544127716651e-04       1.823030798128e+00       1.370630162021e-07       1.042454542022e-03      -9.147480273925e-07 
   39       1.207354146870e+03       5.252868779154e-02       4.786435607317e-04       1.773706531129e+00       1.368969412228e-07       1.018807344808e-03      -8.219009373926e-07 
   40       1.225831925795e+03       5.719036098831e-02       5.035152052590e-04       1.713525698364e+00       1.367107428592e-07       9.961296997736e-04      -7.379444244842e-07 
   41       1.244497918312e+03       6.211344109578e-02       5.290282461543e-04       1.642810507817e+00       1.364587451968e-07       9.741497380192e-04      -7.041968385994e-07 
   42       1.263348872451e+03       6.730215947777e-02       5.551830980295e-04       1.561557211566e+00       1.361629292809e-07       9.529963069025e-04      -7.226231108034e-07 
   43       1.282368440932e+03       7.276006942490e-02       5.819801028878e-04       1.469697181732e+00       1.358479711268e-07       9.327892991468e-04      -7.795995405038e-07 
   44       1.301508083460e+03       7.849015583310e-02       6.094195501264e-04       1.367197978630e+00       1.355066183176e-07       9.134480140413e-04      -8.553205150688e-07 
   45       1.320713862911e+03       8.449522135491e-02       6.375016477021e-04       1.253980769071e+00       1.351116631993e-07       8.947755502049e-04      -9.283131376172e-07 
   46       1.340023203354e+03       9.077925339643e-02       6.662264278471e-04       1.129640714293e+00       1.346866623986e-07       8.768502249128e-04      -9.934212733783e-07 
   47       1.359492138403e+03       9.734641463545e-02       6.955938113618e-04       9.936447403324e-01       1.342591422474e-07       8.597434692372e-04      -1.050410001269e-06 
   48       1.379166981614e+03       1.042006563242e-01       7.256036303503e-04       8.454042046249e-01       1.338368700022e-07       8.433919617857e-04      -1.099362814290e-06 
   49       1.399083143669e+03       1.113457121830e-01       7.562556255602e-04       6.842711102877e-01       1.334018528592e-07       8.275749842296e-04      -1.140729586870e-06 
   50       1.419262026674e+03       1.187846029288e-01       7.875494432910e-04       5.096625961852e-01       1.329220541442e-07       8.120105476326e-04      -1.175592305164e-06 
   51       1.439703457336e+03       1.265180054786e-01       8.194846313006e-04       3.214830267974e-01       1.324111706985e-07       7.967483493172e-04      -1.206468496933e-06 
   52       1.460389155297e+03       1.345454305293e-01       8.520606371892e-04       1.198099300361e-01       1.318888667010e-07       7.818934024177e-04      -1.236916374613e-06 
   53       1.481283233425e+03       1.428656447892e-01       8.852768061171e-04      -9.522206750176e-02       1.313619482206e-07       7.674901481590e-04      -1.271432689077e-06 
   54       1.502330924514e+03       1.514766418424e-01       9.191323781241e-04      -3.234189897415e-01       1.308208331284e-07       7.535123165880e-04      -1.315544947870e-06 
   55       1.523478374592e+03       1.603763490818e-01       9.536265480861e-04      -5.645957717840e-01       1.302477560757e-07       7.398994247002e-04      -1.374229920798e-06 
   56       1.544740697918e+03       1.695650209068e-01       9.887586691689e-04      -8.188060558740e-01       1.296559409280e-07       7.267077796321e-04      -1.446242748302e-06 
   57       1.566148598026e+03       1.790433890141e-01       1.024528095222e-03      -1.086165539243e+00       1.290625670722e-07       7.139963609406e-04      -1.527869074401e-06 
   58       1.587728339670e+03       1.888119779705e-01       1.060934122333e-03      -1.366786949810e+00       1.284763529539e-07       7.017782488542e-04      -1.614330434319e-06 
   59       1.609501296304e+03       1.988711047556e-01       1.097975988591e-03      -1.660780542594e+00       1.278953838383e-07       6.900139752874e-04      -1.699683742243e-06 
   60       1.631483497560e+03       2.092208783037e-01       1.135652873842e-03      -1.968254596111e+00       1.273047412058e-07       6.786045904391e-04      -1.776717203079e-06 
   61       1.653686866388e+03       2.198604054301e-01       1.173964014782e-03      -2.289286188142e+00       1.266844329770e-07       6.674338870797e-04      -1.838547131484e-06 
   62       1.676124278712e+03       2.307852013611e-01       1.212909080946e-03      -2.623824734624e+00       1.260437255152e-07       6.565288358415e-04      -1.884296244971e-06 
   63       1.698804841631e+03       2.419891945124e-01       1.252487883073e-03      -2.971767581369e+00       1.253973508424e-07       6.459399442358e-04      -1.915122744347e-06 
   64       1.721731912957e+03       2.534654436863e-01       1.292700268574e-03      -3.332987376358e+00       1.247552014398e-07       6.356932717443e-04      -1.932725918221e-06 
   65       1.744902702312e+03       2.652061124336e-01       1.333546124949e-03      -3.707331623135e+00       1.241211321238e-07       6.257870868941e-04      -1.939396978941e-06 
   66       1.768307872211e+03       2.772024434147e-01       1.375025383213e-03      -4.094622234194e+00       1.234916611800e-07       6.161883929726e-04      -1.938071599005e-06 
   67       1.791931139156e+03       2.894447327621e-01       1.417138021304e-03      -4.494655084376e+00       1.228545675478e-07       6.068293223843e-04      -1.932384147925e-06 
   68       1.815756265880e+03       3.019233455032e-01       1.459884126303e-03      -4.907217368049e+00       1.221949528994e-07       5.976354765753e-04      -1.925914959013e-06 
   69       1.839790574995e+03       3.146320580651e-01       1.503264088037e-03      -5.332144752981e+00       1.215199531802e-07       5.886296925655e-04      -1.919534453944e-06 
   70       1.864045505099e+03       3.275653501034e-01       1.547278451027e-03      -5.769275058251e+00       1.208411543386e-07       5.798528933474e-04      -1.913357035676e-06 
   71       1.888529435068e+03       3.407174243352e-01       1.591927864001e-03      -6.218431483709e+00       1.201672468840e-07       5.713331415131e-04      -1.907478150019e-06 
   72       1.913247474171e+03       3.540822075267e-01       1.637213084818e-03      -6.679422618704e+00       1.195033564475e-07       5.630839817446e-04      -1.901971353591e-06 
   73       1.938201252199e+03       3.676533514801e-01       1.683134985392e-03      -7.152042450818e+00       1.188503232060e-07       5.551027238052e-04      -1.896885270617e-06 
   74       1.963388709583e+03       3.814242340210e-01       1.729694556612e-03      -7.636070374599e+00       1.182039286961e-07       5.473686660316e-04      -1.892240438573e-06 
   75       1.988803887515e+03       3.953879599859e-01       1.776892913269e-03      -8.131271200292e+00       1.175540685422e-07       5.398412593264e-04      -1.888026042674e-06 
   76       2.014440511722e+03       4.095369117698e-01       1.824731242490e-03      -8.637394673151e+00       1.168892252125e-07       5.324762067860e-04      -1.884223827286e-06 
   77       2.040303962189e+03       4.238613041654e-01       1.873210627337e-03      -9.154173910874e+00       1.162138795769e-07       5.252832139934e-04      -1.880895146098e-06 
   78       2.066401115007e+03       4.383503665618e-01       1.922332199832e-03      -9.681326695766e+00       1.155357482413e-07       5.182805036117e-04      -1.878111443221e-06 
   79       2.092736612415e+03       4.529927618881e-01       1.972097198296e-03      -1.021855593760e+01       1.148606019801e-07       5.114772570904e-04      -1.875927062439e-06 
   80       2.119312730710e+03       4.677765783651e-01       2.022506971110e-03      -1.076554967231e+01       1.141918753776e-07       5.048726460843e-04      -1.874377192413e-06 
   81       2.146129248164e+03       4.826893212550e-01       2.073562980480e-03      -1.132198106070e+01       1.135302499024e-07       4.984548333155e-04      -1.873475744624e-06 
   82       2.173183312934e+03       4.977179046131e-01       2.125266806204e-03      -1.188750838712e+01       1.128732097300e-07       4.921999428786e-04      -1.873213164040e-06 
   83       2.200469310981e+03       5.128486430374e-01       2.177620149431e-03      -1.246177505816e+01       1.122145696236e-07       4.860709999884e-04      -1.873554172515e-06 
   84       2.227981591534e+03       5.280677512080e-01       2.230624810422e-03      -1.304441266556e+01       1.115474468006e-07       4.800309042018e-04      -1.874459228300e-06 
   85       2.255723451958e+03       5.433629557215e-01       2.284282609333e-03      -1.363505076100e+01       1.108754873531e-07       4.740875422619e-04      -1.875960320554e-06 
   86       2.283699407144e+03       5.587221365818e-01       2.338595459135e-03      -1.423330870693e+01       1.102043923324e-07       4.682578406734e-04      -1.878099669036e-06 
   87       2.311912381559e+03       5.741328434514e-01       2.393565393740e-03      -1.483879280585e+01       1.095385386587e-07       4.625542203115e-04      -1.880906291787e-06 
   88       2.340363625193e+03       5.895822959358e-01       2.449194571326e-03      -1.545109635057e+01       1.088807410471e-07       4.569841260765e-04      -1.884394668137e-06 
   89       2.369052629492e+03       6.050573838683e-01       2.505485277662e-03      -1.606979967436e+01       1.082319992825e-07       4.515495427746e-04      -1.888563362826e-06 
   90       2.397977043304e+03       6.205446675958e-01       2.562439929439e-03      -1.669447020118e+01       1.075912305019e-07       4.462464972253e-04      -1.893393611239e-06 
   91       2.427132588815e+03       6.360303782626e-01       2.620061077595e-03      -1.732466249584e+01       1.069549861405e-07       4.410645465965e-04      -1.898847865755e-06 
   92       2.456512977488e+03       6.515004180962e-01       2.678351410643e-03      -1.795991831423e+01       1.063171531973e-07       4.359862529661e-04      -1.904868303214e-06 
   93       2.486111985833e+03       6.669405780229e-01       2.737313817737e-03      -1.859977188388e+01       1.056714726833e-07       4.309941654102e-04      -1.911381253263e-06 
   94       2.515930222412e+03       6.823372273375e-01       2.796951581479e-03      -1.924376654521e+01       1.050206934656e-07       4.260947822968e-04      -1.918315053598e-06 
   95       2.545969227906e+03       6.976767287695e-01       2.857268220400e-03      -1.989144071759e+01       1.043695564415e-07       4.212989764138e-04      -1.925583379020e-06 
   96       2.576229352290e+03       7.129452336185e-01       2.918267435893e-03      -2.054232301232e+01       1.037220746439e-07       4.166146819122e-04      -1.933078258599e-06 
