# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03233e-05 to 167.815 h/Mpc,
# number of wavenumbers equal to 627
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.889845687494e-04       1.940905596231e+07       1.956454609460e+07       2.190521070771e+07       2.177256352033e+07       1.954737795166e+07       5.881330417957e+06 
       2.052144240265e-04       1.941115760817e+07       1.956251189317e+07       2.122284027630e+07       2.107055586800e+07       1.954308053165e+07       5.881115411221e+06 
       2.220569521581e-04       1.941345572785e+07       1.956023956702e+07       2.047886515273e+07       2.030585908682e+07       1.953826497628e+07       5.880874647893e+06 
       2.395805616743e-04       1.941595753282e+07       1.955770357642e+07       1.967147952817e+07       1.947683952858e+07       1.953287320920e+07       5.880605196933e+06 
       2.578597888579e-04       1.941866715541e+07       1.955487901705e+07       1.879934371144e+07       1.858239209286e+07       1.952684264245e+07       5.880303490972e+06 
       2.769759711429e-04       1.942158787745e+07       1.955173247919e+07       1.786181152924e+07       1.762217747277e+07       1.952009624378e+07       5.879965444954e+06 
       2.970179482262e-04       1.942472279726e+07       1.954822934270e+07       1.685922790054e+07       1.659694226321e+07       1.951254888770e+07       5.879587271352e+06 
       3.180827768570e-04       1.942806416347e+07       1.954433010162e+07       1.579328990748e+07       1.550889183227e+07       1.950410262565e+07       5.879162935010e+06 
       3.402764378175e-04       1.943160056194e+07       1.953999033112e+07       1.466746998429e+07       1.436213723371e+07       1.949464541611e+07       5.878686217600e+06 
       3.637145039639e-04       1.943530938823e+07       1.953516095229e+07       1.348751609640e+07       1.316320410655e+07       1.948405003573e+07       5.878149118329e+06 
       3.885227261229e-04       1.943916095674e+07       1.952978611481e+07       1.226198643335e+07       1.192157838995e+07       1.947217042937e+07       5.877543798793e+06 
       4.148374790385e-04       1.944310178859e+07       1.952380616162e+07       1.100279822231e+07       1.065025616079e+07       1.945884300305e+07       5.876858295067e+06 
       4.428059927733e-04       1.944706442745e+07       1.951715473110e+07       9.725707038308e+06       9.366203023346e+06       1.944388194528e+07       5.876080515968e+06 
       4.725862768816e-04       1.945095257664e+07       1.950976053104e+07       8.450636347363e+06       8.090623302368e+06       1.942707925360e+07       5.875194020726e+06 
       5.043466271475e-04       1.945464218405e+07       1.950154634032e+07       7.201649101863e+06       6.848857548701e+06       1.940820190308e+07       5.874180094100e+06 
       5.382645907986e-04       1.945797499960e+07       1.949243184551e+07       6.006425573493e+06       5.669706066274e+06       1.938699320972e+07       5.873016115459e+06 
       5.745252604202e-04       1.946075167129e+07       1.948233103655e+07       4.894964796583e+06       4.583931137913e+06       1.936316908313e+07       5.871673854459e+06 
       6.133187753077e-04       1.946273538720e+07       1.947115765755e+07       3.897332814121e+06       3.621751613676e+06       1.933642297536e+07       5.870119669391e+06 
       6.548369385810e-04       1.946365369220e+07       1.945882375339e+07       3.040363095187e+06       2.809244304729e+06       1.930642501743e+07       5.868313701977e+06 
       6.992689154395e-04       1.946319802933e+07       1.944524153454e+07       2.343467834013e+06       2.163884991567e+06       1.927282576540e+07       5.866209893910e+06 
       7.467960660388e-04       1.946104616045e+07       1.943032331335e+07       1.814138314948e+06       1.689887700900e+06       1.923525974724e+07       5.863754967596e+06 
       7.975860833042e-04       1.945687919828e+07       1.941398595834e+07       1.444225974536e+06       1.374560636643e+06       1.919335569908e+07       5.860892384308e+06 
       8.517867403150e-04       1.945040400548e+07       1.939614654579e+07       1.208520055418e+06       1.187324516790e+06       1.914674003583e+07       5.857563226350e+06 
       9.095196820706e-04       1.944137680850e+07       1.937672556207e+07       1.067227207095e+06       1.083070032930e+06       1.909505038226e+07       5.853711472182e+06 
       9.708747924186e-04       1.942963090273e+07       1.935564554372e+07       9.732078931632e+05       1.010632305888e+06       1.903794626149e+07       5.849289749922e+06 
       1.035905696766e-03       1.941507651885e+07       1.933283362597e+07       8.831501421563e+05       9.252771468363e+05       1.897512508822e+07       5.844264013472e+06 
       1.104626901547e-03       1.939770657739e+07       1.930822180896e+07       7.695280470248e+05       8.015417538322e+05       1.890633619823e+07       5.838617902596e+06 
       1.177012918272e-03       1.937755975709e+07       1.928175406447e+07       6.283586412565e+05       6.408962538616e+05       1.883140077671e+07       5.832350523204e+06 
       1.252999494743e-03       1.935469519904e+07       1.925339016594e+07       4.780227235992e+05       4.691943926417e+05       1.875022634716e+07       5.825470577433e+06 
       1.332486822317e-03       1.932912465997e+07       1.922307865514e+07       3.478486600440e+05       3.228834966680e+05       1.866279088851e+07       5.817974956334e+06 
       1.415344359384e-03       1.930084973070e+07       1.919081781842e+07       2.609118734791e+05       2.293474408522e+05       1.856920064252e+07       5.809851992601e+06 
       1.501416753535e-03       1.926990293714e+07       1.915668235441e+07       2.202062137219e+05       1.917401136101e+05       1.846971206773e+07       5.801082709489e+06 
       1.590530283027e-03       1.923627631800e+07       1.912072442859e+07       2.070501681588e+05       1.879295661616e+05       1.836463803544e+07       5.791611244898e+06 
       1.682499270248e-03       1.920001018052e+07       1.908300754118e+07       1.935953865577e+05       1.851470008837e+05       1.825436683395e+07       5.781371685287e+06 
       1.777132022643e-03       1.916121900535e+07       1.904360052437e+07       1.614533507881e+05       1.610802480719e+05       1.813934298500e+07       5.770306995329e+06 
       1.874235996063e-03       1.912009941030e+07       1.900257227763e+07       1.131364149972e+05       1.166766830135e+05       1.802004705299e+07       5.758388748873e+06 
       1.973622019026e-03       1.907691979499e+07       1.895998679313e+07       6.762326485727e+04       7.141941245345e+04       1.789697458959e+07       5.745632189196e+06 
       2.075107540025e-03       1.903197527787e+07       1.891590797651e+07       4.359084792512e+04       4.531914397605e+04       1.777062534905e+07       5.732092390301e+06 
       2.178518951529e-03       1.898556144899e+07       1.887040104356e+07       4.398859778347e+04       4.253324110548e+04       1.764149018592e+07       5.717859894248e+06 
       2.283693101496e-03       1.893793708823e+07       1.882353255577e+07       5.458037744832e+04       4.982543531006e+04       1.751003844129e+07       5.703045404637e+06 
