# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.073192211008e+03       6.316575741678e-02       0.000000000000e+00       3.718507885941e+00       4.943592811505e-08       3.208432160451e-03      -1.743022952363e-05 
    3       1.007964988529e+03       1.145769258686e-01       0.000000000000e+00       4.854924806374e+00       6.140335165788e-08       3.239588587348e-03      -2.246280649091e-05 
    4       9.438870110863e+02       1.436719191838e-01       0.000000000000e+00       5.179888775271e+00       7.129652731928e-08       3.183702541157e-03      -2.407331368042e-05 
    5       8.927928618583e+02       1.437065200202e-01       0.000000000000e+00       4.988351454715e+00       7.990724953389e-08       3.095390017576e-03      -2.301141866144e-05 
    6       8.544876501720e+02       1.209464287038e-01       0.000000000000e+00       4.506085705468e+00       8.746558381703e-08       2.992590741138e-03      -1.991147366630e-05 
    7       8.267858495063e+02       8.787846641746e-02       0.000000000000e+00       3.895380848924e+00       9.410991906718e-08       2.884071814005e-03      -1.549039472787e-05 
    8       8.080276650610e+02       5.621173440432e-02       0.000000000000e+00       3.257155981379e+00       9.998608733628e-08       2.774810190483e-03      -1.046931449545e-05 
    9       7.958670872155e+02       3.294244510310e-02       0.000000000000e+00       2.655323425529e+00       1.052449159936e-07       2.667531032932e-03      -5.510982188104e-06 
   10       7.891911186442e+02       1.966658581619e-02       0.000000000000e+00       2.130699696228e+00       1.100108593513e-07       2.564069630414e-03      -1.157795068910e-06 
   11       7.867687199653e+02       1.418040825810e-02       0.000000000000e+00       1.707686430489e+00       1.112144072759e-07       2.470865417970e-03       2.180064061582e-06 
   12       7.873680177478e+02       1.287783406010e-02       0.000000000000e+00       1.398056994345e+00       1.148568053678e-07       2.373753578148e-03       4.362308477681e-06 
   13       7.908288065500e+02       1.270437671946e-02       0.000000000000e+00       1.200522876262e+00       1.181165322876e-07       2.282787728796e-03       5.340602219243e-06 
   14       7.962534891963e+02       1.206987831976e-02       0.000000000000e+00       1.102796250190e+00       1.210389071209e-07       2.202793490360e-03       5.234526040583e-06 
   15       8.031524866165e+02       1.076958849968e-02       0.000000000000e+00       1.085895905365e+00       1.236599088575e-07       2.125030609055e-03       4.244713770431e-06 
   16       8.114616714957e+02       9.353515169649e-03       0.000000000000e+00       1.126317355659e+00       1.260093032521e-07       2.052138613319e-03       2.666031268269e-06 
   17       8.206811561007e+02       8.440078833238e-03       0.000000000000e+00       1.200956934685e+00       1.281138472901e-07       1.984623446770e-03       8.107225883185e-07 
   18       8.308086798781e+02       8.306128859109e-03       0.000000000000e+00       1.289550869521e+00       1.299468856276e-07       1.921139239062e-03      -1.023385273108e-06 
   19       8.418611316028e+02       8.779596352149e-03       0.000000000000e+00       1.378688432937e+00       1.316793946132e-07       1.863335758437e-03      -2.615289230174e-06 
   20       8.533971825078e+02       9.483485228613e-03       0.000000000000e+00       1.455430369620e+00       1.331708777314e-07       1.808816411253e-03      -3.776620018621e-06 
   21       8.654677835501e+02       1.014029667285e-02       0.000000000000e+00       1.515435141077e+00       1.345095474301e-07       1.756567709406e-03      -4.420038463729e-06 
   22       8.780508071592e+02       1.052479673581e-02       0.000000000000e+00       1.557960589955e+00       1.356704587572e-07       1.703747395582e-03      -4.547726599132e-06 
   23       8.910987494109e+02       1.073533645930e-02       0.000000000000e+00       1.584949543838e+00       1.367243593705e-07       1.652386169276e-03      -4.214511693279e-06 
   24       9.044261052745e+02       1.100525613511e-02       0.000000000000e+00       1.600254041600e+00       1.376225128762e-07       1.604825569234e-03      -3.546375167761e-06 
   25       9.181294775535e+02       1.153392821849e-02       0.000000000000e+00       1.608700046333e+00       1.384195763116e-07       1.561502070180e-03      -2.673183478442e-06 
   26       9.322589564017e+02       1.249577586788e-02       0.000000000000e+00       1.615924874485e+00       1.390934642793e-07       1.520642531851e-03      -1.759247950936e-06 
   27       9.466926486270e+02       1.388844021943e-02       0.000000000000e+00       1.626011686057e+00       1.396717305588e-07       1.480774771119e-03      -9.400501914948e-07 
   28       9.612034658667e+02       1.564293200263e-02       0.000000000000e+00       1.642271060171e+00       1.401186368534e-07       1.439898286258e-03      -3.436311621837e-07 
   29       9.758535073844e+02       1.771208926698e-02       0.000000000000e+00       1.665177240335e+00       1.405078941075e-07       1.399229302036e-03      -1.795143589670e-08 
   30       9.907254979833e+02       2.003924641946e-02       0.000000000000e+00       1.693886833851e+00       1.408596783354e-07       1.360740539906e-03       3.106350060215e-08 
   31       1.005830857250e+03       2.256253390069e-02       0.000000000000e+00       1.726704569903e+00       1.410928250094e-07       1.325788395397e-03      -1.762050273890e-07 
   32       1.021193705848e+03       2.527798318831e-02       0.000000000000e+00       1.760585423321e+00       1.412524501312e-07       1.294494322611e-03      -5.911897203361e-07 
   33       1.036779607314e+03       2.819953795317e-02       0.000000000000e+00       1.791300120240e+00       1.413674528558e-07       1.265682042635e-03      -1.128632169509e-06 
