# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01544e-05 to 156.024 h/Mpc,
# number of wavenumbers equal to 620
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.015444903842e-05       2.086877703048e+07       2.119401884956e+07       2.824410813094e+07       2.824361267678e+07       2.118911131531e+07       5.922978664203e+06 
       2.299612104578e-05       2.086940745521e+07       2.119343087746e+07       2.818318861164e+07       2.818065220190e+07       2.118835822455e+07       5.922972262581e+06 
       3.588197922925e-05       2.087052266002e+07       2.119238026925e+07       2.807491049998e+07       2.806875467884e+07       2.118701337048e+07       5.922960174384e+06 
       4.884648045962e-05       2.087213094905e+07       2.119086298145e+07       2.791881631814e+07       2.790746119705e+07       2.118507012256e+07       5.922942927193e+06 
       6.192464195695e-05       2.087423949291e+07       2.118886767169e+07       2.771416784478e+07       2.769602920371e+07       2.118251315111e+07       5.922920561826e+06 
       7.515235163443e-05       2.087685886867e+07       2.118637964856e+07       2.745995652550e+07       2.743344435453e+07       2.117932230573e+07       5.922893136995e+06 
       8.856668822679e-05       2.088000217401e+07       2.118337985480e+07       2.715490985123e+07       2.711842771235e+07       2.117547150126e+07       5.922860758196e+06 
       1.022062554401e-04       2.088368493009e+07       2.117984482284e+07       2.679750080932e+07       2.674944758467e+07       2.117092854227e+07       5.922823502853e+06 
       1.161115343925e-04       2.088792558912e+07       2.117574700322e+07       2.638596335851e+07       2.632473656517e+07       2.116565528853e+07       5.922781608183e+06 
       1.303252586485e-04       2.089274456575e+07       2.117105387440e+07       2.591831177982e+07       2.584231388019e+07       2.115960656059e+07       5.922735300252e+06 
       1.448928161580e-04       2.089816311992e+07       2.116572683195e+07       2.539236800315e+07       2.530001684313e+07       2.115272878011e+07       5.922684568746e+06 
       1.598626823566e-04       2.090420589844e+07       2.115972393097e+07       2.480580660267e+07       2.469555033024e+07       2.114496241389e+07       5.922630025423e+06 
       1.752868885163e-04       2.091089674808e+07       2.115299608152e+07       2.415620841496e+07       2.402654462158e+07       2.113623781673e+07       5.922571934919e+06 
       1.912215290866e-04       2.091825954072e+07       2.114548848064e+07       2.344113649379e+07       2.329064245266e+07       2.112647622878e+07       5.922510687251e+06 
       2.077273111378e-04       2.092631759974e+07       2.113714107310e+07       2.265824732872e+07       2.248561363064e+07       2.111558974872e+07       5.922447002956e+06 
       2.248701479943e-04       2.093508999098e+07       2.112788632605e+07       2.180542372287e+07       2.160950215781e+07       2.110347850800e+07       5.922381329675e+06 
       2.427217975539e-04       2.094459148202e+07       2.111765141246e+07       2.088095765339e+07       2.066082450100e+07       2.109003215432e+07       5.922314430585e+06 
       2.613605434252e-04       2.095482779054e+07       2.110635650124e+07       1.988378784598e+07       1.963881709870e+07       2.107512734008e+07       5.922246790574e+06 
       2.808719136204e-04       2.096579320338e+07       2.109391656786e+07       1.881379925423e+07       1.854375307316e+07       2.105862859190e+07       5.922178881400e+06 
       3.013494267870e-04       2.097746534355e+07       2.108024177355e+07       1.767218625506e+07       1.737732969320e+07       2.104038757745e+07       5.922110834445e+06 
       3.228953494968e-04       2.098980032278e+07       2.106523989474e+07       1.646190184378e+07       1.614313642968e+07       2.102024428252e+07       5.922042437056e+06 
       3.456214395331e-04       2.100272395142e+07       2.104881678180e+07       1.518818412899e+07       1.484719558625e+07       2.099802604931e+07       5.921972228719e+06 
       3.696496390561e-04       2.101612450902e+07       2.103088056651e+07       1.385914309747e+07       1.349856757273e+07       2.097355016266e+07       5.921897180885e+06 
       3.951126677301e-04       2.102984336057e+07       2.101134589754e+07       1.248638528114e+07       1.210997924035e+07       2.094662630586e+07       5.921811798873e+06 
       4.221544493416e-04       2.104366452458e+07       2.099013904524e+07       1.108560674135e+07       1.069840828339e+07       2.091705972729e+07       5.921706743969e+06 
       4.509302866122e-04       2.105730518450e+07       2.096720496322e+07       9.677070950953e+06       9.285513734153e+06       2.088465630685e+07       5.921567180932e+06 
       4.816066790341e-04       2.107040668914e+07       2.094251439144e+07       8.285779209238e+06       7.897744765744e+06       2.084922755133e+07       5.921370232063e+06 
       5.143606600048e-04       2.108253145349e+07       2.091607349720e+07       6.941182431894e+06       6.565908838655e+06       2.081059836187e+07       5.921082382278e+06 
       5.493785161642e-04       2.109316460027e+07       2.088793106097e+07       5.676131729565e+06       5.323926240311e+06       2.076861263679e+07       5.920655744289e+06 
       5.868537491850e-04       2.110172905086e+07       2.085818685001e+07       4.524811638701e+06       4.206511328482e+06       2.072314049857e+07       5.920024903067e+06 
       6.269841554110e-04       2.110761260645e+07       2.082699350110e+07       3.519501422777e+06       3.245601636249e+06       2.067408013217e+07       5.919103528077e+06 
       6.699679394240e-04       2.111021448078e+07       2.079455445620e+07       2.686162130827e+06       2.465616454659e+06       2.062135689900e+07       5.917783276024e+06 
       7.159988503610e-04       2.110900761403e+07       2.076111220783e+07       2.039290194424e+06       1.878057469068e+06       2.056491439067e+07       5.915935753382e+06 
       7.652604369651e-04       2.110361278284e+07       2.072692682510e+07       1.577055655887e+06       1.476587991238e+06       2.050469813872e+07       5.913420058108e+06 
       8.179196534491e-04       2.109386856732e+07       2.069224319363e+07       1.278311025509e+06       1.234352478277e+06       2.044063036009e+07       5.910096869088e+06 
       8.741201969013e-04       2.107987870789e+07       2.065725317822e+07       1.103431228686e+06       1.105605174958e+06       2.037258234464e+07       5.905849904316e+06 
       9.339760902432e-04       2.106200942294e+07       2.062205760748e+07       1.000499905799e+06       1.033172322360e+06       2.030034913222e+07       5.900610955293e+06 
       9.975661072311e-04       2.104082014863e+07       2.058664059031e+07       9.168305060085e+05       9.615037304441e+05       2.022363844607e+07       5.894381836245e+06 
       1.064929633980e-03       2.101692892258e+07       2.055086644801e+07       8.131840501065e+05       8.521777671341e+05       2.014208329597e+07       5.887242587176e+06 
       1.136064455748e-03       2.099084424026e+07       2.051450506348e+07       6.753572615446e+05       6.958664803132e+05       2.005528267627e+07       5.879335679795e+06 
