# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.071191713789e+03       6.318473978302e-02       0.000000000000e+00       3.722755658515e+00       4.944158847546e-08       3.201110385318e-03      -1.743864166490e-05 
    3       1.006736168602e+03       1.145985940468e-01       0.000000000000e+00       4.858756519783e+00       6.140641188995e-08       3.232937154024e-03      -2.246987337724e-05 
    4       9.431089712873e+02       1.436824094352e-01       0.000000000000e+00       5.182143123657e+00       7.129992231387e-08       3.178100495472e-03      -2.407797398601e-05 
    5       8.922878964314e+02       1.436995012756e-01       0.000000000000e+00       4.989323610731e+00       7.991190889530e-08       3.090846900754e-03      -2.301358267021e-05 
    6       8.541585915246e+02       1.209241594823e-01       0.000000000000e+00       4.506265721891e+00       8.746886742796e-08       2.988965385281e-03      -1.991119480069e-05 
    7       8.265669091567e+02       8.784914898006e-02       0.000000000000e+00       3.895115387154e+00       9.411058569855e-08       2.881151989856e-03      -1.548803769568e-05 
    8       8.078829469253e+02       5.618457437402e-02       0.000000000000e+00       3.256678111652e+00       9.998550905020e-08       2.772520209988e-03      -1.046552072847e-05 
    9       7.957795608390e+02       3.292345289000e-02       0.000000000000e+00       2.654778180641e+00       1.052424187350e-07       2.665891946288e-03      -5.506576656137e-06 
   10       7.891521125695e+02       1.965695426536e-02       0.000000000000e+00       2.130160911054e+00       1.100071622715e-07       2.562976794575e-03      -1.153633646075e-06 
   11       7.867466913855e+02       1.417751374035e-02       0.000000000000e+00       1.707197986689e+00       1.112074661560e-07       2.470004623604e-03       2.183063409258e-06 
   12       7.873605363555e+02       1.287767754966e-02       0.000000000000e+00       1.397665856969e+00       1.148489709019e-07       2.373184572994e-03       4.364154968232e-06 
   13       7.908286378761e+02       1.270384021216e-02       0.000000000000e+00       1.200271194926e+00       1.181081681855e-07       2.282432095586e-03       5.340384275415e-06 
   14       7.962828712337e+02       1.206780009954e-02       0.000000000000e+00       1.102671617420e+00       1.210299119558e-07       2.202756698665e-03       5.232350314477e-06 
   15       8.031766849861e+02       1.076656999563e-02       0.000000000000e+00       1.085877833857e+00       1.236506846434e-07       2.125386733765e-03       4.241356764080e-06 
   16       8.114856638097e+02       9.350899088986e-03       0.000000000000e+00       1.126404697487e+00       1.259997242879e-07       2.052440890130e-03       2.661561625510e-06 
   17       8.207233778188e+02       8.438904720806e-03       0.000000000000e+00       1.201080587529e+00       1.281041567626e-07       1.984894319026e-03       8.057506360321e-07 
   18       8.308582303240e+02       8.306524065279e-03       0.000000000000e+00       1.289686121793e+00       1.299371156986e-07       1.921543713807e-03      -1.028258708839e-06 
   19       8.419089246478e+02       8.781002528075e-03       0.000000000000e+00       1.378822451082e+00       1.316695067096e-07       1.863899735728e-03      -2.619512165760e-06 
   20       8.534478332562e+02       9.484832843111e-03       0.000000000000e+00       1.455540693530e+00       1.331610020534e-07       1.809385657302e-03      -3.779665221920e-06 
   21       8.655214742418e+02       1.014087534951e-02       0.000000000000e+00       1.515505103445e+00       1.344997967056e-07       1.757057425518e-03      -4.421588380223e-06 
   22       8.780985676140e+02       1.052463010067e-02       0.000000000000e+00       1.557985801483e+00       1.356608344476e-07       1.704251478490e-03      -4.547795147938e-06 
   23       8.911371994002e+02       1.073489661136e-02       0.000000000000e+00       1.584932616463e+00       1.367148163368e-07       1.652985814099e-03      -4.213254968387e-06 
   24       9.044616129604e+02       1.100532355961e-02       0.000000000000e+00       1.600203875263e+00       1.376130123716e-07       1.605500249198e-03      -3.544051004442e-06 
   25       9.181670922163e+02       1.153512916292e-02       0.000000000000e+00       1.608632824101e+00       1.384101334337e-07       1.562159627672e-03      -2.670312170548e-06 
   26       9.322988756149e+02       1.249838661579e-02       0.000000000000e+00       1.615862710680e+00       1.390841790525e-07       1.521150061765e-03      -1.756606240955e-06 
   27       9.467338447141e+02       1.389244175168e-02       0.000000000000e+00       1.625971731667e+00       1.396626608586e-07       1.481111716363e-03      -9.381633924562e-07 
   28       9.612448729584e+02       1.564805036031e-02       0.000000000000e+00       1.642261276584e+00       1.401097436282e-07       1.440208040897e-03      -3.425592266981e-07 
   29       9.758944934530e+02       1.771808943565e-02       0.000000000000e+00       1.665199764414e+00       1.404991124407e-07       1.399635916323e-03      -1.766955506033e-08 
   30       9.907661443976e+02       2.004605675889e-02       0.000000000000e+00       1.693937936765e+00       1.408509628084e-07       1.361254824963e-03       3.052145434853e-08 
   31       1.005872015993e+03       2.257024840679e-02       0.000000000000e+00       1.726773832342e+00       1.410841707089e-07       1.326294230157e-03      -1.776599744569e-07 
   32       1.021236537844e+03       2.528667641859e-02       0.000000000000e+00       1.760657257433e+00       1.412438594573e-07       1.294889464532e-03      -5.935567088148e-07 
   33       1.036825449476e+03       2.820919666635e-02       0.000000000000e+00       1.791353738259e+00       1.413589297865e-07       1.265945090265e-03      -1.131739682570e-06 
