# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02929e-05 to 163.123 h/Mpc,
# number of wavenumbers equal to 624
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.029287750344e-05       1.995678741228e+07       2.026195283534e+07       2.700203994904e+07       2.700157238662e+07       2.025726127198e+07       5.884402609556e+06 
       2.306408629449e-05       1.995735019205e+07       2.026145088737e+07       2.694555600353e+07       2.694321244808e+07       2.025660616218e+07       5.884397516754e+06 
       3.587926851773e-05       1.995834270392e+07       2.026055930181e+07       2.684566481275e+07       2.684001094106e+07       2.025544302421e+07       5.884388065871e+06 
       4.877231764121e-05       1.995977128630e+07       2.025927362230e+07       2.670193304322e+07       2.669153238063e+07       2.025376503673e+07       5.884374599047e+06 
       6.177767675510e-05       1.996164340570e+07       2.025758500472e+07       2.651366890150e+07       2.649708018270e+07       2.025155971882e+07       5.884357328283e+06 
       7.493064049969e-05       1.996396800451e+07       2.025547961147e+07       2.627992549949e+07       2.625570095649e+07       2.024880826182e+07       5.884336081276e+06 
       8.826766647070e-05       1.996675870878e+07       2.025294236988e+07       2.599951170435e+07       2.596619623114e+07       2.024548919863e+07       5.884311360595e+06 
       1.018267001798e-04       1.997003013866e+07       2.024995290715e+07       2.567099428554e+07       2.562712636027e+07       2.024157422202e+07       5.884283275553e+06 
       1.156475176793e-04       1.997379976219e+07       2.024648749523e+07       2.529271257521e+07       2.523682627070e+07       2.023702998236e+07       5.884252096544e+06 
       1.297720899936e-04       1.997808742710e+07       2.024251820297e+07       2.486279239931e+07       2.479342332104e+07       2.023181705508e+07       5.884218199500e+06 
       1.442449735085e-04       1.998291537166e+07       2.023801312115e+07       2.437917072694e+07       2.429486446209e+07       2.022588994164e+07       5.884182128802e+06 
       1.591137304203e-04       1.998830619283e+07       2.023293426740e+07       2.383962758378e+07       2.373895133909e+07       2.021919471023e+07       5.884144133737e+06 
       1.744293831923e-04       1.999428597857e+07       2.022724096372e+07       2.324183751903e+07       2.312339722039e+07       2.021167205091e+07       5.884105220167e+06 
       1.902469066377e-04       2.000088001115e+07       2.022088573249e+07       2.258342698999e+07       2.244589330839e+07       2.020325278482e+07       5.884066118251e+06 
       2.066257606630e-04       2.000811391112e+07       2.021381631836e+07       2.186207230668e+07       2.170420799724e+07       2.019385945063e+07       5.884027890500e+06 
       2.236304657464e-04       2.001601112839e+07       2.020597405113e+07       2.107560935460e+07       2.089631306403e+07       2.018340412093e+07       5.883991583668e+06 
       2.413312217319e-04       2.002459294775e+07       2.019729547426e+07       2.022219737892e+07       2.002055383345e+07       2.017178941957e+07       5.883958729785e+06 
       2.598045683113e-04       2.003387471353e+07       2.018771090469e+07       1.930051390623e+07       1.907586356216e+07       2.015890633943e+07       5.883930874998e+06 
       2.791340823782e-04       2.004386337344e+07       2.017714507678e+07       1.831002441715e+07       1.806203857712e+07       2.014463406211e+07       5.883909683526e+06 
       2.994111029921e-04       2.005455450651e+07       2.016551855927e+07       1.725129709006e+07       1.698008060150e+07       2.012884036936e+07       5.883897073412e+06 
       3.207354686251e-04       2.006592609697e+07       2.015274737658e+07       1.612640015923e+07       1.583260932248e+07       2.011138014244e+07       5.883894642144e+06 
       3.432162433231e-04       2.007793388324e+07       2.013874587873e+07       1.493937751245e+07       1.462435234146e+07       2.009209695690e+07       5.883903756603e+06 
       3.669723980279e-04       2.009050436245e+07       2.012342909722e+07       1.369678171483e+07       1.336269778733e+07       2.007082397723e+07       5.883925143029e+06 
       3.921334003248e-04       2.010352422816e+07       2.010671414695e+07       1.240825569277e+07       1.205828246117e+07       2.004738375329e+07       5.883957607151e+06 
       4.188396502575e-04       2.011683452658e+07       2.008852785922e+07       1.108712025556e+07       1.072557229512e+07       2.002159411791e+07       5.883998027038e+06 
       4.472426819870e-04       2.013021860215e+07       2.006881018451e+07       9.750866749481e+06       9.383331749448e+06       1.999326972526e+07       5.884039275063e+06 
       4.775050320361e-04       2.014339276930e+07       2.004752114353e+07       8.421445576594e+06       8.054856125379e+06       1.996222710849e+07       5.884068232719e+06 
       5.097996567796e-04       2.015600029738e+07       2.002464913476e+07       7.125185022102e+06       6.767773540667e+06       1.992829125710e+07       5.884063430583e+06 
       5.443087681852e-04       2.016760888903e+07       2.000021929270e+07       5.892071610178e+06       5.553177787821e+06       1.989130235278e+07       5.883991748392e+06 
       5.812219526636e-04       2.017771633760e+07       1.997430077055e+07       4.754189108908e+06       4.443837090299e+06       1.985112198504e+07       5.883804636787e+06 
       6.207334498025e-04       2.018576755153e+07       1.994701234847e+07       3.743086281626e+06       3.471278091651e+06       1.980763844097e+07       5.883434223107e+06 
       6.630385030907e-04       2.019118636395e+07       1.991852281516e+07       2.886018290382e+06       2.661716708264e+06       1.976076790101e+07       5.882790063988e+06 
       7.083287599620e-04       2.019342721030e+07       1.988904766090e+07       2.201311551713e+06       2.031158282675e+06       1.971045331852e+07       5.881758947629e+06 
       7.567867966029e-04       2.019203586396e+07       1.985883154350e+07       1.693589096142e+06       1.580492574375e+06       1.965665104952e+07       5.880207104748e+06 
       8.085799700491e-04       2.018672311608e+07       1.982812632454e+07       1.350149828845e+06       1.292032003801e+06       1.959931527695e+07       5.877990312671e+06 
       8.638539422511e-04       2.017742669378e+07       1.979715758289e+07       1.140222408383e+06       1.129336907563e+06       1.953837319604e+07       5.874970652533e+06 
       9.227263530985e-04       2.016434000297e+07       1.976608452007e+07       1.018728762987e+06       1.042010743725e+06       1.947369591558e+07       5.871039363398e+06 
       9.852812088663e-04       2.014789514752e+07       1.973497119073e+07       9.351900141784e+05       9.759695638861e+05       1.940508259302e+07       5.866144427540e+06 
