# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:(.)p_prime_scf        19:phi_scf               20:phi'_scf              21:V_scf                 22:V'_scf                23:V''_scf               24:(.)w_scf              25:(.)Om                 26:(.)Our                27:(.)Oscf               28:(.)OscfKin            29:(.)Otot               30:(.)rho_tot            31:(.)p_tot              32:(.)p_tot_prime        33:gr.fac. D             34:gr.fac. f             35:beta                  36:dbeta/dz           
       8.980856820338e+13       9.363018642828e-26       5.156834959053e-09       1.741726626875e+22       1.406980783868e+04       1.566644265703e-10       1.263589296889e+18       2.976988479688e-09       1.789988176302e+44       1.835164259235e+33       9.687604033839e+33       4.118847466063e+43       1.372949155354e+43       8.317387197418e+43       3.033611642766e+44       5.578737390885e+14       5.578737390885e+14      -2.163854886550e+23       1.568700001856e-07       3.719334035700e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.798366320407e-11       8.642262770504e-01       1.838975468132e-30       1.838975468132e-30       8.642262770884e-01       3.033611642766e+44       1.011203880883e+44      -7.844421795237e+52       6.688077515533e-06       1.646118170971e+00       7.071067811865e-05       0.000000000000e+00 
       8.884838741853e+13       9.566483650067e-26       5.211404641159e-09       1.704682668645e+22       1.406980783868e+04       1.583574924372e-10       1.250079737756e+18       3.009160668940e-09       1.714657057307e+44       1.776929814534e+33       9.380191638771e+33       3.945506997842e+43       1.315168999281e+43       7.967352435741e+43       2.905943000777e+44       5.563240162651e+14       5.563240162651e+14      -2.134773486007e+23       1.568700002065e-07       3.754303275176e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.839415105637e-11       8.642262770501e-01       1.914435403986e-30       1.914435403986e-30       8.642262770885e-01       2.905943000777e+44       9.686476668885e+43      -7.433953221860e+52       6.806416970732e-06       1.617498013202e+00       7.071067811865e-05       0.000000000000e+00 
       8.789847232612e+13       9.774370095605e-26       5.267793312669e-09       1.668426580807e+22       1.406980783868e+04       1.600688551956e-10       1.236714614942e+18       3.041680541689e-09       1.642496226007e+44       1.720543297358e+33       9.082534223294e+33       3.779461511573e+43       1.259820503858e+43       7.632048782700e+43       2.783647255542e+44       5.544646181641e+14       5.544646181641e+14      -2.104890978377e+23       1.568700002277e-07       3.788528770477e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.880907503328e-11       8.642262770497e-01       1.991863793303e-30       1.991863793303e-30       8.642262770885e-01       2.783647255542e+44       9.278824184780e+43      -7.044962898140e+52       6.924756425931e-06       1.589856054136e+00       7.071067811865e-05       0.000000000000e+00 
       8.695871317136e+13       9.986774060410e-26       5.326000973582e-09       1.632941606519e+22       1.406980783868e+04       1.617987125794e-10       1.223492384220e+18       3.074551855334e-09       1.573372261788e+44       1.665946068253e+33       8.794322237164e+33       3.620404000112e+43       1.206801333371e+43       7.310856283979e+43       2.666498290302e+44       5.523108367823e+14       5.523108367823e+14      -2.074297818405e+23       1.568700002494e-07       3.822026339944e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.922848307633e-11       8.642262770493e-01       2.071296421944e-30       2.071296421944e-30       8.642262770886e-01       2.666498290302e+44       8.888327633991e+43      -6.676326949465e+52       7.043095881130e-06       1.563142986124e+00       7.071067811865e-05       0.000000000000e+00 
       8.602900137289e+13       1.020379371337e-25       5.382389645092e-09       1.598211345334e+22       1.406980783868e+04       1.635472644591e-10       1.210411517870e+18       3.107778407882e-09       1.507157359005e+44       1.613081348543e+33       8.515255952799e+33       3.468040376624e+43       1.156013458875e+43       7.003181075854e+43       2.554279504354e+44       5.498776293923e+14       5.498776293923e+14      -2.043080012125e+23       1.568700002715e-07       3.854811465486e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.965242364462e-11       8.642262770490e-01       2.152770002088e-30       2.152770002088e-30       8.642262770886e-01       2.554279504354e+44       8.514265014176e+43      -6.326980309281e+52       7.161435336329e-06       1.537312760662e+00       7.071067811865e-05       0.000000000000e+00 
       8.510922951025e+13       1.042552935664e-25       5.440597306006e-09       1.564219745615e+22       1.406980783868e+04       1.653147128654e-10       1.197470504508e+18       3.141364038386e-09       1.443729090674e+44       1.561894161283e+33       8.245045153652e+33       3.322088930826e+43       1.107362976942e+43       6.708454287178e+43       2.446783412573e+44       5.471796037709e+14       5.471796037709e+14      -2.011319208367e+23       1.568700002940e-07       3.886899299736e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.008094572058e-11       8.642262770486e-01       2.236322189203e-30       2.236322189203e-30       8.642262770887e-01       2.446783412573e+44       8.155944708248e+43      -5.995913641893e+52       7.279774791528e-06       1.512322323488e+00       7.071067811865e-05       0.000000000000e+00 
       8.419929131143e+13       1.065208347204e-25       5.500623956323e-09       1.530951097122e+22       1.406980783868e+04       1.671012620123e-10       1.184667848905e+18       3.175312627386e-09       1.382970182115e+44       1.512331274087e+33       7.983408832670e+33       3.182279808132e+43       1.060759936044e+43       6.426130987576e+43       2.343811261780e+44       5.442310060540e+14       5.442310060540e+14      -1.979092799545e+23       1.568700003169e-07       3.918304673052e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.051409881675e-11       8.642262770482e-01       2.321991599445e-30       2.321991599445e-30       8.642262770887e-01       2.343811261780e+44       7.812704205618e+43      -5.682170426278e+52       7.398114246727e-06       1.488131375109e+00       7.071067811865e-05       0.000000000000e+00 
       8.329908164066e+13       1.088356076835e-25       5.558831617236e-09       1.498390023749e+22       1.406980783868e+04       1.689071183207e-10       1.172002071823e+18       3.209628097359e-09       1.324768294116e+44       1.464341143772e+33       7.730074899766e+33       3.048354510705e+43       1.016118170235e+43       6.155689179908e+43       2.245172663269e+44       5.410457109792e+14       5.410457109792e+14      -1.946474030099e+23       1.568700003403e-07       3.949042100372e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.095193298029e-11       8.642262770479e-01       2.409817827513e-30       2.409817827513e-30       8.642262770888e-01       2.245172663269e+44       7.483908877258e+43      -5.384844192498e+52       7.516453701926e-06       1.464702153940e+00       7.071067811865e-05       0.000000000000e+00 
       8.240849648618e+13       1.112006822978e-25       5.618858267553e-09       1.466521476414e+22       1.406980783868e+04       1.707324904422e-10       1.159471709835e+18       3.244314413172e-09       1.269015815230e+44       1.417873862747e+33       7.484779898952e+33       2.920065419511e+43       9.733551398371e+42       5.896628835126e+43       2.150685240783e+44       5.376372142947e+14       5.376372142947e+14      -1.913532111133e+23       1.568700003641e-07       3.979125787923e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.139449879917e-11       8.642262770475e-01       2.499841464942e-30       2.499841464942e-30       8.642262770889e-01       2.150685240783e+44       7.168950802313e+43      -5.103075902718e+52       7.634793157125e-06       1.441999239617e+00       7.071067811865e-05       0.000000000000e+00 
       8.152743294829e+13       1.136171516536e-25       5.680703907274e-09       1.435330726110e+22       1.406980783868e+04       1.725775892835e-10       1.147075315164e+18       3.279375582541e-09       1.215609662805e+44       1.372881107118e+33       7.247268734373e+33       2.797175336491e+43       9.323917788304e+42       5.648470967755e+43       2.060174293315e+44       5.340186271279e+14       5.340186271279e+14      -1.880332339957e+23       1.568700003884e-07       4.008569639786e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.184184740806e-11       8.642262770471e-01       2.592104118863e-30       2.592104118863e-30       8.642262770889e-01       2.060174293315e+44       6.867247644097e+43      -4.836051469267e+52       7.753132612324e-06       1.419989374322e+00       7.071067811865e-05       0.000000000000e+00 
