# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   33       1.037131943498e+03       2.845506049174e-02       3.174015378526e-04       1.790275036195e+00       1.414234075179e-07       1.268603170463e-03      -1.109580626760e-06 
   34       1.052833954021e+03       3.160353238375e-02       3.367951598892e-04       1.813200422413e+00       1.414596908308e-07       1.240241516375e-03      -1.658050522665e-06 
   35       1.068716115065e+03       3.493812702750e-02       3.567674464395e-04       1.825400888526e+00       1.414471449221e-07       1.212523673886e-03      -2.154750987568e-06 
   36       1.084809081222e+03       3.841289427340e-02       3.773217467780e-04       1.824106509821e+00       1.413923738519e-07       1.185510931561e-03      -2.535907460553e-06 
   37       1.101108224774e+03       4.198751746700e-02       3.984618583349e-04       1.806800182587e+00       1.412557499756e-07       1.158972864018e-03      -2.738021964881e-06 
   38       1.117622258384e+03       4.568331029548e-02       4.201911179638e-04       1.773466483538e+00       1.410758442770e-07       1.133126233487e-03      -2.754151435183e-06 
   39       1.134332222819e+03       4.954607260309e-02       4.425130724102e-04       1.725105708740e+00       1.408886779920e-07       1.108111211250e-03      -2.604522402891e-06 
   40       1.151172640274e+03       5.363197881079e-02       4.654317582638e-04       1.663171486628e+00       1.406810281990e-07       1.083728677658e-03      -2.325365694251e-06 
   41       1.168067391816e+03       5.799619392491e-02       4.889512862151e-04       1.589342393015e+00       1.404057469723e-07       1.059607465031e-03      -1.965284676651e-06 
   42       1.185062339507e+03       6.265261758611e-02       5.130743624912e-04       1.504672761957e+00       1.400855136803e-07       1.035980674178e-03      -1.566018798417e-06 
   43       1.202228215185e+03       6.760218850064e-02       5.378033341032e-04       1.410217680239e+00       1.397457893917e-07       1.013166151487e-03      -1.176473835794e-06 
   44       1.219622176563e+03       7.284368051126e-02       5.631405895838e-04       1.307281517543e+00       1.393790848596e-07       9.913322306112e-04      -8.594549015481e-07 
   45       1.237280886108e+03       7.837410295737e-02       5.890881483684e-04       1.197027931390e+00       1.389573183707e-07       9.705306318982e-04      -6.768224482426e-07 
   46       1.255201472223e+03       8.419038955832e-02       6.156462878414e-04       1.079140029586e+00       1.385047966600e-07       9.508926258040e-04      -6.330420352445e-07 
   47       1.273351850240e+03       9.028796535004e-02       6.428145020122e-04       9.527818942733e-01       1.380499288898e-07       9.324646193196e-04      -7.093299458184e-07 
   48       1.291673349323e+03       9.666013176519e-02       6.705918491592e-04       8.169570066524e-01       1.376007436092e-07       9.151253822569e-04      -8.767921011036e-07 
   49       1.310078637427e+03       1.032979516898e-01       6.989769260665e-04       6.704981109939e-01       1.371387002279e-07       8.985587270706e-04      -1.095164928913e-06 
   50       1.328484208655e+03       1.101926675400e-01       7.279677773672e-04       5.122106645101e-01       1.366307705886e-07       8.823712345917e-04      -1.319641593191e-06 
   51       1.346923055383e+03       1.173439959458e-01       7.575616543358e-04       3.413726064117e-01       1.360910815709e-07       8.665724274845e-04      -1.527871734755e-06 
   52       1.365458992875e+03       1.247538858786e-01       7.877551460890e-04       1.573527248405e-01       1.355399078661e-07       8.512377621936e-04      -1.701544028887e-06 
   53       1.384154331979e+03       1.324241865708e-01       8.185442106215e-04      -4.053391191125e-02       1.349842590125e-07       8.363675949233e-04      -1.818885849934e-06 
   54       1.403069430553e+03       1.403566517728e-01       8.499241459892e-04      -2.530288638160e-01       1.344142391588e-07       8.218752939072e-04      -1.854364233095e-06 
   55       1.422253585740e+03       1.485526949015e-01       8.818901121024e-04      -4.807027226244e-01       1.338115115602e-07       8.076405899751e-04      -1.786558986608e-06 
   56       1.441716088912e+03       1.570125735012e-01       9.144389139205e-04      -7.231994496033e-01       1.331897057706e-07       7.937229304620e-04      -1.625993561389e-06 
   57       1.461447194438e+03       1.657360096426e-01       9.475676107648e-04      -9.798094093867e-01       1.325665342795e-07       7.802047567959e-04      -1.396999469241e-06 
   58       1.481425380005e+03       1.747224159528e-01       9.812729973145e-04      -1.249677487626e+00       1.319509868194e-07       7.671264228263e-04      -1.131036433597e-06 
   59       1.501616560671e+03       1.839708901672e-01       1.015551596242e-03      -1.531797018692e+00       1.313410916547e-07       7.544797683090e-04      -8.673659680184e-07 
   60       1.521973302924e+03       1.934802096814e-01       1.050399650845e-03      -1.825003713385e+00       1.307214724680e-07       7.422014127917e-04      -6.537488664482e-07 
   61       1.542450349484e+03       2.032486759189e-01       1.085813928975e-03      -2.128235864390e+00       1.300715220475e-07       7.302073909850e-04      -5.351951051077e-07 
   62       1.563057043828e+03       2.132736189364e-01       1.121794362320e-03      -2.441396950599e+00       1.294007875378e-07       7.185272597179e-04      -5.140461586212e-07 
   63       1.583815331793e+03       2.235517714481e-01       1.158341989165e-03      -2.764676759361e+00       1.287244482871e-07       7.072023923930e-04      -5.778277071291e-07 
   64       1.604744226095e+03       2.340793991872e-01       1.195458213388e-03      -3.098304523612e+00       1.280526949965e-07       6.962445544018e-04      -7.097071822913e-07 
   65       1.625859537910e+03       2.448522906928e-01       1.233144822839e-03      -3.442551298381e+00       1.273894953123e-07       6.856320186398e-04      -8.880971197958e-07 
   66       1.647173608458e+03       2.558657470969e-01       1.271404007717e-03      -3.797732337279e+00       1.267312556476e-07       6.753055302655e-04      -1.086245364178e-06 
   67       1.668695040588e+03       2.671145719108e-01       1.310238378944e-03      -4.164209468999e+00       1.260653759293e-07       6.651641207023e-04      -1.271812125955e-06 
   68       1.690430413831e+03       2.785930673432e-01       1.349650861301e-03      -4.542302140598e+00       1.253764969570e-07       6.551019958886e-04      -1.414189691355e-06 
   69       1.712390433092e+03       2.902950452165e-01       1.389644306607e-03      -4.931994304184e+00       1.246719660607e-07       6.451423802514e-04      -1.510077956140e-06 
   70       1.734584549377e+03       3.022137999250e-01       1.430221834816e-03      -5.333172134109e+00       1.239637170210e-07       6.353362964271e-04      -1.564851738267e-06 
   71       1.757018872770e+03       3.143420922336e-01       1.471386967217e-03      -5.745710145046e+00       1.232607011430e-07       6.257233134411e-04      -1.585601641999e-06 
   72       1.779695954743e+03       3.266721392319e-01       1.513143641614e-03      -6.169471232599e+00       1.225681979967e-07       6.163299547611e-04      -1.581275216423e-06 
   73       1.802614570474e+03       3.391956042875e-01       1.555496227497e-03      -6.604306713909e+00       1.218870735186e-07       6.071680479465e-04      -1.562822341166e-06 
   74       1.825769501151e+03       3.519035870004e-01       1.598449541215e-03      -7.050056368264e+00       1.212129839536e-07       5.982330158953e-04      -1.543344839324e-06 
   75       1.849151316290e+03       3.647866131564e-01       1.642008861149e-03      -7.506548477711e+00       1.205355241224e-07       5.895021096877e-04      -1.538250317586e-06 
   76       1.872750222631e+03       3.778350926264e-01       1.686178896715e-03      -7.973578769779e+00       1.198428329459e-07       5.809482735747e-04      -1.561669773295e-06 
