# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.117563278902e+03       6.518978803719e-02       1.680021681907e-06       3.628351270881e+00       4.826982468562e-08       3.388773530451e-03      -1.753484228475e-05 
    3       1.041009322295e+03       1.162944486153e-01       3.362057018813e-06       4.696807682835e+00       6.015090112526e-08       3.412021321084e-03      -2.237592385104e-05 
    4       9.688797114709e+02       1.435828120420e-01       5.607829733440e-06       4.965542223012e+00       6.999695497950e-08       3.351949118732e-03      -2.375385376354e-05 
    5       9.120636275457e+02       1.414081177737e-01       8.419823152174e-06       4.748222705059e+00       7.854592795362e-08       3.259488178489e-03      -2.245439325578e-05 
    6       8.698820843046e+02       1.170871099756e-01       1.180097459887e-05       4.268164814088e+00       8.599138275108e-08       3.151132096420e-03      -1.915012126314e-05 
    7       8.394052262578e+02       8.362628796334e-02       1.575457389336e-05       3.679582705619e+00       9.258572590839e-08       3.036702276287e-03      -1.458013620210e-05 
    8       8.187153819483e+02       5.266799465063e-02       2.028415076334e-05       3.074948177962e+00       9.852904694668e-08       2.922594011039e-03      -9.476952487320e-06 
    9       8.056068960625e+02       3.074246070176e-02       2.539335557400e-05       2.510622907647e+00       1.039069047107e-07       2.811411362598e-03      -4.505946820283e-06 
   10       7.980291282479e+02       1.887947641123e-02       3.108583803203e-05       2.022980702875e+00       1.087489500922e-07       2.703704587363e-03      -2.041103049896e-07 
   11       7.952112549368e+02       1.445230025952e-02       3.736512858694e-05       1.633159378941e+00       1.098205200958e-07       2.603275886708e-03       3.024056202593e-06 
   12       7.957577219300e+02       1.368468524893e-02       4.423452713116e-05       1.350329542506e+00       1.135099435513e-07       2.502712932062e-03       5.070151260262e-06 
   13       7.989196716117e+02       1.358153761240e-02       5.169700329511e-05       1.172860607306e+00       1.168236272668e-07       2.408082975644e-03       5.889452299143e-06 
   14       8.045289030878e+02       1.273781756993e-02       5.975511215721e-05       1.088861822476e+00       1.198051249534e-07       2.324899349692e-03       5.624161074118e-06 
   15       8.114943775037e+02       1.114403448207e-02       6.841092856079e-05       1.079205404210e+00       1.224895120904e-07       2.241796653805e-03       4.488664257831e-06 
   16       8.198541686335e+02       9.479129566959e-03       7.766600247434e-05       1.121172068756e+00       1.249054269571e-07       2.165671079295e-03       2.796070266640e-06 
   17       8.293056224593e+02       8.402924106296e-03       8.752133698027e-05       1.192469166685e+00       1.270794600293e-07       2.096359333778e-03       8.623310182878e-07 
   18       8.395119953991e+02       8.166800441671e-03       9.797737853084e-05       1.274323162789e+00       1.289847370445e-07       2.030934050102e-03      -1.013821575300e-06 
   19       8.505980954487e+02       8.563082911133e-03       1.090340964250e-04       1.354356146492e+00       1.307897894381e-07       1.970488639969e-03      -2.611844439567e-06 
   20       8.623932727878e+02       9.176103079625e-03       1.206909082563e-04       1.420742501643e+00       1.323558526455e-07       1.912239950936e-03      -3.751085813859e-06 
   21       8.748079010898e+02       9.726065844338e-03       1.329469080483e-04       1.470133308794e+00       1.337696151433e-07       1.856774910271e-03      -4.352993763894e-06 
   22       8.875605303548e+02       9.999214158219e-03       1.458007773231e-04       1.502821152080e+00       1.350064201053e-07       1.803224942343e-03      -4.432700567852e-06 
   23       9.006865010303e+02       1.010590196119e-02       1.592510597368e-04       1.521419237722e+00       1.361359055115e-07       1.751264043818e-03      -4.055640076018e-06 
   24       9.141672206539e+02       1.028948194396e-02       1.732960717627e-04       1.530264117662e+00       1.371099686019e-07       1.699329266866e-03      -3.358714293089e-06 
   25       9.279933517052e+02       1.074165158446e-02       1.879342277462e-04       1.534219853497e+00       1.379827043143e-07       1.649729201594e-03      -2.478196307221e-06 
   26       9.420603437093e+02       1.162164159482e-02       2.031639289003e-04       1.538725560907e+00       1.387325487970e-07       1.604740303803e-03      -1.581031822050e-06 
   27       9.563985405579e+02       1.291438811006e-02       2.189838523029e-04       1.547595593688e+00       1.393862944169e-07       1.563057934108e-03      -7.951000648612e-07 
   28       9.710077337056e+02       1.454016392524e-02       2.353928825388e-04       1.563798920666e+00       1.399079620250e-07       1.521319396131e-03      -2.358070763418e-07 
   29       9.859269030721e+02       1.645372281320e-02       2.523904593582e-04       1.587606593706e+00       1.403703877196e-07       1.480307146679e-03       5.352326207563e-08 
   30       1.001114371336e+03       1.860589342750e-02       2.699763833679e-04       1.617956320033e+00       1.407939333460e-07       1.441729967513e-03       6.932319052130e-08 
   31       1.016452636300e+03       2.094212926064e-02       2.881508239653e-04       1.652860719854e+00       1.410989599222e-07       1.406530496230e-03      -1.653730581088e-07 
   32       1.031959219387e+03       2.345547463952e-02       3.069145842733e-04       1.688939926818e+00       1.413300805467e-07       1.374447983665e-03      -5.995067642339e-07 
   33       1.047636013934e+03       2.615284822317e-02       3.262690172770e-04       1.721558090372e+00       1.415155041664e-07       1.343824507455e-03      -1.145278515238e-06 
   34       1.063437540031e+03       2.903545795955e-02       3.462159753355e-04       1.745683282665e+00       1.416189741792e-07       1.312352842450e-03      -1.690772028204e-06 
   35       1.079383328712e+03       3.207824762069e-02       3.667576977673e-04       1.758784619952e+00       1.416721990036e-07       1.280515017970e-03      -2.168828019343e-06 
   36       1.095472838858e+03       3.524254909442e-02       3.878969636238e-04       1.758894270592e+00       1.416819012791e-07       1.249601510380e-03      -2.516500273011e-06 
   37       1.111678966887e+03       3.849562343091e-02       4.096369601167e-04       1.744288346951e+00       1.416090816576e-07       1.220673139774e-03      -2.672671564114e-06 
   38       1.128048720269e+03       4.186108492226e-02       4.319805722079e-04       1.715048638503e+00       1.414920069281e-07       1.193990940262e-03      -2.635919174959e-06 
   39       1.144628031435e+03       4.538556138067e-02       4.549309163194e-04       1.672040555529e+00       1.413663189078e-07       1.169202958323e-03      -2.434685763095e-06 
   40       1.161430059561e+03       4.912606815011e-02       4.784915663869e-04       1.616530011406e+00       1.412188053422e-07       1.145363926395e-03      -2.116118983820e-06 
   41       1.178442555746e+03       5.313791488937e-02       5.026662106990e-04       1.549999881873e+00       1.410026145629e-07       1.121296394816e-03      -1.739689565585e-06 
   42       1.195661776427e+03       5.743205738967e-02       5.274574209101e-04       1.473461718311e+00       1.407402826302e-07       1.097157657330e-03      -1.347201538698e-06 
   43       1.213063354409e+03       6.200500630028e-02       5.528675293161e-04       1.387966048815e+00       1.404571595364e-07       1.073448141073e-03      -9.829752186620e-07 
   44       1.230589269114e+03       6.685020689550e-02       5.788989677400e-04       1.294806594234e+00       1.401459287171e-07       1.050585705962e-03      -7.029640302622e-07 
   45       1.248174094377e+03       7.195976782186e-02       6.055538973087e-04       1.195113876855e+00       1.397788468159e-07       1.028876965844e-03      -5.610225928636e-07 
   46       1.265840065051e+03       7.733073507706e-02       6.328329605112e-04       1.088461134705e+00       1.393800943058e-07       1.008475445704e-03      -5.571346512595e-07 
   47       1.283625403369e+03       8.296035340330e-02       6.607361598686e-04       9.738633083170e-01       1.389778760517e-07       9.893635525300e-04      -6.684455825382e-07 
