# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:(.)p_prime_scf        19:phi_scf               20:phi'_scf              21:V_scf                 22:V'_scf                23:V''_scf               24:(.)w_scf              25:(.)Om                 26:(.)Our                27:(.)Oscf               28:(.)OscfKin            29:(.)Otot               30:(.)rho_tot            31:(.)p_tot              32:(.)p_tot_prime        33:gr.fac. D             34:gr.fac. f             35:beta                  36:dbeta/dz           
       1.000000000000e+14       7.551816580179e-26       4.631147021428e-09       2.159456430289e+22       1.450740751952e+04       1.450740751952e-10       1.450740751952e+18       2.673590729091e-09       2.751560535470e+44       2.533504177634e+33       1.337405367376e+34       6.331470950076e+43       2.110490316692e+43       1.278544443680e+44       4.663252074316e+44       5.527812500000e+14       5.527812500000e+14      -2.387414049711e+23       1.568700000000e-07       3.325000000000e-07       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.411258408914e-11       8.642262770538e-01       1.185398604216e-30       1.185398604216e-30       8.642262770879e-01       4.663252074316e+44       1.554417358052e+44      -1.342678623680e+53       4.845274431094e-06       2.000000000000e+00       7.071067811865e-02       0.000000000000e+00 
       9.893085837570e+13       7.715922887534e-26       4.680259735323e-09       2.113527974830e+22       1.450740751952e+04       1.466418846223e-10       1.435230278712e+18       2.702484111618e-09       2.635761930281e+44       2.453109625380e+33       1.294966082435e+34       6.065012881878e+43       2.021670960626e+43       1.224737281765e+44       4.467000500388e+44       6.736571568070e+17       6.736571568070e+17      -2.878360240136e+26       1.568700003034e-07       1.173282747303e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.448123735018e-11       8.642262770534e-01       1.508074952641e-27       1.508074952641e-27       8.642262770879e-01       4.467000500388e+44       1.489000166745e+44      -1.272421389488e+53       4.949437947914e-06       1.957908951313e+00       7.071067811865e-02       0.000000000000e+00 
       9.787314738953e+13       7.883595340832e-26       4.731191438623e-09       2.068576349925e+22       1.450740751952e+04       1.482266373000e-10       1.419885634398e+18       2.731689743715e-09       2.524836674885e+44       2.375266197411e+33       1.253873504294e+34       5.809768622077e+43       1.936589540692e+43       1.173194578226e+44       4.279008115467e+44       2.509659251159e+18       2.509659251159e+18      -1.060847006923e+27       1.568700011807e-07       2.289068678370e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.485387463147e-11       8.642262770531e-01       5.865049056784e-27       5.865049056784e-27       8.642262770880e-01       4.279008115467e+44       1.426336038439e+44      -1.205840447500e+53       5.053601464733e-06       1.917553042086e+00       7.071067811865e-02       0.000000000000e+00 
       9.682674483178e+13       8.054911434956e-26       4.782123141922e-09       2.024580779827e+22       1.450740751952e+04       1.498285163332e-10       1.404705046063e+18       2.761210999848e-09       2.418579675807e+44       2.299892940042e+33       1.214084898517e+34       5.565266240889e+43       1.855088746963e+43       1.123821034005e+44       4.098927334045e+44       5.358987364704e+18       5.358987364704e+18      -2.241054955790e+27       1.568700026318e-07       3.381123487213e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.523053898827e-11       8.642262770528e-01       1.307412141756e-26       1.307412141756e-26       8.642262770880e-01       4.098927334045e+44       1.366309111300e+44      -1.142743431413e+53       5.157764981553e-06       1.878827146419e+00       7.071067811865e-02       0.000000000000e+00 
       9.579152979933e+13       8.229950348785e-26       4.834873834625e-09       1.981520930661e+22       1.450740751952e+04       1.514477068057e-10       1.389686759717e+18       2.791051290955e-09       2.316794470871e+44       2.226911468459e+33       1.175558886742e+34       5.331053669553e+43       1.777017889851e+43       1.076525360680e+44       3.926425198646e+44       9.085207603935e+18       9.085207603935e+18      -3.758689116732e+27       1.568700046571e-07       4.449951899829e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.561127394124e-11       8.642262770525e-01       2.313862392455e-26       2.313862392455e-26       8.642262770881e-01       3.926425198646e+44       1.308808399502e+44      -1.082948040717e+53       5.261928498372e-06       1.841634462572e+00       7.071067811865e-02       0.000000000000e+00 
       9.476738268169e+13       8.408792981847e-26       4.885805537924e-09       1.939376901020e+22       1.450740751952e+04       1.530843958015e-10       1.374829040121e+18       2.821214064833e-09       2.219292865953e+44       2.156245885194e+33       1.138255403651e+34       5.106697864488e+43       1.702232621496e+43       1.031220111673e+44       3.761182764211e+44       1.356403170638e+19       1.356403170638e+19      -5.551650585186e+27       1.568700072566e-07       5.496047907357e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.599612348151e-11       8.642262770521e-01       3.606320818933e-26       3.606320818933e-26       8.642262770881e-01       3.761182764211e+44       1.253727588025e+44      -1.026281513991e+53       5.366092015192e-06       1.805885705045e+00       7.071067811865e-02       0.000000000000e+00 
       9.375418514718e+13       8.591521991640e-26       4.938556230627e-09       1.898129212774e+22       1.450740751952e+04       1.547387724264e-10       1.360130170590e+18       2.851702806539e-09       2.125894587024e+44       2.087822701203e+33       1.102135655281e+34       4.891784006623e+43       1.630594668874e+43       9.878215205701e+43       3.602894508387e+44       1.868239431076e+19       1.868239431076e+19      -7.564803288548e+27       1.568700104307e-07       6.519894994590e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.638513207504e-11       8.642262770518e-01       5.185384769737e-26       5.185384769737e-26       8.642262770882e-01       3.602894508387e+44       1.200964836085e+44      -9.725801297552e+52       5.470255532012e-06       1.771498388967e+00       7.071067811865e-02       0.000000000000e+00 
       9.275182012925e+13       8.778221831852e-26       4.993125912733e-09       1.857758802063e+22       1.450740751952e+04       1.564110278300e-10       1.345588452792e+18       2.882521038794e-09       2.036426946831e+44       2.021570759434e+33       1.067162078684e+34       4.685914734423e+43       1.561971578141e+43       9.462493462411e+43       3.451267766642e+44       2.433759501319e+19       2.433759501319e+19      -9.749324874440e+27       1.568700141799e-07       7.521966363396e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.677834466788e-11       8.642262770515e-01       7.051784056984e-26       7.051784056984e-26       8.642262770882e-01       3.451267766642e+44       1.150422588838e+44      -9.216887334514e+52       5.574419048831e-06       1.738396194708e+00       7.071067811865e-02       0.000000000000e+00 
       9.176017181296e+13       8.968978791433e-26       5.045876605436e-09       1.818247010485e+22       1.450740751952e+04       1.581013552273e-10       1.331202206551e+18       2.913672322388e-09       1.950724525616e+44       1.957421160831e+33       1.033298302906e+34       4.488709409196e+43       1.496236469732e+43       9.064267244805e+43       3.306022191139e+44       3.043650085584e+19       3.043650085584e+19      -1.206211270039e+28       1.568700185044e-07       8.502725151214e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.717580669251e-11       8.642262770511e-01       9.206381293333e-26       9.206381293333e-26       8.642262770883e-01       3.306022191139e+44       1.102007397005e+44      -8.734602891641e+52       5.678582565651e-06       1.706508402434e+00       7.071067811865e-02       0.000000000000e+00 
       9.077912562158e+13       9.163881034468e-26       5.100446287543e-09       1.779575576478e+22       1.450740751952e+04       1.598099499217e-10       1.316969769658e+18       2.945160256593e-09       1.868628865258e+44       1.895307192681e+33       1.000509111157e+34       4.299803411315e+43       1.433267803772e+43       8.682800258898e+43       3.166889232398e+44       3.689480518284e+19       3.689480518284e+19      -1.446524049505e+28       1.568700234048e-07       9.462624645166e-05       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.757756407298e-11       8.642262770508e-01       1.165017229065e-25       1.165017229065e-25       8.642262770883e-01       3.166889232398e+44       1.055629744093e+44      -8.277554548050e+52       5.782746082471e-06       1.675769387761e+00       7.071067811865e-02       0.000000000000e+00 
