# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.108078962854e+03       6.410069323465e-02       0.000000000000e+00       3.622001547650e+00       4.909987109891e-08       3.345464305586e-03      -1.737178010886e-05 
    3       1.033987756977e+03       1.149748335841e-01       0.000000000000e+00       4.685103241701e+00       6.059703056484e-08       3.374384538705e-03      -2.224197783249e-05 
    4       9.634551896845e+02       1.429009342721e-01       0.000000000000e+00       4.961497227605e+00       7.050463826936e-08       3.318703825183e-03      -2.369426823620e-05 
    5       9.077113058789e+02       1.418005860999e-01       0.000000000000e+00       4.754032449171e+00       7.915998993757e-08       3.229497934523e-03      -2.249917339828e-05 
    6       8.661346006141e+02       1.184122302261e-01       0.000000000000e+00       4.284196843149e+00       8.675998618811e-08       3.125136485068e-03      -1.930849582783e-05 
    7       8.363394889112e+02       8.537284574225e-02       0.000000000000e+00       3.704045044134e+00       9.349337522571e-08       3.014275283684e-03      -1.483746583154e-05 
    8       8.158341906591e+02       5.426861358514e-02       0.000000000000e+00       3.105040059961e+00       9.946859194817e-08       2.902067736837e-03      -9.801771802711e-06 
    9       8.027437720548e+02       3.183677586503e-02       0.000000000000e+00       2.543402549150e+00       1.047714420503e-07       2.791494517825e-03      -4.856198633335e-06 
   10       7.953808741004e+02       1.940653401377e-02       0.000000000000e+00       2.055438239502e+00       1.095270486528e-07       2.684334681786e-03      -5.344139158762e-07 
   11       7.923335287024e+02       1.458148584665e-02       0.000000000000e+00       1.663716621213e+00       1.106873091572e-07       2.587487586480e-03       2.761428926610e-06 
   12       7.931102960684e+02       1.366511419623e-02       0.000000000000e+00       1.377255501626e+00       1.144130682199e-07       2.485417393025e-03       4.889421546375e-06 
   13       7.964904290589e+02       1.360340500174e-02       0.000000000000e+00       1.194069211295e+00       1.177617019592e-07       2.398035512394e-03       5.830720035233e-06 
   14       8.016253479236e+02       1.286658855555e-02       0.000000000000e+00       1.104374905583e+00       1.207751276285e-07       2.308537934579e-03       5.659819447899e-06 
   15       8.087329942112e+02       1.133692735970e-02       0.000000000000e+00       1.090086320428e+00       1.234872854215e-07       2.226843487908e-03       4.623487179894e-06 
   16       8.169666246501e+02       9.650000213381e-03       0.000000000000e+00       1.128831585271e+00       1.259295064145e-07       2.153140891075e-03       3.003700102269e-06 
   17       8.262971983181e+02       8.487797148603e-03       0.000000000000e+00       1.199308711206e+00       1.281280326003e-07       2.087122412031e-03       1.106323693529e-06 
   18       8.365474287241e+02       8.161048396675e-03       0.000000000000e+00       1.282065175380e+00       1.300553766973e-07       2.023872013925e-03      -7.730127853126e-07 
   19       8.476018186315e+02       8.503453757016e-03       0.000000000000e+00       1.364362633107e+00       1.318809742982e-07       1.963221440767e-03      -2.411414876321e-06 
   20       8.590310129217e+02       9.129150111991e-03       0.000000000000e+00       1.434113963406e+00       1.334651096456e-07       1.902970117481e-03      -3.616449026981e-06 
   21       8.710053413226e+02       9.739238995348e-03       0.000000000000e+00       1.487402268414e+00       1.348951775734e-07       1.845945604904e-03      -4.298408456698e-06 
   22       8.836360748103e+02       1.007909275062e-02       0.000000000000e+00       1.523791988556e+00       1.361463612822e-07       1.794108535907e-03      -4.458858405973e-06 
   23       8.967808110120e+02       1.023117661345e-02       0.000000000000e+00       1.545549996799e+00       1.372888197072e-07       1.745677555062e-03      -4.153928880224e-06 
   24       9.100932714985e+02       1.041787133897e-02       0.000000000000e+00       1.556792368632e+00       1.382740606077e-07       1.695670377737e-03      -3.512395428947e-06 
   25       9.236888355905e+02       1.083945212892e-02       0.000000000000e+00       1.562255760685e+00       1.391567351304e-07       1.645310394291e-03      -2.664344233792e-06 
   26       9.376937096788e+02       1.167602662755e-02       0.000000000000e+00       1.567329721018e+00       1.399153230655e-07       1.597167570090e-03      -1.772235283441e-06 
   27       9.520100759557e+02       1.293040348519e-02       0.000000000000e+00       1.575946595419e+00       1.405768724490e-07       1.552654893456e-03      -9.628507556180e-07 
   28       9.664158737197e+02       1.453854024720e-02       0.000000000000e+00       1.591284284411e+00       1.411050684161e-07       1.511833980478e-03      -3.543445135160e-07 
   29       9.809613738281e+02       1.645383578353e-02       0.000000000000e+00       1.613802033001e+00       1.415732648033e-07       1.474524392169e-03       9.639432909655e-10 
   30       9.957077357552e+02       1.861866748378e-02       0.000000000000e+00       1.642666820711e+00       1.420018709775e-07       1.439089598394e-03       8.412127660672e-08 
   31       1.010647291678e+03       2.096987455446e-02       0.000000000000e+00       1.676190088773e+00       1.423104673998e-07       1.402891723348e-03      -9.973315478095e-08 
   32       1.025820780677e+03       2.350187202052e-02       0.000000000000e+00       1.711364098393e+00       1.425440406461e-07       1.366686116087e-03      -5.038188813190e-07 
   33       1.041225776595e+03       2.622660227808e-02       0.000000000000e+00       1.744005321782e+00       1.427311292039e-07       1.332178088811e-03      -1.038914495222e-06 
   34       1.056806281471e+03       2.914974272459e-02       0.000000000000e+00       1.769459778634e+00       1.428353175067e-07       1.300627730147e-03      -1.590253824300e-06 
   35       1.072556412174e+03       3.224437229740e-02       0.000000000000e+00       1.784947984162e+00       1.428886260043e-07       1.271869988756e-03      -2.089447385905e-06 
   36       1.088440097052e+03       3.546730513532e-02       0.000000000000e+00       1.787975167509e+00       1.428978535887e-07       1.244583403147e-03      -2.471939648163e-06 
   37       1.104397083295e+03       3.878087736918e-02       0.000000000000e+00       1.776250418244e+00       1.428236969704e-07       1.217005021250e-03      -2.673487658362e-06 
   38       1.120480615094e+03       4.220614999711e-02       0.000000000000e+00       1.749602260926e+00       1.427047466563e-07       1.189328268632e-03      -2.687299909492e-06 
   39       1.136757508239e+03       4.578763898289e-02       0.000000000000e+00       1.708711999637e+00       1.425769342901e-07       1.162249101936e-03      -2.534206381306e-06 
   40       1.153266981088e+03       4.957992355795e-02       0.000000000000e+00       1.654633987926e+00       1.424269182025e-07       1.136320652575e-03      -2.251326352757e-06 
   41       1.170019378920e+03       5.363650656575e-02       0.000000000000e+00       1.588682431088e+00       1.422074305286e-07       1.111898859404e-03      -1.888303307119e-06 
   42       1.186999969036e+03       5.797044000877e-02       0.000000000000e+00       1.511985111996e+00       1.419411951034e-07       1.089058160932e-03      -1.487486512523e-06 
   43       1.204160694685e+03       6.258199794957e-02       0.000000000000e+00       1.425828052088e+00       1.416537802698e-07       1.067560919980e-03      -1.098330611718e-06 
   44       1.221415003960e+03       6.746922743563e-02       0.000000000000e+00       1.331798190135e+00       1.413378135994e-07       1.046811131116e-03      -7.842873225729e-07 
   45       1.238673671794e+03       7.262863683589e-02       0.000000000000e+00       1.231319573635e+00       1.409653254928e-07       1.026082729649e-03      -6.076499953186e-07 
   46       1.255972656448e+03       7.805785965662e-02       0.000000000000e+00       1.124058298171e+00       1.405607131244e-07       1.005472704844e-03      -5.719782586711e-07 
   47       1.273377966777e+03       8.375353199288e-02       0.000000000000e+00       1.009068343298e+00       1.401524350405e-07       9.852699681933e-04      -6.568871155483e-07 
   48       1.290948966490e+03       8.971042430417e-02       0.000000000000e+00       8.852191237137e-01       1.397485058264e-07       9.656892332872e-04      -8.314180269741e-07 
   49       1.308737389904e+03       9.592133972126e-02       0.000000000000e+00       7.511840886543e-01       1.393302822534e-07       9.468544800961e-04      -1.052729727572e-06 
   50       1.326779302624e+03       1.023791885103e-01       0.000000000000e+00       6.056238002700e-01       1.388645923772e-07       9.288125642746e-04      -1.273735422705e-06 
   51       1.345070694470e+03       1.090841112216e-01       0.000000000000e+00       4.478202032211e-01       1.383656239617e-07       9.116230857838e-04      -1.473056030025e-06 
   52       1.363583560197e+03       1.160381132562e-01       0.000000000000e+00       2.771948137543e-01       1.378537510151e-07       8.952742991791e-04      -1.634745244874e-06 
   53       1.382271090512e+03       1.232430583954e-01       0.000000000000e+00       9.312709279885e-02       1.373360406885e-07       8.796399715649e-04      -1.740092938193e-06 
   54       1.401066355819e+03       1.307006695148e-01       0.000000000000e+00      -1.050478026840e-01       1.368025956370e-07       8.644630130164e-04      -1.767397149572e-06 
   55       1.419905152670e+03       1.384122651513e-01       0.000000000000e+00      -3.178184543909e-01       1.362350494814e-07       8.494505234632e-04      -1.698878703350e-06 
   56       1.438804204728e+03       1.463778909313e-01       0.000000000000e+00      -5.447661708417e-01       1.356471334405e-07       8.346417951205e-04      -1.545037271244e-06 
   57       1.457800083086e+03       1.545969736221e-01       0.000000000000e+00      -7.851183388680e-01       1.350566759811e-07       8.201456821906e-04      -1.328841175142e-06 
   58       1.476926378946e+03       1.630685570056e-01       0.000000000000e+00      -1.037949034560e+00       1.344727404362e-07       8.060343933524e-04      -1.079929163060e-06 
   59       1.496213328769e+03       1.717912923011e-01       0.000000000000e+00      -1.302172590855e+00       1.338933716605e-07       7.923374789136e-04      -8.352393693810e-07 
   60       1.515687439435e+03       1.807634285884e-01       0.000000000000e+00      -1.576537165120e+00       1.333031367992e-07       7.790355508269e-04      -6.396605800239e-07 
   61       1.535370083477e+03       1.899829899657e-01       0.000000000000e+00      -1.859926953305e+00       1.326813444936e-07       7.660866477261e-04      -5.353991887441e-07 
   62       1.555273764359e+03       1.994483751566e-01       0.000000000000e+00      -2.152362653688e+00       1.320376340803e-07       7.535312117535e-04      -5.242704607031e-07 
   63       1.575404343913e+03       2.091578761091e-01       0.000000000000e+00      -2.454215175513e+00       1.313873075712e-07       7.414105490103e-04      -5.939960018929e-07 
   64       1.595761598829e+03       2.191094995568e-01       0.000000000000e+00      -2.765920102599e+00       1.307406436901e-07       7.297329115439e-04      -7.280719002069e-07 
   65       1.616338813133e+03       2.293009633666e-01       0.000000000000e+00      -3.087981054048e+00       1.301016527567e-07       7.184692183858e-04      -9.053852263338e-07 
   66       1.637122370660e+03       2.397296928868e-01       0.000000000000e+00      -3.420973044954e+00       1.294667268274e-07       7.075486113360e-04      -1.099817838384e-06 
   67       1.658091347528e+03       2.503928172946e-01       0.000000000000e+00      -3.765545847111e+00       1.288231817546e-07       6.968538454956e-04      -1.279837490247e-06 
   68       1.679225605335e+03       2.612867765616e-01       0.000000000000e+00      -4.122259907013e+00       1.281555543746e-07       6.862619834920e-04      -1.415647368805e-06 
   69       1.700532885936e+03       2.724060580345e-01       0.000000000000e+00      -4.491047980156e+00       1.274712743764e-07       6.757920276359e-04      -1.504156899915e-06 
   70       1.722026499913e+03       2.837441961151e-01       0.000000000000e+00      -4.871649945780e+00       1.267823952899e-07       6.654932899744e-04      -1.550797123833e-06 
   71       1.743717124911e+03       2.952941256253e-01       0.000000000000e+00      -5.263769692414e+00       1.260979624091e-07       6.554021112201e-04      -1.562731798788e-06 
   72       1.765612615526e+03       3.070481681956e-01       0.000000000000e+00      -5.667074196166e+00       1.254233162538e-07       6.455401175021e-04      -1.548999870565e-06 
   73       1.787717813192e+03       3.189980186550e-01       0.000000000000e+00      -6.081192599006e+00       1.247593427966e-07       6.359124137260e-04      -1.520662206990e-06 
   74       1.810034356062e+03       3.311347314195e-01       0.000000000000e+00      -6.505715287051e+00       1.241016689199e-07       6.265057135428e-04      -1.490952597319e-06 
   75       1.832560488898e+03       3.434487068818e-01       0.000000000000e+00      -6.940192968857e+00       1.234398015649e-07       6.172864059265e-04      -1.475433016534e-06 
   76       1.855293431316e+03       3.559305077025e-01       0.000000000000e+00      -7.384199203792e+00       1.227617788294e-07       6.082176340167e-04      -1.488428097395e-06 
   77       1.878237401369e+03       3.685735096228e-01       0.000000000000e+00      -7.837533188523e+00       1.220722772981e-07       5.993205252314e-04      -1.530829713823e-06 
   78       1.901396716504e+03       3.813717115582e-01       0.000000000000e+00      -8.300052446862e+00       1.213793382504e-07       5.906259865494e-04      -1.599263672277e-06 
   79       1.924773229566e+03       3.943189519311e-01       0.000000000000e+00      -8.771613033478e+00       1.206889781103e-07       5.821561034768e-04      -1.689467339159e-06 
   80       1.948366191154e+03       4.074089120776e-01       0.000000000000e+00      -9.252069913281e+00       1.200047816640e-07       5.739231245390e-04      -1.796225086533e-06 
   81       1.972172111959e+03       4.206351196550e-01       0.000000000000e+00      -9.741277340801e+00       1.193274675802e-07       5.659284130633e-04      -1.913302011617e-06 
   82       1.996184625115e+03       4.339909520480e-01       0.000000000000e+00      -1.023908923957e+01       1.186544255140e-07       5.581613662492e-04      -2.033375930055e-06 
   83       2.020394348546e+03       4.474696397765e-01       0.000000000000e+00      -1.074535958151e+01       1.179792240800e-07       5.505983015283e-04      -2.147967642947e-06 
   84       2.044792517992e+03       4.610633575661e-01       0.000000000000e+00      -1.125991113386e+01       1.172947064551e-07       5.432131287216e-04      -2.249175058823e-06 
   85       2.069382879640e+03       4.747603169690e-01       0.000000000000e+00      -1.178243491598e+01       1.166046848634e-07       5.360150232405e-04      -2.335535690646e-06 
   86       2.094171525828e+03       4.885471957671e-01       0.000000000000e+00      -1.231257469270e+01       1.159151128582e-07       5.290179744067e-04      -2.407484596420e-06 
   87       2.119163226465e+03       5.024099957036e-01       0.000000000000e+00      -1.284995697481e+01       1.152305649416e-07       5.222291519711e-04      -2.465690554969e-06 
   88       2.144361354756e+03       5.163340305561e-01       0.000000000000e+00      -1.339419086674e+01       1.145539882019e-07       5.156482530286e-04      -2.511073050690e-06 
   89       2.169767812915e+03       5.303039142109e-01       0.000000000000e+00      -1.394486791436e+01       1.138864386596e-07       5.092668303254e-04      -2.544819686860e-06 
   90       2.195382957891e+03       5.443035487361e-01       0.000000000000e+00      -1.450156195272e+01       1.132268019630e-07       5.030676019599e-04      -2.568404027484e-06 
   91       2.221205527082e+03       5.583161124553e-01       0.000000000000e+00      -1.506382895377e+01       1.125714980743e-07       4.970237424763e-04      -2.583603867693e-06 
   92       2.247232564057e+03       5.723240480213e-01       0.000000000000e+00      -1.563120687411e+01       1.119141695885e-07       4.910981553515e-04      -2.592519932697e-06 
   93       2.273460881474e+03       5.863105334932e-01       0.000000000000e+00      -1.620324065320e+01       1.112483067237e-07       4.852550785188e-04      -2.597130659062e-06 
   94       2.299891862856e+03       6.002641745601e-01       0.000000000000e+00      -1.677956183949e+01       1.105767891737e-07       4.794995791680e-04      -2.597798238856e-06 
   95       2.326527249023e+03       6.141749992611e-01       0.000000000000e+00      -1.735982071425e+01       1.099045723077e-07       4.738455548695e-04      -2.594462117659e-06 
   96       2.353367612778e+03       6.280330461799e-01       0.000000000000e+00      -1.794366239862e+01       1.092358515218e-07       4.683038753319e-04      -2.587075056999e-06 
   97       2.380412305726e+03       6.418283728747e-01       0.000000000000e+00      -1.853072704655e+01       1.085739278003e-07       4.628820922690e-04      -2.575604035698e-06 
   98       2.407659405095e+03       6.555510643095e-01       0.000000000000e+00      -1.912065003782e+01       1.079210656384e-07       4.575841415411e-04      -2.560031170722e-06 
   99       2.435105660555e+03       6.691912412841e-01       0.000000000000e+00      -1.971306217097e+01       1.072783431596e-07       4.524100375692e-04      -2.540354657561e-06 
  100       2.462746441040e+03       6.827390688650e-01       0.000000000000e+00      -2.030758985634e+01       1.066454942666e-07       4.473555600223e-04      -2.516589730114e-06 
  101       2.490575681566e+03       6.961847648156e-01       0.000000000000e+00      -2.090385530899e+01       1.060207426602e-07       4.424119327787e-04      -2.488769640095e-06 
  102       2.518585830053e+03       7.095186080271e-01       0.000000000000e+00      -2.150147674173e+01       1.054006275623e-07       4.375654951608e-04      -2.456946655956e-06 
  103       2.546767794146e+03       7.227309469487e-01       0.000000000000e+00      -2.210006855807e+01       1.047798209805e-07       4.327973654425e-04      -2.421193081322e-06 
  104       2.575113026631e+03       7.358117612933e-01       0.000000000000e+00      -2.269922795291e+01       1.041531049602e-07       4.280896546040e-04      -2.381653588301e-06 
  105       2.603620217063e+03       7.487492615666e-01       0.000000000000e+00      -2.329849223751e+01       1.035223509524e-07       4.234463089356e-04      -2.338712055143e-06 
  106       2.632289409149e+03       7.615311151908e-01       0.000000000000e+00      -2.389737608269e+01       1.028910494087e-07       4.188758357729e-04      -2.292860340132e-06 
  107       2.661119913547e+03       7.741448798150e-01       0.000000000000e+00      -2.449538463939e+01       1.022622327920e-07       4.143849678451e-04      -2.244652695414e-06 
  108       2.690110278187e+03       7.865780068367e-01       0.000000000000e+00      -2.509201358234e+01       1.016384022081e-07       4.099785126247e-04      -2.194708638820e-06 
  109       2.719258258594e+03       7.988178449232e-01       0.000000000000e+00      -2.568674915364e+01       1.010214502905e-07       4.056591980893e-04      -2.143715877573e-06 
  110       2.748560788207e+03       8.108516435333e-01       0.000000000000e+00      -2.627906820639e+01       1.004125802672e-07       4.014275148934e-04      -2.092433283868e-06 
  111       2.778013948705e+03       8.226665564383e-01       0.000000000000e+00      -2.686843824829e+01       9.981222113543e-08       3.972815549530e-04      -2.041693922341e-06 
  112       2.807612940324e+03       8.342496452440e-01       0.000000000000e+00      -2.745431748527e+01       9.921993887389e-08       3.932168464396e-04      -1.992408129417e-06 
  113       2.837352052178e+03       8.455878829119e-01       0.000000000000e+00      -2.803615486509e+01       9.863434361946e-08       3.892261851870e-04      -1.945566644535e-06 
  114       2.867224632583e+03       8.566681572807e-01       0.000000000000e+00      -2.861339012097e+01       9.805299273619e-08       3.852994625085e-04      -1.902243793257e-06 
  115       2.897223059380e+03       8.674772745878e-01       0.000000000000e+00      -2.918545381518e+01       9.747228970465e-08       3.814234894253e-04      -1.863600722262e-06 
  116       2.927339839734e+03       8.780025394693e-01       0.000000000000e+00      -2.975178978935e+01       9.688880838172e-08       3.775862251508e-04      -1.830642974721e-06 
  117       2.957571124704e+03       8.882335674307e-01       0.000000000000e+00      -3.031192551855e+01       9.630386995981e-08       3.737907335626e-04      -1.803435639205e-06 
  118       2.987913568237e+03       8.981607003771e-01       0.000000000000e+00      -3.086541043266e+01       9.571987084638e-08       3.700434289996e-04      -1.781751569827e-06 
  119       3.018363216443e+03       9.077744583768e-01       0.000000000000e+00      -3.141179451412e+01       9.513890863478e-08       3.663498203613e-04      -1.765301471860e-06 
  120       3.048915487901e+03       9.170655482800e-01       0.000000000000e+00      -3.195062853975e+01       9.456274014276e-08       3.627144383271e-04      -1.753730654748e-06 
  121       3.079565153968e+03       9.260248723372e-01       0.000000000000e+00      -3.248146432240e+01       9.399273753701e-08       3.591407609933e-04      -1.746615725106e-06 
  122       3.110306319087e+03       9.346435368181e-01       0.000000000000e+00      -3.300385495269e+01       9.342984251079e-08       3.556311379296e-04      -1.743461219709e-06 
  123       3.141132401092e+03       9.429128606296e-01       0.000000000000e+00      -3.351735504079e+01       9.287451848129e-08       3.521867126530e-04      -1.743696178473e-06 
