# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.071194967923e+03       6.318636815778e-02       1.628374640016e-06       3.722755620146e+00       4.944158847546e-08       3.201110385318e-03      -1.743864166490e-05 
    3       1.006742663204e+03       1.146018529891e-01       3.258941108360e-06       4.858756349276e+00       6.140641188995e-08       3.232937154024e-03      -2.246987337724e-05 
    4       9.431197655769e+02       1.436878457964e-01       5.436355591656e-06       5.182142635587e+00       7.129992231387e-08       3.178100495472e-03      -2.407797398601e-05 
    5       8.923040322905e+02       1.437076646056e-01       8.163310993489e-06       4.989322504103e+00       7.991190889530e-08       3.090846900754e-03      -2.301358267021e-05 
    6       8.541810899015e+02       1.209356025172e-01       1.144298369774e-05       4.506263558140e+00       8.746886742796e-08       2.988965385281e-03      -1.991119480069e-05 
    7       8.265967669252e+02       8.786442801524e-02       1.527891846207e-05       3.895111572217e+00       9.411058569855e-08       2.881151989856e-03      -1.548803769568e-05 
    8       8.079211342571e+02       5.620424951048e-02       1.967490107293e-05       3.256671882535e+00       9.998550905020e-08       2.772520209988e-03      -1.046552072847e-05 
    9       7.958270191319e+02       3.294808814459e-02       2.463482389985e-05       2.654768596658e+00       1.052424187350e-07       2.665891946288e-03      -5.506576656137e-06 
   10       7.892097529528e+02       1.968711754199e-02       3.016254976752e-05       2.130146849731e+00       1.100071622715e-07       2.562976794575e-03      -1.153633646075e-06 
   11       7.868153938096e+02       1.421377666401e-02       3.626177962309e-05       1.707178144100e+00       1.112074661560e-07       2.470004623604e-03       2.183063409258e-06 
   12       7.874411492529e+02       1.292061516983e-02       4.293592931178e-05       1.397638752084e+00       1.148489709019e-07       2.373184572994e-03       4.364154968232e-06 
   13       7.909219783646e+02       1.275403058736e-02       5.018802039258e-05       1.200235177394e+00       1.181081681855e-07       2.282432095586e-03       5.340384275415e-06 
   14       7.963897258173e+02       1.212582377864e-02       5.802058934237e-05       1.102624878047e+00       1.210299119558e-07       2.202756698665e-03       5.232350314477e-06 
   15       8.032978106936e+02       1.083300941548e-02       6.643561873580e-05       1.085818416957e+00       1.236506846434e-07       2.125386733765e-03       4.241356764080e-06 
