# Matter power spectrum P(k) at redshift z=0
# for k=1.01544e-05 to 156.024 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.015444903842e-05       5.036749860267e+01 
       2.299612104578e-05       1.113205647045e+02 
       3.588197922925e-05       1.714324919364e+02 
       4.884648045962e-05       2.312865715989e+02 
       6.192464195695e-05       2.912317673583e+02 
       7.515235163443e-05       3.515412868886e+02 
       8.856668822679e-05       4.124570420686e+02 
       1.022062554401e-04       4.742081560562e+02 
       1.161115343925e-04       5.370207855260e+02 
       1.303252586485e-04       6.011243230581e+02 
       1.448928161580e-04       6.667559199345e+02 
       1.598626823566e-04       7.341644666015e+02 
       1.752868885163e-04       8.036138071629e+02 
       1.912215290866e-04       8.753860988110e+02 
       2.077273111378e-04       9.497851183143e+02 
       2.248701479943e-04       1.027139328591e+03 
       2.427217975539e-04       1.107805340059e+03 
       2.613605434252e-04       1.192170975637e+03 
       2.808719136204e-04       1.280658535332e+03 
       3.013494267870e-04       1.373727615041e+03 
       3.228953494968e-04       1.471877626408e+03 
       3.456214395331e-04       1.575649159184e+03 
       3.696496390561e-04       1.685624482171e+03 
       3.951126677301e-04       1.802426179178e+03 
       4.221544493416e-04       1.926713354007e+03 
       4.509302866122e-04       2.059174915545e+03 
       4.816066790341e-04       2.200518979895e+03 
       5.143606600048e-04       2.351458577820e+03 
       5.493785161642e-04       2.512692899012e+03 
       5.868537491850e-04       2.684885971923e+03 
       6.269841554110e-04       2.868643558109e+03 
       6.699679394240e-04       3.064492554447e+03 
       7.159988503610e-04       3.272866273870e+03 
       7.652604369651e-04       3.494100121204e+03 
       8.179196534491e-04       3.728438912970e+03 
       8.741201969013e-04       3.976054016187e+03 
       9.339760902432e-04       4.237060323314e+03 
       9.975661072311e-04       4.511518949357e+03 
       1.064929633980e-03       4.799410866682e+03 
       1.136064455748e-03       5.100576442588e+03 
       1.210926754411e-03       5.414636251694e+03 
       1.289433336101e-03       5.740927480460e+03 
       1.371465835154e-03       6.078469408560e+03 
       1.456876418622e-03       6.426111721668e+03 
       1.545494387629e-03       6.782621369332e+03 
       1.637133052603e-03       7.146800416259e+03 
       1.731596334603e-03       7.517556012648e+03 
       1.828684681406e-03       7.893868976328e+03 
       1.928200045909e-03       8.274720097594e+03 
       2.029949823245e-03       8.659047755297e+03 
       2.133749761437e-03       9.045789799417e+03 
       2.239425940808e-03       9.433969525181e+03 
       2.346815961635e-03       9.822759315904e+03 
       2.455769494923e-03       1.021146638486e+04 
       2.566148346526e-03       1.059946840352e+04 
       2.677826168531e-03       1.098615999718e+04 
       2.790687930055e-03       1.137096147492e+04 
       2.904629236932e-03       1.175337202577e+04 
       3.019555568695e-03       1.213298474834e+04 
       3.135381483127e-03       1.250948307176e+04 
       3.252029823794e-03       1.288256449148e+04 
       3.369430954371e-03       1.325195920117e+04 
       3.487522034741e-03       1.361739967444e+04 
       3.606246347358e-03       1.397868203810e+04 
       3.725552677779e-03       1.433565378549e+04 
       3.845394750074e-03       1.468819404184e+04 
       3.965730715718e-03       1.503617889185e+04 
       4.086522693272e-03       1.537949233455e+04 
       4.207736355385e-03       1.571803917989e+04 
       4.329340559315e-03       1.605175944305e+04 
       4.451307017038e-03       1.638061540649e+04 
       4.573610001132e-03       1.670456422498e+04 
       4.696226082769e-03       1.702356487752e+04 
       4.819133898432e-03       1.733760634741e+04 
       4.942313942219e-03       1.764666015197e+04 
       5.065748380903e-03       1.795073299246e+04 
       5.189420889192e-03       1.824983751015e+04 
       5.313316502899e-03       1.854397068937e+04 
       5.437421487969e-03       1.883313810890e+04 
       5.561723223574e-03       1.911736017211e+04 
       5.686210097639e-03       1.939666922707e+04 
       5.810871413408e-03       1.967107979656e+04 
       5.935697305770e-03       1.994064683379e+04 
       6.060678666262e-03       2.020537309663e+04 
       6.185807075751e-03       2.046529307015e+04 
       6.311074743956e-03       2.072044788855e+04 
       6.436474455026e-03       2.097087915129e+04 
       6.561999518536e-03       2.121661323100e+04 
       6.687643725281e-03       2.145770188913e+04 
       6.813401307367e-03       2.169416406798e+04 
       6.939266902130e-03       2.192605392683e+04 
       7.065235519475e-03       2.215341363152e+04 
       7.191302512280e-03       2.237628568593e+04 
       7.317463549542e-03       2.259469693201e+04 
       7.443714591984e-03       2.280870365073e+04 
       7.570051869871e-03       2.301835175022e+04 
       7.696471862808e-03       2.322368360223e+04 
       7.822971281335e-03       2.342474196837e+04 
       7.949547050121e-03       2.362156555530e+04 
       8.076196292620e-03       2.381419966491e+04 
       8.202916317039e-03       2.400269563956e+04 
       8.329704603489e-03       2.418709683701e+04 
       8.456558792215e-03       2.436745870912e+04 
       8.583476672800e-03       2.454380476868e+04 
       8.710456174249e-03       2.471617915363e+04 
       8.837495355886e-03       2.488464155297e+04 
       8.964592398969e-03       2.504922336239e+04 
       9.091745598982e-03       2.520997046893e+04 
       9.218953358525e-03       2.536692169027e+04 
       9.346214180764e-03       2.552012053190e+04 
       9.473526663380e-03       2.566960666620e+04 
       9.600889492987e-03       2.581542421191e+04 
       9.728301439967e-03       2.595761101986e+04 
       9.855761353697e-03       2.609620819547e+04 
       9.983268158131e-03       2.623125548449e+04 
       1.011082084770e-02       2.636279109870e+04 
       1.023841848355e-02       2.649085394231e+04 
       1.036606018996e-02       2.661548995655e+04 
       1.049374515116e-02       2.673673709531e+04 
       1.062147260826e-02       2.685462275056e+04 
       1.074924185643e-02       2.696919420715e+04 
       1.087705224232e-02       2.708049599999e+04 
       1.100490316162e-02       2.718856668182e+04 
       1.113279405679e-02       2.729342098781e+04 
       1.126072441498e-02       2.739511735928e+04 
       1.138869376608e-02       2.749368225261e+04 
