#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.090175304935e+00       1.551079101296e-05      -1.658191743553e-03      -9.718550782647e-08       3.922276389017e-08       9.805690972543e-08       1.021038191236e-13       1.961138194509e-08      -1.243643807665e-03      -9.718550782645e-08       6.010673559309e-01       6.968839355120e-01      -1.658191743541e-03      -1.457337602552e-07       2.008488092446e-04      -1.243643807683e-03       2.938547203485e-32      -1.659900123652e-03      -1.458840665538e-07       2.010555155944e-04       3.333325967458e-01      -2.610256513523e-10      -2.049904539341e-21 
       7.090175491057e+00       1.551079142537e-05      -1.658191830132e-03      -9.718551543371e-08       3.922276700036e-08       9.805691750089e-08       1.021038326496e-13       1.961138350018e-08      -1.243643872599e-03      -9.718551543366e-08       6.010673559297e-01       6.968839354335e-01      -1.658191830108e-03      -1.457337717091e-07       2.008488197616e-04      -1.243643872635e-03       1.267170972619e-31      -1.659900210308e-03      -1.458840780195e-07       2.010555261223e-04       3.333325967457e-01      -5.220512958991e-10      -6.469740856624e-21 
       7.090175677180e+00       1.551079183779e-05      -1.658191916711e-03      -9.718552304095e-08       3.922277011054e-08       9.805692527636e-08       1.021038461757e-13       1.961138505527e-08      -1.243643937533e-03      -9.718552304088e-08       6.010673559285e-01       6.968839353550e-01      -1.658191916675e-03      -1.457337831630e-07       2.008488302787e-04      -1.243643937587e-03       3.327041800504e-31      -1.659900296964e-03      -1.458840894852e-07       2.010555366501e-04       3.333325967457e-01      -7.830769334919e-10      -1.330947095655e-20 
       7.090176489240e+00       1.551079363717e-05      -1.658192294458e-03      -9.718555623168e-08       3.922278368043e-08       9.805695920107e-08       1.021039051904e-13       1.961139184021e-08      -1.243644220844e-03      -9.718555623151e-08       6.010673559233e-01       6.968839350124e-01      -1.658192294369e-03      -1.457338331370e-07       2.008488761651e-04      -1.243644220977e-03       3.674039784465e-30      -1.659900675047e-03      -1.458841395105e-07       2.010555825836e-04       3.333325967455e-01      -1.921943694532e-09      -6.957342148486e-20 
       7.090177301301e+00       1.551079543656e-05      -1.658192672206e-03      -9.718558942243e-08       3.922279725032e-08       9.805699312580e-08       1.021039642051e-13       1.961139862516e-08      -1.243644504154e-03      -9.718558942214e-08       6.010673559181e-01       6.968839346698e-01      -1.658192672064e-03      -1.457338831110e-07       2.008489220516e-04      -1.243644504366e-03       1.294159019116e-29      -1.659901053130e-03      -1.458841895358e-07       2.010556285172e-04       3.333325967453e-01      -3.060810325690e-09      -1.710634888912e-19 
       7.090178113362e+00       1.551079723595e-05      -1.658193049953e-03      -9.718562261318e-08       3.922281082021e-08       9.805702705053e-08       1.021040232198e-13       1.961140541011e-08      -1.243644787465e-03      -9.718562261279e-08       6.010673559130e-01       6.968839343272e-01      -1.658193049759e-03      -1.457339330850e-07       2.008489679381e-04      -1.243644787756e-03       3.140437045567e-29      -1.659901431213e-03      -1.458842395612e-07       2.010556744507e-04       3.333325967452e-01      -4.199676824843e-09      -3.184939225868e-19 
       7.090178925423e+00       1.551079903533e-05      -1.658193427701e-03      -9.718565580393e-08       3.922282439011e-08       9.805706097528e-08       1.021040822346e-13       1.961141219506e-08      -1.243645070775e-03      -9.718565580344e-08       6.010673559078e-01       6.968839339846e-01      -1.658193427454e-03      -1.457339830590e-07       2.008490138245e-04      -1.243645071145e-03       6.248237834649e-29      -1.659901809296e-03      -1.458842895865e-07       2.010557203842e-04       3.333325967450e-01      -5.338543191242e-09      -5.121167918559e-19 
       7.090181335506e+00       1.551080437566e-05      -1.658194548803e-03      -9.718575430949e-08       3.922286466368e-08       9.805716165919e-08       1.021042573824e-13       1.961143233184e-08      -1.243645911602e-03      -9.718575430868e-08       6.010673558924e-01       6.968839329678e-01      -1.658194548400e-03      -1.457341313749e-07       2.008491500092e-04      -1.243645912206e-03       2.751212318134e-28      -1.659902931395e-03      -1.458844380548e-07       2.010558567085e-04       3.333325967445e-01      -8.718537985076e-09      -1.359078273035e-18 
       7.090183745588e+00       1.551080971598e-05      -1.658195669905e-03      -9.718585281511e-08       3.922290493727e-08       9.805726234318e-08       1.021044325304e-13       1.961145246864e-08      -1.243646752429e-03      -9.718585281399e-08       6.010673558771e-01       6.968839319510e-01      -1.658195669347e-03      -1.457342796909e-07       2.008492861938e-04      -1.243646753267e-03       7.208040646979e-28      -1.659904053493e-03      -1.458845865232e-07       2.010559930329e-04       3.333325967440e-01      -1.209853160832e-08      -2.613337271245e-18 
       7.090186155671e+00       1.551081505631e-05      -1.658196791008e-03      -9.718595132079e-08       3.922294521090e-08       9.805736302724e-08       1.021046076786e-13       1.961147260545e-08      -1.243647593256e-03      -9.718595131936e-08       6.010673558617e-01       6.968839309342e-01      -1.658196790293e-03      -1.457344280070e-07       2.008494223785e-04      -1.243647594328e-03       1.486575181875e-27      -1.659905175592e-03      -1.458847349917e-07       2.010561293572e-04       3.333325967435e-01      -1.547852406094e-08      -4.274906317653e-18 
