# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.03205e-05 to 167.726 h/Mpc,
# number of wavenumbers equal to 627
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.032046293901e-05       1.940932827876e+07       1.954365353015e+07       2.604470247025e+07       2.604424409948e+07       1.953912713387e+07       5.893838842266e+06 
       2.300683923731e-05       1.940937785733e+07       1.954354078970e+07       2.599101827394e+07       2.598874432514e+07       1.953886389969e+07       5.893816645760e+06 
       3.573656822930e-05       1.940946604471e+07       1.954333968127e+07       2.589631648949e+07       2.589084678180e+07       1.953839664393e+07       5.893777343917e+06 
       4.854287129140e-05       1.940959453609e+07       1.954305265089e+07       2.576019324492e+07       2.575014532419e+07       1.953772552312e+07       5.893721294092e+06 
       6.145950357569e-05       1.940975726378e+07       1.954267124313e+07       2.558199082421e+07       2.556597744758e+07       1.953683856813e+07       5.893646551870e+06 
       7.452104600425e-05       1.940996056276e+07       1.954219654859e+07       2.536082847083e+07       2.533745609549e+07       1.953573206795e+07       5.893553466045e+06 
       8.776320634053e-05       1.941020589100e+07       1.954162392687e+07       2.509558757894e+07       2.506345521587e+07       1.953439521238e+07       5.893441324866e+06 
       1.012231332307e-04       1.941048669862e+07       1.954094606896e+07       2.478492264499e+07       2.474262225623e+07       1.953281304100e+07       5.893308071987e+06 
       1.149397471387e-04       1.941080873105e+07       1.954015786436e+07       2.442727716533e+07       2.437339623627e+07       1.953097116884e+07       5.893153281918e+06 
       1.289540921310e-04       1.941117009157e+07       1.953925103817e+07       2.402089084942e+07       2.395401769846e+07       1.952885024948e+07       5.892975118531e+06 
       1.433097124774e-04       1.941157153184e+07       1.953821787296e+07       2.356382708769e+07       2.348255765536e+07       1.952642948586e+07       5.892771452983e+06 
       1.580530579922e-04       1.941201404835e+07       1.953704603281e+07       2.305399530217e+07       2.295694490518e+07       1.952368119963e+07       5.892540811368e+06 
       1.732339218979e-04       1.941249550334e+07       1.953572512967e+07       2.248920281238e+07       2.237502160509e+07       1.952057709263e+07       5.892280038476e+06 
       1.889059146972e-04       1.941301496520e+07       1.953424060707e+07       2.186720524018e+07       2.173460033540e+07       1.951708177075e+07       5.891986542206e+06 
       2.051269769997e-04       1.941356885713e+07       1.953257570388e+07       2.118578802965e+07       2.103355327696e+07       1.951315427722e+07       5.891656731613e+06 
       2.219599333672e-04       1.941415491516e+07       1.953071185519e+07       2.044287763806e+07       2.026992915744e+07       1.950874799954e+07       5.891286878236e+06 
       2.394730878719e-04       1.941477035579e+07       1.952862921282e+07       1.963667986316e+07       1.944210558089e+07       1.950381059188e+07       5.890872551910e+06 
       2.577408600224e-04       1.941540540931e+07       1.952630288816e+07       1.876585769703e+07       1.854898009581e+07       1.949827953046e+07       5.890408496682e+06 
       2.768444567846e-04       1.941604900449e+07       1.952370490780e+07       1.782977402098e+07       1.759022172324e+07       1.949208327734e+07       5.889888510853e+06 
       2.968725723212e-04       1.941668834854e+07       1.952080452951e+07       1.682877793139e+07       1.656658063595e+07       1.948514065458e+07       5.889305735308e+06 
       3.179221014923e-04       1.941730434111e+07       1.951756608661e+07       1.576456702699e+07       1.548026231318e+07       1.947735763590e+07       5.888651709728e+06 
       3.400988457333e-04       1.941787058962e+07       1.951394851520e+07       1.464061104101e+07       1.433537270090e+07       1.946862564492e+07       5.887917231780e+06 
       3.635181803335e-04       1.941835806677e+07       1.950990692306e+07       1.346264716323e+07       1.313842701682e+07       1.945882176017e+07       5.887091897829e+06 
       3.883056401082e-04       1.941871892378e+07       1.950538855846e+07       1.223921769022e+07       1.189889264414e+07       1.944780317124e+07       5.886162193745e+06 
       4.145973659236e-04       1.941890163345e+07       1.950033740604e+07       1.098221405164e+07       1.062973815918e+07       1.943541009414e+07       5.885113833523e+06 
       4.425403377955e-04       1.941883612410e+07       1.949468836884e+07       9.707354409411e+06       9.347889959536e+06       1.942145817972e+07       5.883929644201e+06 
       4.722923022585e-04       1.941843516072e+07       1.948837067030e+07       8.434514535995e+06       8.074502804113e+06       1.940574017112e+07       5.882589554297e+06 
       5.040212842068e-04       1.941759362794e+07       1.948130538267e+07       7.187699308334e+06       6.834858077439e+06       1.938802159961e+07       5.881070955704e+06 
       5.379045595170e-04       1.941618126917e+07       1.947340796712e+07       5.994526255592e+06       5.657692563620e+06       1.936804185878e+07       5.879346850452e+06 
       5.741269589920e-04       1.941404707033e+07       1.946458678208e+07       4.884930744410e+06       4.573709110837e+06       1.934551153478e+07       5.877386703274e+06 
       6.128783824900e-04       1.941101639279e+07       1.945474415896e+07       3.888927428288e+06       3.613077609827e+06       1.932011303841e+07       5.875155509617e+06 
       6.543504313686e-04       1.940689723795e+07       1.944377860066e+07       3.033322397999e+06       2.801856238423e+06       1.929150331877e+07       5.872614340024e+06 
       6.987321239636e-04       1.940148123436e+07       1.943158344543e+07       2.337537096366e+06       2.157541755958e+06       1.925931442341e+07       5.869719346464e+06 
       7.462047463595e-04       1.939455901630e+07       1.941805266158e+07       1.809124012647e+06       1.684423467700e+06       1.922316287533e+07       5.866423745052e+06 
       7.969360069433e-04       1.938593327437e+07       1.940307946260e+07       1.440036642812e+06       1.369925788888e+06       1.918265404140e+07       5.862679121031e+06 
       8.510737970911e-04       1.937542912060e+07       1.938655837310e+07       1.205195042528e+06       1.183610247416e+06       1.913739198009e+07       5.858436580397e+06 
       9.087399903518e-04       1.936291602959e+07       1.936839014410e+07       1.064925940210e+06       1.080488353706e+06       1.908699466620e+07       5.853652312561e+06 
       9.700248087933e-04       1.934831256440e+07       1.934848002577e+07       9.721415031924e+05       1.009433141068e+06       1.903110423531e+07       5.848289072500e+06 
       1.034982315906e-03       1.933158975108e+07       1.932674468257e+07       8.834755961711e+05       9.256289631558e+05       1.896940741967e+07       5.842321591284e+06 
       1.103627537169e-03       1.931275704785e+07       1.930311095731e+07       7.712342054823e+05       8.034059197220e+05       1.890164790028e+07       5.835737756466e+06 
       1.175935557768e-03       1.929184367841e+07       1.927752178565e+07       6.311969375172e+05       6.439627465959e+05       1.882764520545e+07       5.828539438366e+06 
       1.251842723071e-03       1.926886971094e+07       1.924993793919e+07       4.815454778628e+05       4.729356164165e+05       1.874730702377e+07       5.820738743010e+06 
       1.331249814473e-03       1.924379365613e+07       1.922030940815e+07       3.515523795290e+05       3.267265675699e+05       1.866061181587e+07       5.812343298598e+06 
       1.414026844457e-03       1.921655920439e+07       1.918862936055e+07       2.644184157880e+05       2.328798139409e+05       1.856765980094e+07       5.803365690732e+06 
       1.500018956250e-03       1.918714027250e+07       1.915496733688e+07       2.233859978330e+05       1.948458938870e+05       1.846870111526e+07       5.793829665013e+06 
       1.589052850273e-03       1.915547059245e+07       1.911936714045e+07       2.099874849244e+05       1.907414764800e+05       1.836403944571e+07       5.783739869491e+06 
       1.680943190376e-03       1.912151907568e+07       1.908188757123e+07       1.964078725503e+05       1.878387281555e+05       1.825405732298e+07       5.773099627965e+06 
       1.775498544428e-03       1.908530781703e+07       1.904259748259e+07       1.640999294028e+05       1.636480520954e+05       1.813919860665e+07       5.761916464878e+06 
       1.872526552716e-03       1.904691471294e+07       1.900157484229e+07       1.153639156065e+05       1.188764797148e+05       1.801995235059e+07       5.750206501651e+06 
       1.971838160796e-03       1.900645052369e+07       1.895890260904e+07       6.910671370600e+04       7.291516284648e+04       1.789683269016e+07       5.737992054773e+06 
       2.073250877260e-03       1.896403462009e+07       1.891466715279e+07       4.416324872156e+04       4.592793122187e+04       1.777036165956e+07       5.725296008894e+06 
       2.176591108685e-03       1.891977878657e+07       1.886895911876e+07       4.377150296074e+04       4.236230789629e+04       1.764105555429e+07       5.712135698058e+06 
       2.281695681574e-03       1.887378051271e+07       1.882187064347e+07       5.390241387377e+04       4.918869389968e+04       1.750940939731e+07       5.698519070329e+06 
       2.388412688721e-03       1.882613631613e+07       1.877349351301e+07       5.612385345605e+04       4.906760797820e+04       1.737588525248e+07       5.684448085972e+06 
       2.496601802506e-03       1.877695627038e+07       1.872392039659e+07       4.303883573377e+04       3.562094733120e+04       1.724090583426e+07       5.669925469350e+06 
       2.606134188135e-03       1.872636616745e+07       1.867323914447e+07       2.265046698517e+04       1.702765091340e+04       1.710484453235e+07       5.654959215601e+06 
       2.716892132295e-03       1.867451031104e+07       1.862153631620e+07       8.813356734969e+03       5.960145391648e+03       1.696802682716e+07       5.639566081550e+06 
       2.828768482244e-03       1.862154138205e+07       1.856889517521e+07       7.843288830922e+03       6.803973511014e+03       1.683072890477e+07       5.623769871324e+06 
       2.941665970060e-03       1.856760456977e+07       1.851539481893e+07       1.396836634954e+04       1.259918307589e+04       1.669317948727e+07       5.607597125168e+06 
       3.055496478525e-03       1.851283624770e+07       1.846111215762e+07       1.668167313193e+04       1.343778606131e+04       1.655556571567e+07       5.591077338710e+06 
       3.170180289688e-03       1.845735719905e+07       1.840612103970e+07       1.134620085852e+04       7.489354940339e+03       1.641803765213e+07       5.574242202831e+06 
       3.285645344725e-03       1.840127272942e+07       1.835048931019e+07       2.341225634201e+03       8.248233191371e+03       1.628089471564e+07       5.557126883364e+06 
       3.401826534032e-03       1.834467404488e+07       1.829428007980e+07      -3.170661813811e+03       2.111205002073e+04       1.614410579833e+07       5.539769292136e+06 
       3.518665029222e-03       1.828764262718e+07       1.823755391750e+07      -3.072053208971e+03       3.632870560801e+04       1.600778185521e+07       5.522210362059e+06 
       3.636107663382e-03       1.823024647299e+07       1.818036596515e+07      -1.391836124220e+03       4.328674962355e+04       1.587208134783e+07       5.504491243782e+06 
       3.754106362190e-03       1.817253974725e+07       1.812276492658e+07      -2.578484089332e+03       4.029622925144e+04       1.573713771843e+07       5.486651303196e+06 
       3.872617625906e-03       1.811456813977e+07       1.806479914687e+07      -6.197325227824e+03       3.375916429683e+04       1.560306700346e+07       5.468728307942e+06 
       3.991602060571e-03       1.805636379625e+07       1.800651227367e+07      -7.952154454618e+03       3.078840894115e+04       1.546996524280e+07       5.450755307543e+06 
       4.111023955719e-03       1.799794544172e+07       1.794794095111e+07      -5.213720417048e+03       3.288993984389e+04       1.533790900931e+07       5.432758728723e+06 
       4.230850905288e-03       1.793932615518e+07       1.788912158495e+07      -2.963253773775e+02       3.597298933809e+04       1.520696299568e+07       5.414759125439e+06 
       4.351053468208e-03       1.788051229979e+07       1.783008549603e+07       2.168158645628e+03       3.558097494948e+04       1.507717692866e+07       5.396769696570e+06 
       4.471604865048e-03       1.782151246071e+07       1.777086451204e+07       3.948669858741e+02       3.149745027607e+04       1.494859284775e+07       5.378798377789e+06 
       4.592480707249e-03       1.776233264363e+07       1.771148450502e+07      -2.880244790701e+03       2.731546717506e+04       1.482123854989e+07       5.360846465906e+06 
       4.713658755615e-03       1.770298300873e+07       1.765197117441e+07      -2.132157803763e+04      -2.168811357872e+04       1.469513460098e+07       5.342908854322e+06 
       4.835118704981e-03       1.764347444427e+07       1.759234724839e+07      -2.018943082334e+04      -2.053660092749e+04       1.457029142787e+07       5.324982154900e+06 
       4.956841992246e-03       1.758382292137e+07       1.753263668948e+07      -1.913901205543e+04      -1.946821590448e+04       1.444671377683e+07       5.307054305835e+06 
       5.078811625183e-03       1.752403840268e+07       1.747285282006e+07      -1.816338648056e+04      -1.847589641355e+04       1.432439032726e+07       5.289111390153e+06 
       5.201012029733e-03       1.746415496295e+07       1.741302875528e+07      -1.725629789871e+04      -1.755327332602e+04       1.420332076939e+07       5.271145915888e+06 
       5.323428913691e-03       1.740418369343e+07       1.735316947326e+07      -1.641202692592e+04      -1.669452575654e+04       1.408347528792e+07       5.253143835958e+06 
       5.446049144954e-03       1.734415387570e+07       1.729329478847e+07      -1.562534810576e+04      -1.589433750463e+04       1.396483178542e+07       5.235098706422e+06 
       5.568860642668e-03       1.728409850233e+07       1.723342506928e+07      -1.489145840159e+04      -1.514782405991e+04       1.384736426655e+07       5.217008465666e+06 
       5.691852279824e-03       1.722403838225e+07       1.717356827887e+07      -1.420594666962e+04      -1.445050082194e+04       1.373103367139e+07       5.198871049983e+06 
       5.815013796020e-03       1.716400392951e+07       1.711374132896e+07      -1.356475602985e+04      -1.379824484635e+04       1.361580659039e+07       5.180691587635e+06 
       5.938335719228e-03       1.710402080807e+07       1.705395803238e+07      -1.296416580587e+04      -1.318727580320e+04       1.350164590125e+07       5.162478282838e+06 
       6.061809295569e-03       1.704410680519e+07       1.699422594330e+07      -1.240076765232e+04      -1.261413135253e+04       1.338851003580e+07       5.144240962831e+06 
       6.185426426206e-03       1.698428078524e+07       1.693455581880e+07      -1.187144606865e+04      -1.207564714058e+04       1.327636125144e+07       5.125993377453e+06 
       6.309179610566e-03       1.692455803211e+07       1.687495784340e+07      -1.137338803163e+04      -1.156896586105e+04       1.316516372512e+07       5.107750638107e+06 
       6.433061895187e-03       1.686494632332e+07       1.681543699113e+07      -1.090403960152e+04      -1.109149328551e+04       1.305488051702e+07       5.089527284157e+06 
       6.557066827594e-03       1.680545418086e+07       1.675600179656e+07      -1.046111498660e+04      -1.064090702157e+04       1.294548119178e+07       5.071338479272e+06 
       6.681188414645e-03       1.674608698408e+07       1.669666046086e+07      -1.004257046557e+04      -1.021512999120e+04       1.283693899191e+07       5.053197842334e+06 
       6.805421084879e-03       1.668684253703e+07       1.663741531094e+07      -9.646581536737e+03      -9.812307190711e+03       1.272922674129e+07       5.035115162909e+06 
       6.929759654436e-03       1.662772065907e+07       1.657827288507e+07      -9.271531907844e+03      -9.430794486951e+03       1.262232461048e+07       5.017098597008e+06 
       7.054199296170e-03       1.656872014522e+07       1.651923870279e+07      -8.915985562335e+03      -9.069130364241e+03       1.251621582695e+07       4.999153030133e+06 
       7.178735511636e-03       1.650983477500e+07       1.646031370324e+07      -8.578664907927e+03      -8.726013807005e+03       1.241088352437e+07       4.981278710544e+06 
       7.303364105637e-03       1.645106354630e+07       1.640150353020e+07      -8.258429166911e+03      -8.400282564415e+03       1.230631723490e+07       4.963474371662e+06 
       7.428081163085e-03       1.639240865099e+07       1.634281594939e+07      -7.954252290019e+03      -8.090890853517e+03       1.220251045857e+07       4.945736867128e+06 
