#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.090591733648e+00       1.551176873935e-05      -1.658375857474e-03      -9.720210305850e-08       3.922929734629e-08       9.807324336572e-08       1.021337016969e-13       1.961464867314e-08      -1.243781893106e-03      -9.720210301087e-08       6.010715099551e-01       6.968870921770e-01      -1.658375833725e-03      -1.457589085772e-07       2.008720373504e-04      -1.243781928762e-03       5.445207977676e-29      -1.660084402997e-03      -1.459092407227e-07       2.010787675171e-04       3.333325966529e-01      -5.144966621707e-07      -4.724896568429e-15 
       7.090667965632e+00       1.551193765827e-05      -1.658411320104e-03      -9.720521920485e-08       3.923057139103e-08       9.807642847757e-08       1.021392431802e-13       1.961528569551e-08      -1.243808490078e-03      -9.720521914732e-08       6.010715093333e-01       6.968870598321e-01      -1.658411291419e-03      -1.457636004468e-07       2.008763451249e-04      -1.243808533144e-03       9.511682235009e-29      -1.660119897135e-03      -1.459139374134e-07       2.010830797097e-04       3.333325966369e-01      -6.214057679961e-07      -6.889835946086e-15 
       7.091356674484e+00       1.551346373833e-05      -1.658731720050e-03      -9.723337465957e-08       3.924208285585e-08       9.810520713964e-08       1.021893180074e-13       1.962104142793e-08      -1.244048790038e-03      -9.723337451258e-08       6.010715037153e-01       6.968867676190e-01      -1.658731646769e-03      -1.458059931401e-07       2.009152652925e-04      -1.244048900060e-03       1.850131670501e-27      -1.660440581751e-03      -1.459563736666e-07       2.011220397937e-04       3.333325964919e-01      -1.587210365650e-06      -4.491938494898e-14 
       7.092045383336e+00       1.551498982217e-05      -1.659052150632e-03      -9.726153551448e-08       3.925359658652e-08       9.813399146630e-08       1.022394125590e-13       1.962679829326e-08      -1.244289112974e-03      -9.726153527798e-08       6.010714980958e-01       6.968864754099e-01      -1.659052032741e-03      -1.458483940301e-07       2.009541892190e-04      -1.244289289971e-03       7.124510777325e-27      -1.660761297017e-03      -1.459988181249e-07       2.011610036402e-04       3.333325963469e-01      -2.552919404787e-06      -1.162073113151e-13 
       7.092734092188e+00       1.551651590978e-05      -1.659372611848e-03      -9.728970177005e-08       3.926511258335e-08       9.816278145837e-08       1.022895268411e-13       1.963255629167e-08      -1.244529458886e-03      -9.728970144398e-08       6.010714924743e-01       6.968861832042e-01      -1.659372449334e-03      -1.458908031175e-07       2.009931169043e-04      -1.244529702877e-03       1.791412263224e-26      -1.661082042936e-03      -1.460412707889e-07       2.011999712493e-04       3.333325962019e-01      -3.518532937806e-06      -2.207505026388e-13 
       7.093422801040e+00       1.551804200116e-05      -1.659693103698e-03      -9.731787342679e-08       3.927663084664e-08       9.819157711661e-08       1.023396608599e-13       1.963831542332e-08      -1.244769827773e-03      -9.731787301110e-08       6.010714868503e-01       6.968858910013e-01      -1.659692896548e-03      -1.459332204031e-07       2.010320483485e-04      -1.244770138779e-03       3.630736068870e-26      -1.661402819509e-03      -1.460837316595e-07       2.012389426212e-04       3.333325960569e-01      -4.484051019457e-06      -3.585457251500e-13 
       7.094797567674e+00       1.552108832077e-05      -1.660332945327e-03      -9.737412445167e-08       3.929962981450e-08       9.824907453626e-08       1.024397949597e-13       1.964981490725e-08      -1.245249708995e-03      -9.737412385693e-08       6.010714756141e-01       6.968853077263e-01      -1.660332649038e-03      -1.460179162149e-07       2.011097726172e-04      -1.245250153829e-03       1.037643387332e-25      -1.662043229549e-03      -1.461685144995e-07       2.013167466040e-04       3.333325957674e-01      -6.411085355422e-06      -7.330297592044e-13 
       7.096172334307e+00       1.552413465544e-05      -1.660972909021e-03      -9.743039700410e-08       3.932263781720e-08       9.830659454300e-08       1.025400077759e-13       1.966131890860e-08      -1.245729681766e-03      -9.743039623010e-08       6.010714643613e-01       6.968847244552e-01      -1.660972523541e-03      -1.461026447027e-07       2.011875118634e-04      -1.245730260505e-03       2.262312477752e-25      -1.662683761746e-03      -1.462533300507e-07       2.013945655818e-04       3.333325954779e-01      -8.337740001442e-06      -1.239972266039e-12 
       7.097547100941e+00       1.552718100516e-05      -1.661612994780e-03      -9.748669108814e-08       3.934565485730e-08       9.836413714325e-08       1.026402993572e-13       1.967282742865e-08      -1.246209746085e-03      -9.748669013468e-08       6.010714530872e-01       6.968841411828e-01      -1.661612520056e-03      -1.461874058729e-07       2.012652660871e-04      -1.246210458807e-03       4.205206603116e-25      -1.663324416112e-03      -1.463381783205e-07       2.014723995563e-04       3.333325951883e-01      -1.026401539767e-05      -1.879347283347e-12 
       7.098921867575e+00       1.553022736996e-05      -1.662253202602e-03      -9.754300670784e-08       3.936868093743e-08       9.842170234356e-08       1.027406697527e-13       1.968434046871e-08      -1.246689901951e-03      -9.754300557471e-08       6.010714417872e-01       6.968835579036e-01      -1.662252638583e-03      -1.462721997318e-07       2.013430352882e-04      -1.246690748733e-03       7.033420078592e-25      -1.663965192659e-03      -1.464230593163e-07       2.015502485288e-04       3.333325948986e-01      -1.218991198127e-05      -2.651129034974e-12 
       7.100296634209e+00       1.553327374983e-05      -1.662893532487e-03      -9.759934386722e-08       3.939171606025e-08       9.847929015062e-08       1.028411190118e-13       1.969585803012e-08      -1.247170149365e-03      -9.759934255420e-08       6.010714304560e-01       6.968829746120e-01      -1.662892879120e-03      -1.463570262856e-07       2.014208194668e-04      -1.247171130285e-03       1.091306286457e-24      -1.664606091399e-03      -1.465079730457e-07       2.016281125008e-04       3.333325946089e-01      -1.411543018660e-05      -3.555291922762e-12 
       7.106220528257e+00       1.554640082801e-05      -1.665654121607e-03      -9.784234817079e-08       3.949107831676e-08       9.872769579190e-08       1.032748599251e-13       1.974553915838e-08      -1.249240591206e-03      -9.784234608025e-08       6.010713811386e-01       6.968804609029e-01      -1.665653082642e-03      -1.467229195514e-07       2.017561642011e-04      -1.249242151013e-03       4.366140053139e-24      -1.667369133561e-03      -1.468742424243e-07       2.019638013630e-04       3.333325933598e-01      -2.240820506678e-05      -8.964948372076e-12 
