# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.104858152560e+03       6.373318099168e-02       0.000000000000e+00       3.619444228023e+00       4.905287956282e-08       3.331247053306e-03      -1.732398576061e-05 
    3       1.031476587323e+03       1.145442920396e-01       0.000000000000e+00       4.682381387928e+00       6.074309417366e-08       3.363208788859e-03      -2.220369718102e-05 
    4       9.614593715156e+02       1.426882786235e-01       0.000000000000e+00       4.961842397961e+00       7.070955156152e-08       3.308718698425e-03      -2.368159213442e-05 
    5       9.060698436755e+02       1.419452765064e-01       0.000000000000e+00       4.758287674570e+00       7.938143891291e-08       3.220718370738e-03      -2.252293065328e-05 
    6       8.647981244460e+02       1.188715637084e-01       0.000000000000e+00       4.291648880987e+00       8.699235318141e-08       3.116930837901e-03      -1.937032126967e-05 
    7       8.348461695380e+02       8.597776824391e-02       0.000000000000e+00       3.714636154586e+00       9.368206477047e-08       3.005746285136e-03      -1.493253304963e-05 
    8       8.143929238827e+02       5.482865373092e-02       0.000000000000e+00       3.118085140439e+00       9.953697829219e-08       2.893039561677e-03      -9.919359852211e-06 
    9       8.013923120834e+02       3.222613018191e-02       0.000000000000e+00       2.557754880536e+00       1.047234115280e-07       2.782859607845e-03      -4.982055112271e-06 
   10       7.938427493441e+02       1.959792467970e-02       0.000000000000e+00       2.070451081092e+00       1.094229432714e-07       2.677252923873e-03      -6.537626327759e-07 
   11       7.910305157975e+02       1.462709451466e-02       0.000000000000e+00       1.677687416567e+00       1.108737110538e-07       2.581315250166e-03       2.661006814878e-06 
   12       7.915184262625e+02       1.364867224093e-02       0.000000000000e+00       1.389082067492e+00       1.146005758550e-07       2.478670165626e-03       4.818672157069e-06 
   13       7.945404812201e+02       1.359387993790e-02       0.000000000000e+00       1.204154079579e+00       1.179473391127e-07       2.386273109834e-03       5.788257651995e-06 
   14       7.999179183744e+02       1.289461357977e-02       0.000000000000e+00       1.112386143021e+00       1.209585976269e-07       2.302348808667e-03       5.666286052516e-06 
   15       8.069071929575e+02       1.139623403840e-02       0.000000000000e+00       1.096190989837e+00       1.236679567784e-07       2.220914322094e-03       4.657990759647e-06 
   16       8.149961988251e+02       9.714698115512e-03       0.000000000000e+00       1.133985916410e+00       1.261058072290e-07       2.147241378381e-03       3.059729583625e-06 
   17       8.243240261125e+02       8.534772419378e-03       0.000000000000e+00       1.203629793899e+00       1.282988454610e-07       2.078166760158e-03       1.174414685642e-06 
   18       8.342742973390e+02       8.185811400272e-03       0.000000000000e+00       1.286143217489e+00       1.302201348596e-07       2.012378636491e-03      -7.015918365389e-07 
   19       8.449855955113e+02       8.515169953978e-03       0.000000000000e+00       1.368969941283e+00       1.320387751162e-07       1.952317050521e-03      -2.345522175278e-06 
   20       8.564983899449e+02       9.147628810312e-03       0.000000000000e+00       1.439859046823e+00       1.336155792125e-07       1.895957368663e-03      -3.566531477929e-06 
   21       8.686570930046e+02       9.781456621559e-03       0.000000000000e+00       1.494615033913e+00       1.350381701073e-07       1.842213617479e-03      -4.273309409749e-06 
   22       8.810466645999e+02       1.015276939987e-02       0.000000000000e+00       1.532467965932e+00       1.362813429580e-07       1.787764544154e-03      -4.463089124448e-06 
   23       8.938160480003e+02       1.033473462305e-02       0.000000000000e+00       1.555608207818e+00       1.374154372281e-07       1.734086001486e-03      -4.186366622346e-06 
