# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.073195465003e+03       6.316738606705e-02       1.628650149735e-06       3.718507847570e+00       4.943592811505e-08       3.208432160451e-03      -1.743022952363e-05 
    3       1.007971482879e+03       1.145801853622e-01       3.259492506810e-06       4.854924635862e+00       6.140335165788e-08       3.239588587348e-03      -2.246280649091e-05 
    4       9.438978050134e+02       1.436773564649e-01       5.437275414449e-06       5.179888287184e+00       7.129652731928e-08       3.183702541157e-03      -2.407331368042e-05 
    5       8.928089972784e+02       1.437146847316e-01       8.164692235324e-06       4.988350348049e+00       7.990724953389e-08       3.095390017576e-03      -2.301141866144e-05 
    6       8.545101481033e+02       1.209578736749e-01       1.144491988895e-05       4.506083541645e+00       8.746558381703e-08       2.992590741138e-03      -1.991147366630e-05 
    7       8.268157069323e+02       8.789374803804e-02       1.528150372207e-05       3.895377033865e+00       9.410991906718e-08       2.884071814005e-03      -1.549039472787e-05 
    8       8.080658523037e+02       5.623141287015e-02       1.967823013808e-05       3.257149752072e+00       9.998608733628e-08       2.774810190483e-03      -1.046931449545e-05 
    9       7.959145458620e+02       3.296708452648e-02       2.463899212446e-05       2.655313841269e+00       1.052449159936e-07       2.667531032932e-03      -5.510982188104e-06 
   10       7.892487600498e+02       1.969675419713e-02       3.016765309773e-05       2.130685634523e+00       1.100108593513e-07       2.564069630414e-03      -1.157795068910e-06 
   11       7.868374243376e+02       1.421667731826e-02       3.626791454449e-05       1.707666587397e+00       1.112144072759e-07       2.470865417970e-03       2.180064061582e-06 
   12       7.874486338012e+02       1.292077894619e-02       4.294319277286e-05       1.398029888830e+00       1.148568053678e-07       2.373753578148e-03       4.362308477681e-06 
   13       7.909221517007e+02       1.275457558761e-02       5.019650970697e-05       1.200486857975e+00       1.181165322876e-07       2.282787728796e-03       5.340602219243e-06 
   14       7.963603502535e+02       1.212791181675e-02       5.803040207378e-05       1.102749509952e+00       1.210389071209e-07       2.202793490360e-03       5.234526040583e-06 
   15       8.032736209117e+02       1.083603916045e-02       6.644685257043e-05       1.085836487523e+00       1.236599088575e-07       2.125030609055e-03       4.244713770431e-06 
   16       8.115978083795e+02       9.428966753247e-03       7.544724569148e-05       1.126243171424e+00       1.260093032521e-07       2.052138613319e-03       2.666031268269e-06 
   17       8.208329987296e+02       8.525115621683e-03       8.503234987702e-05       1.200865775554e+00       1.281138472901e-07       1.984623446770e-03       8.107225883185e-07 
   18       8.309769072418e+02       8.401334932621e-03       9.520231359583e-05       1.289440420382e+00       1.299468856276e-07       1.921139239062e-03      -1.023385273108e-06 
   19       8.420464004940e+02       8.885554935747e-03       1.059567655403e-04       1.378556281286e+00       1.316793946132e-07       1.863335758437e-03      -2.615289230174e-06 
   20       8.536001299154e+02       9.600777948817e-03       1.172947331986e-04       1.455274017560e+00       1.331708777314e-07       1.808816411253e-03      -3.776620018621e-06 
   21       8.656890284628e+02       1.026950304626e-02       1.292149144523e-04       1.515252008113e+00       1.345095474301e-07       1.756567709406e-03      -4.420038463729e-06 
   22       8.782909528417e+02       1.066649355225e-02       1.417155792924e-04       1.557748019201e+00       1.356704587572e-07       1.703747395582e-03      -4.547726599132e-06 
   23       8.913583848428e+02       1.089009745257e-02       1.547948901414e-04       1.584704798831e+00       1.367243593705e-07       1.652386169276e-03      -4.214511693279e-06 
   24       9.047058070674e+02       1.117365154685e-02       1.684508032632e-04       1.599974306564e+00       1.376225128762e-07       1.604825569234e-03      -3.546375167761e-06 
   25       9.184298107355e+02       1.171652470934e-02       1.826814399150e-04       1.608382417633e+00       1.384195763116e-07       1.561502070180e-03      -2.673183478442e-06 
   26       9.325804757935e+02       1.269313629639e-02       1.974849649376e-04       1.615566355612e+00       1.390934642793e-07       1.520642531851e-03      -1.759247950936e-06 
   27       9.470358991372e+02       1.410112373161e-02       2.128599115705e-04       1.625609176688e+00       1.396717305588e-07       1.480774771119e-03      -9.400501914948e-07 
   28       9.615689831639e+02       1.587149403587e-02       2.288051053996e-04       1.641821348527e+00       1.401186368534e-07       1.439898286258e-03      -3.436311621837e-07 
   29       9.762418169037e+02       1.795708193499e-02       2.453200336501e-04       1.664676995297e+00       1.405078941075e-07       1.399229302036e-03      -1.795143589670e-08 
   30       9.911371151461e+02       2.030121866636e-02       2.624046478712e-04       1.693332596877e+00       1.408596783354e-07       1.360740539906e-03       3.106350060215e-08 
   31       1.006266287608e+03       2.284203165160e-02       2.800593659018e-04       1.726092750767e+00       1.410928250094e-07       1.325788395397e-03      -1.762050273890e-07 
   32       1.021653443209e+03       2.557554978490e-02       2.982853096600e-04       1.759912310618e+00       1.412524501312e-07       1.294494322611e-03      -5.911897203361e-07 
   33       1.037264133009e+03       2.851571448371e-02       3.170842528510e-04       1.790561881817e+00       1.413674528558e-07       1.265682042635e-03      -1.128632169509e-06 
   34       1.053017786131e+03       3.166983697380e-02       3.364585583896e-04       1.813319311202e+00       1.414016557499e-07       1.237445676960e-03      -1.678872316696e-06 
   35       1.068942647575e+03       3.500954192928e-02       3.564109703377e-04       1.825235282331e+00       1.413871113739e-07       1.209673096578e-03      -2.175151819965e-06 
   36       1.085063158388e+03       3.848882629658e-02       3.769448394830e-04       1.823592556351e+00       1.413304327598e-07       1.182500980729e-03      -2.553708195857e-06 
   37       1.101370553058e+03       4.206744331461e-02       3.980639644752e-04       1.805929658355e+00       1.411920036598e-07       1.155794196103e-03      -2.751237710485e-06 
   38       1.117882051133e+03       4.576728375427e-02       4.197716823154e-04       1.772250648312e+00       1.410103912848e-07       1.129825819217e-03      -2.761360259659e-06 
   39       1.134592957798e+03       4.963498699054e-02       4.420715392980e-04       1.723565993559e+00       1.408216078301e-07       1.104790016611e-03      -2.605184176282e-06 
   40       1.151455246725e+03       5.372774025626e-02       4.649675711263e-04       1.661340713676e+00       1.406124213161e-07       1.080555958772e-03      -2.320143449178e-06 
   41       1.168406747078e+03       5.810153959263e-02       4.884638869905e-04       1.587262231784e+00       1.403356761470e-07       1.056809568705e-03      -1.956108022530e-06 
