# Matter power spectrum P(k) at redshift z=0
# for k=1.03281e-05 to 168.065 h/Mpc,
# number of wavenumbers equal to 627
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032805019604e-05       4.748568560912e+01 
       2.303220226661e-05       1.033922834074e+02 
       3.577987141424e-05       1.585298945722e+02 
       4.860441929036e-05       2.134163923163e+02 
       6.153974491321e-05       2.683605189303e+02 
       7.462057872594e-05       3.236028761856e+02 
       8.788278581840e-05       3.793554577537e+02 
       1.013636822436e-04       4.358168492422e+02 
       1.151023683912e-04       4.931836500390e+02 
       1.291400834113e-04       5.516532085583e+02 
       1.435205846950e-04       6.114290518003e+02 
       1.582905563698e-04       6.727241118805e+02 
       1.735000506293e-04       7.357639360973e+02 
       1.892029654067e-04       8.007876804548e+02 
       2.054575613591e-04       8.680531480614e+02 
       2.223270202260e-04       9.378387696895e+02 
       2.398800452333e-04       1.010446030321e+03 
       2.581915021382e-04       1.086202294087e+03 
       2.773430965275e-04       1.165465563227e+03 
       2.974240788109e-04       1.248626658834e+03 
       3.185319626650e-04       1.336111084557e+03 
       3.407732351342e-04       1.428382770712e+03 
       3.642640268361e-04       1.525946672628e+03 
       3.891306984919e-04       1.629350138013e+03 
       4.155102852438e-04       1.739179551823e+03 
       4.435507232494e-04       1.856064513154e+03 
       4.734107648063e-04       1.980667348260e+03 
       5.052594706416e-04       2.113678772169e+03 
       5.392751541473e-04       2.255805083087e+03 
       5.756436468994e-04       2.407750765824e+03 
       6.145557638476e-04       2.570197368910e+03 
       6.562038770645e-04       2.743776348287e+03 
       7.007775653068e-04       2.929040916107e+03 
       7.484583963623e-04       3.126432890549e+03 
       7.994140176656e-04       3.336257942056e+03 
       8.537918663008e-04       3.558664111550e+03 
       9.117129401066e-04       3.793632872074e+03 
       9.732661666146e-04       4.040986980193e+03 
       1.038503933853e-03       4.300406259270e+03 
       1.107439283544e-03       4.571456244594e+03 
       1.180045109711e-03       4.853615764154e+03 
       1.256255476740e-03       5.146300912372e+03 
       1.335968915180e-03       5.448852810811e+03 
       1.419053325084e-03       5.760579836990e+03 
       1.505351961276e-03       6.080766119771e+03 
       1.594689916696e-03       6.408620213994e+03 
       1.686880555832e-03       6.743290865375e+03 
       1.781731456218e-03       7.083865290345e+03 
       1.879049557331e-03       7.429363186248e+03 
       1.978645360489e-03       7.778742316619e+03 
       2.080336146643e-03       8.130926075799e+03 
       2.183948269588e-03       8.484855743702e+03 
       2.289318638138e-03       8.839561451575e+03 
       2.396295526949e-03       9.194224788285e+03 
       2.504738859621e-03       9.548222100217e+03 
       2.614520097276e-03       9.901099920799e+03 
       2.725521847824e-03       1.025252705956e+04 
       2.837637290282e-03       1.060221024948e+04 
       2.950769488169e-03       1.094983568014e+04 
       3.064830647705e-03       1.129503830650e+04 
       3.179741361193e-03       1.163740450286e+04 
       3.295429863612e-03       1.197652107148e+04 
       3.411831320882e-03       1.231202347310e+04 
       3.528887161076e-03       1.264364390853e+04 
       3.646544454633e-03       1.297123580214e+04 
       3.764755345943e-03       1.329475952370e+04 
       3.883476536134e-03       1.361423380452e+04 
       4.002668815275e-03       1.392968039993e+04 
       4.122296641197e-03       1.424106066168e+04 
       4.242327761559e-03       1.454826779129e+04 
       4.362732875585e-03       1.485113872257e+04 
       4.483485331834e-03       1.514949171132e+04 
       4.604560858490e-03       1.544319408013e+04 
       4.725937322854e-03       1.573219020941e+04 
       4.847594516948e-03       1.601651591096e+04 
       4.969513966394e-03       1.629626514195e+04 
       5.091678760017e-03       1.657154747220e+04 
       5.214073397853e-03       1.684246685484e+04 
       5.336683655489e-03       1.710902435626e+04 
       5.459496462900e-03       1.737117992873e+04 
       5.582499796130e-03       1.762885246686e+04 
       5.705682580377e-03       1.788195581151e+04 
       5.829034603185e-03       1.813045554938e+04 
       5.952546436608e-03       1.837439096716e+04 
       6.076209367341e-03       1.861384924604e+04 
       6.200015333933e-03       1.884895755346e+04 
       6.323956870295e-03       1.907982973911e+04 
       6.448027054813e-03       1.930652541495e+04 
