# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.117559931239e+03       6.518810801516e-02       0.000000000000e+00       3.628351308646e+00       4.826982468562e-08       3.388773530451e-03      -1.753484228475e-05 
    3       1.041002640250e+03       1.162910865549e-01       0.000000000000e+00       4.696807850644e+00       6.015090112526e-08       3.412021321084e-03      -2.237592385104e-05 
    4       9.688686039538e+02       1.435772041957e-01       0.000000000000e+00       4.965542703308e+00       6.999695497950e-08       3.351949118732e-03      -2.375385376354e-05 
    5       9.120470203678e+02       1.413996978940e-01       0.000000000000e+00       4.748223793911e+00       7.854592795362e-08       3.259488178489e-03      -2.245439325578e-05 
    6       8.698589237359e+02       1.170753088474e-01       0.000000000000e+00       4.268166942730e+00       8.599138275108e-08       3.151132096420e-03      -1.915012126314e-05 
    7       8.393744821618e+02       8.361053303344e-02       0.000000000000e+00       3.679586457931e+00       9.258572590839e-08       3.036702276287e-03      -1.458013620210e-05 
    8       8.186760504464e+02       5.264770976743e-02       0.000000000000e+00       3.074954303472e+00       9.852904694668e-08       2.922594011039e-03      -9.476952487320e-06 
    9       8.055580016873e+02       3.071706597295e-02       0.000000000000e+00       2.510632329879e+00       1.039069047107e-07       2.811411362598e-03      -4.505946820283e-06 
   10       7.979697255606e+02       1.884838818494e-02       0.000000000000e+00       2.022994523054e+00       1.087489500922e-07       2.703704587363e-03      -2.041103049896e-07 
   11       7.951404296011e+02       1.441493122972e-02       0.000000000000e+00       1.633178875302e+00       1.098205200958e-07       2.603275886708e-03       3.024056202593e-06 
   12       7.956745912486e+02       1.364044468166e-02       0.000000000000e+00       1.350356165604e+00       1.135099435513e-07       2.502712932062e-03       5.070151260262e-06 
   13       7.988233845496e+02       1.352983168584e-02       0.000000000000e+00       1.172895971942e+00       1.168236272668e-07       2.408082975644e-03       5.889452299143e-06 
   14       8.044186398180e+02       1.267804981717e-02       0.000000000000e+00       1.088907696959e+00       1.198051249534e-07       2.324899349692e-03       5.624161074118e-06 
