# Matter power spectrum P(k) at redshift z=0
# for k=1.03205e-05 to 167.726 h/Mpc,
# number of wavenumbers equal to 627
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032046293901e-05       4.850237117994e+01 
       2.300683923731e-05       1.055639729421e+02 
       3.573656822930e-05       1.618309904513e+02 
       4.854287129140e-05       2.178259661502e+02 
       6.145950357569e-05       2.738580873554e+02 
       7.452104600425e-05       3.301665622255e+02 
       8.776320634053e-05       3.869606603201e+02 
       1.012231332307e-04       4.444359676730e+02 
       1.149397471387e-04       5.027842476820e+02 
       1.289540921310e-04       5.621977781875e+02 
       1.433097124774e-04       6.228736892634e+02 
       1.580530579922e-04       6.850173004499e+02 
       1.732339218979e-04       7.488438959492e+02 
       1.889059146972e-04       8.145824277286e+02 
       2.051269769997e-04       8.824769711707e+02 
       2.219599333672e-04       9.527902344677e+02 
       2.394730878719e-04       1.025805702520e+03 
       2.577408600224e-04       1.101829452979e+03 
       2.768444567846e-04       1.181193610020e+03 
       2.968725723212e-04       1.264259324797e+03 
       3.179221014923e-04       1.351418283463e+03 
       3.400988457333e-04       1.443095545353e+03 
       3.635181803335e-04       1.539752576802e+03 
       3.883056401082e-04       1.641885269083e+03 
       4.145973659236e-04       1.750028360660e+03 
       4.425403377955e-04       1.864751836837e+03 
       4.722923022585e-04       1.986658662526e+03 
       5.040212842068e-04       2.116381070914e+03 
       5.379045595170e-04       2.254570159096e+03 
       5.741269589920e-04       2.401887223107e+03 
       6.128783824900e-04       2.558987883087e+03 
       6.543504313686e-04       2.726505034133e+03 
       6.987321239636e-04       2.905026380674e+03 
       7.462047463595e-04       3.095071730875e+03 
       7.969360069433e-04       3.297072784729e+03 
       8.510737970911e-04       3.511346736888e+03 
       9.087399903518e-04       3.738085630099e+03 
       9.700248087933e-04       3.977338589678e+03 
       1.034982315906e-03       4.229007694006e+03 
       1.103627537169e-03       4.492842535547e+03 
       1.175935557768e-03       4.768440079060e+03 
       1.251842723071e-03       5.055243429006e+03 
       1.331249814473e-03       5.352527706561e+03 
       1.414026844457e-03       5.659436097698e+03 
       1.500018956250e-03       5.975026302643e+03 
       1.589052850273e-03       6.298249754629e+03 
       1.680943190376e-03       6.628019561489e+03 
       1.775498544428e-03       6.963253679429e+03 
       1.872526552716e-03       7.302910481387e+03 
       1.971838160796e-03       7.646003592040e+03 
       2.073250877260e-03       7.991605489401e+03 
       2.176591108685e-03       8.338846826396e+03 
       2.281695681574e-03       8.686914934468e+03 
       2.388412688721e-03       9.035064099949e+03 
       2.496601802506e-03       9.382628809524e+03 
       2.606134188135e-03       9.729027161293e+03 
       2.716892132295e-03       1.007376518991e+04 
       2.828768482244e-03       1.041642765840e+04 
       2.941665970060e-03       1.075666056225e+04 
       3.055496478525e-03       1.109416491193e+04 
       3.170180289688e-03       1.142868427459e+04 
       3.285645344725e-03       1.175999896605e+04 
       3.401826534032e-03       1.208791853404e+04 
       3.518665029222e-03       1.241228402663e+04 
       3.636107663382e-03       1.273295720649e+04 
       3.754106362190e-03       1.304981385695e+04 
       3.872617625906e-03       1.336274671590e+04 
       3.991602060571e-03       1.367165426049e+04 
       4.111023955719e-03       1.397643580087e+04 
       4.230850905288e-03       1.427699937461e+04 
       4.351053468208e-03       1.457325642126e+04 
       4.471604865048e-03       1.486513323884e+04 
       4.592480707249e-03       1.515256163263e+04 
       4.713658755615e-03       1.543548901252e+04 
       4.835118704981e-03       1.571387247184e+04 
       4.956841992246e-03       1.598768600920e+04 
       5.078811625183e-03       1.625690002743e+04 
       5.201012029733e-03       1.652153674831e+04 
       5.323428913691e-03       1.678158287966e+04 
       5.446049144954e-03       1.703706642688e+04 
       5.568860642667e-03       1.728803054235e+04 
       5.691852279824e-03       1.753450222188e+04 
       5.815013796020e-03       1.777653470566e+04 
       5.938335719228e-03       1.801417927963e+04 
       6.061809295569e-03       1.824747730358e+04 
       6.185426426206e-03       1.847647814626e+04 
       6.309179610566e-03       1.870122902649e+04 
       6.433061895187e-03       1.892176504841e+04 
       6.557066827594e-03       1.913812663854e+04 
       6.681188414645e-03       1.935035047531e+04 
       6.805421084879e-03       1.955845797146e+04 
       6.929759654436e-03       1.976247689125e+04 
       7.054199296170e-03       1.996243337833e+04 
       7.178735511636e-03       2.015834212074e+04 
       7.303364105637e-03       2.035023044191e+04 
       7.428081163085e-03       2.053813378055e+04 
       7.552883027932e-03       2.072207498071e+04 
       7.677766283971e-03       2.090207881802e+04 
       7.802727737316e-03       2.107819082905e+04 
       7.927764400406e-03       2.125044740289e+04 
       8.052873477372e-03       2.141888008022e+04 
       8.178052350647e-03       2.158355210801e+04 
       8.303298568705e-03       2.174451013170e+04 
       8.428609834802e-03       2.190180547886e+04 
       8.553983996657e-03       2.205547653613e+04 
       8.679419036961e-03       2.220558028338e+04 
       8.804913064646e-03       2.235216198216e+04 
       8.930464306861e-03       2.249526783592e+04 
       9.056071101568e-03       2.263494463596e+04 
       9.181731890719e-03       2.277122852796e+04 
       9.307445213960e-03       2.290415367906e+04 
       9.433209702824e-03       2.303376359406e+04 
       9.559024075348e-03       2.316008692244e+04 
       9.684887131112e-03       2.328315235970e+04 
       9.810797746641e-03       2.340299642554e+04 
       9.936754871142e-03       2.351964716513e+04 
       1.006275752256e-02       2.363313235200e+04 
       1.018880478393e-02       2.374348718184e+04 
       1.031489579996e-02       2.385073340981e+04 
       1.044102977392e-02       2.395492305266e+04 
       1.056720596466e-02       2.405607262266e+04 
       1.069342368396e-02       2.415423689093e+04 
       1.081968229395e-02       2.424943295937e+04 
       1.094598120481e-02       2.434171568473e+04 
       1.107231987254e-02       2.443112029429e+04 
       1.119869779696e-02       2.451767890017e+04 
       1.132511451983e-02       2.460144160537e+04 
       1.145156962305e-02       2.468243404901e+04 
       1.157806272708e-02       2.476069837219e+04 
       1.170459348938e-02       2.483626489876e+04 
       1.183116160300e-02       2.490917324448e+04 
       1.195776679527e-02       2.497945419727e+04 
       1.208440882659e-02       2.504713810372e+04 
       1.221108748925e-02       2.511225438149e+04 
       1.233780260641e-02       2.517483526808e+04 
       1.246455403111e-02       2.523490233888e+04 
       1.259134164533e-02       2.529249992742e+04 
       1.271816535917e-02       2.534764013268e+04 
       1.284502511008e-02       2.540035955666e+04 
       1.297192086208e-02       2.545069132025e+04 
       1.309885260513e-02       2.549866367222e+04 
       1.322582035451e-02       2.554428709794e+04 
       1.335282415023e-02       2.558761731046e+04 
       1.347986405652e-02       2.562867123152e+04 
       1.360694016134e-02       2.566748090199e+04 
       1.373405257595e-02       2.570408592306e+04 
       1.386120143448e-02       2.573850271911e+04 
       1.398838689360e-02       2.577076329108e+04 
       1.411560913219e-02       2.580090957537e+04 
       1.424286835102e-02       2.582893471380e+04 
       1.437016477249e-02       2.585491724704e+04 
       1.449749864041e-02       2.587884359424e+04 
       1.452091028622e-02       2.588301976071e+04 
       1.462487021981e-02       2.590075709388e+04 
       1.475227979672e-02       2.592067770831e+04 
       1.487972767807e-02       2.593863715008e+04 
       1.500721419151e-02       2.595465869211e+04 
       1.513473968537e-02       2.596874728151e+04 
       1.526230452854e-02       2.598095636525e+04 
       1.538990911046e-02       2.599130204489e+04 
       1.551755384102e-02       2.599980822656e+04 
       1.564523915065e-02       2.600649495138e+04 
       1.577296549024e-02       2.601139149140e+04 
       1.590073333121e-02       2.601451864287e+04 
       1.602854316559e-02       2.601590986068e+04 
       1.615639550603e-02       2.601560352559e+04 
       1.628429088595e-02       2.601360686013e+04 
       1.641222985960e-02       2.600992877295e+04 
       1.654021300222e-02       2.600461519482e+04 
       1.666824091019e-02       2.599766018109e+04 
       1.679631420114e-02       2.598912523240e+04 
       1.692443351418e-02       2.597901753474e+04 
       1.705259951009e-02       2.596731986198e+04 
       1.718081287151e-02       2.595412735942e+04 
       1.730907430318e-02       2.593940798414e+04 
       1.743738453221e-02       2.592321735270e+04 
       1.756574430830e-02       2.590555925765e+04 
       1.769415440405e-02       2.588647360697e+04 
       1.782261561525e-02       2.586596018396e+04 
       1.795112876119e-02       2.584405556104e+04 
       1.807969468499e-02       2.582077714970e+04 
       1.820831425394e-02       2.579613861897e+04 
       1.833698835989e-02       2.577016122616e+04 
       1.846571791958e-02       2.574289357053e+04 
       1.859450387508e-02       2.571428191839e+04 
       1.872334719419e-02       2.568444390358e+04 
       1.885224887084e-02       2.565335752691e+04 
       1.898120992562e-02       2.562100425694e+04 
       1.911023140614e-02       2.558749018126e+04 
       1.923931438760e-02       2.555275251481e+04 
       1.936845997324e-02       2.551688942123e+04 
       1.949766929488e-02       2.547982541352e+04 
       1.962694351347e-02       2.544167919193e+04 
       1.975628381964e-02       2.540240563067e+04 
       1.988569143426e-02       2.536204295584e+04 
       2.001516760905e-02       2.532060979180e+04 
       2.014471362724e-02       2.527813685318e+04 
       2.027433080412e-02       2.523463841524e+04 
       2.040402048780e-02       2.519009475327e+04 
       2.053378405983e-02       2.514457732594e+04 
       2.066362293590e-02       2.509808684302e+04 
       2.079353856663e-02       2.505064566588e+04 
       2.092353243825e-02       2.500229737459e+04 
       2.105360607341e-02       2.495294792910e+04 
       2.118376103199e-02       2.490274202076e+04 
       2.131399891191e-02       2.485168971018e+04 
       2.144432134998e-02       2.479968533512e+04 
       2.157473002279e-02       2.474687409099e+04 
       2.170522664760e-02       2.469326987063e+04 
       2.183581298330e-02       2.463882714728e+04 
       2.196649083135e-02       2.458348057269e+04 
       2.209726203679e-02       2.452743766564e+04 
       2.222812848926e-02       2.447065006445e+04 
       2.235909212405e-02       2.441308888677e+04 
       2.249015492322e-02       2.435478128411e+04 
       2.262131891669e-02       2.429577666389e+04 
       2.275258618342e-02       2.423604854711e+04 
       2.288395885259e-02       2.417565458360e+04 
       2.301543910487e-02       2.411458113061e+04 
       2.314702917366e-02       2.405281744949e+04 
       2.327873134643e-02       2.399047159177e+04 
       2.341054796603e-02       2.392746895255e+04 
       2.354248143216e-02       2.386384959388e+04 
