# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.104861464495e+03       6.373484525861e-02       1.664266693124e-06       3.619444189665e+00       4.905287956282e-08       3.331247053306e-03      -1.732398576061e-05 
    3       1.031483197797e+03       1.145476226880e-01       3.330645967523e-06       4.682381217493e+00       6.074309417366e-08       3.363208788859e-03      -2.220369718102e-05 
    4       9.614703595032e+02       1.426938343275e-01       5.555692585854e-06       4.961841910166e+00       7.070955156152e-08       3.308718698425e-03      -2.368159213442e-05 
    5       9.060862711197e+02       1.419536185529e-01       8.342007456398e-06       4.758286568768e+00       7.938143891291e-08       3.220718370738e-03      -2.252293065328e-05 
    6       8.648210326936e+02       1.188832564772e-01       1.169266313296e-05       4.291646719324e+00       8.699235318141e-08       3.116930837901e-03      -1.937032126967e-05 
    7       8.348765762054e+02       8.599337958318e-02       1.561109530511e-05       3.714632344303e+00       9.368206477047e-08       3.005746285136e-03      -1.493253304963e-05 
    8       8.144318202070e+02       5.484875521322e-02       2.010098257515e-05       3.118078920728e+00       9.953697829219e-08       2.893039561677e-03      -9.919359852211e-06 
    9       8.014406607993e+02       3.225129723319e-02       2.516611928991e-05       2.557745314145e+00       1.047234115280e-07       2.782859607845e-03      -4.982055112271e-06 
   10       7.939014831100e+02       1.962873657673e-02       3.081028646285e-05       2.070437050645e+00       1.094229432714e-07       2.677252923873e-03      -6.537626327759e-07 
   11       7.911005361799e+02       1.466413425131e-02       3.703712588638e-05       1.677667625363e+00       1.108737110538e-07       2.581315250166e-03       2.661006814878e-06 
   12       7.916006032684e+02       1.369252626818e-02       4.385002239340e-05       1.389055044360e+00       1.146005758550e-07       2.478670165626e-03       4.818672157069e-06 
   13       7.946356533539e+02       1.364513778691e-02       5.125199888633e-05       1.204118187159e+00       1.179473391127e-07       2.386273109834e-03       5.788257651995e-06 
   14       8.000268931790e+02       1.295386738120e-02       5.924562822484e-05       1.112339588743e+00       1.209585976269e-07       2.302348808667e-03       5.666286052516e-06 
   15       8.070307479894e+02       1.146407795500e-02       6.783296537203e-05       1.096131838722e+00       1.236679567784e-07       2.220914322094e-03       4.657990759647e-06 
   16       8.151350829978e+02       9.791727707663e-03       7.701550236994e-05       1.133912104792e+00       1.261058072290e-07       2.147241378381e-03       3.059729583625e-06 
   17       8.244789613390e+02       8.621583965548e-03       8.679414778280e-05       1.203539143116e+00       1.282988454610e-07       2.078166760158e-03       1.174414685642e-06 
   18       8.344459804266e+02       8.283001185634e-03       9.716921926718e-05       1.286033447154e+00       1.302201348596e-07       2.012378636491e-03      -7.015918365389e-07 
   19       8.451747000379e+02       8.623333612667e-03       1.081405327553e-04       1.368838678415e+00       1.320387751162e-07       1.952317050521e-03      -2.345522175278e-06 
   20       8.567055685486e+02       9.267360580163e-03       1.197073240704e-04       1.439703837755e+00       1.336155792125e-07       1.895957368663e-03      -3.566531477929e-06 
   21       8.688829791663e+02       9.913348802001e-03       1.318684982364e-04       1.494433346542e+00       1.350381701073e-07       1.842213617479e-03      -4.273309409749e-06 
   22       8.812918748821e+02       1.029741170854e-02       1.446225354921e-04       1.532257195402e+00       1.362813429580e-07       1.787764544154e-03      -4.463089124448e-06 
   23       8.940811835396e+02       1.049271381825e-02       1.579677886797e-04       1.555365672317e+00       1.374154372281e-07       1.734086001486e-03      -4.186366622346e-06 
   24       9.074027272469e+02       1.071280262073e-02       1.719023889026e-04       1.567845205204e+00       1.383920892746e-07       1.682981740949e-03      -3.565356310041e-06 
   25       9.211619310552e+02       1.115864690597e-02       1.864245942269e-04       1.574213437874e+00       1.392659674920e-07       1.635577611968e-03      -2.727801516940e-06 
   26       9.350900555781e+02       1.201506680723e-02       2.015326728759e-04       1.579634389132e+00       1.400152773233e-07       1.591296456704e-03      -1.836406573658e-06 
   27       9.491845001858e+02       1.329043203107e-02       2.172252111403e-04       1.588211142288e+00       1.406670912375e-07       1.549112217923e-03      -1.021387350882e-06 
   28       9.634564351609e+02       1.492618923909e-02       2.335010409438e-04       1.603429592528e+00       1.411851164264e-07       1.507096666870e-03      -4.056687715738e-07 
   29       9.779611073837e+02       1.687561950164e-02       2.503596014419e-04       1.625893585998e+00       1.416429326221e-07       1.466212297080e-03      -4.097104550176e-08 
   30       9.926809777217e+02       1.907876836227e-02       2.678007407474e-04       1.654883553796e+00       1.420611327104e-07       1.427848337759e-03       5.678830250298e-08 
   31       1.007527358668e+03       2.147014661639e-02       2.858247215850e-04       1.688799505915e+00       1.423593343388e-07       1.392599763861e-03      -1.047987951944e-07 
   32       1.022534752532e+03       2.404476439994e-02       3.044324789409e-04       1.724524372776e+00       1.425826215191e-07       1.360299249054e-03      -4.834836063831e-07 
   33       1.037721167940e+03       2.681626893474e-02       3.236255480209e-04       1.757670742875e+00       1.427595139642e-07       1.329603342164e-03      -9.988274359512e-07 
   34       1.053061559319e+03       2.979196515297e-02       3.434060081243e-04       1.783396082253e+00       1.428534333603e-07       1.298528045827e-03      -1.545122942958e-06 
   35       1.068602481435e+03       3.294488424588e-02       3.637763293658e-04       1.798988112281e+00       1.428964182821e-07       1.267446654687e-03      -2.052638460502e-06 
   36       1.084376054153e+03       3.623114469416e-02       3.847395576187e-04       1.802120596096e+00       1.428952661959e-07       1.237330653140e-03      -2.450416570703e-06 
   37       1.100377717961e+03       3.961210927779e-02       4.062991698371e-04       1.790653829455e+00       1.428106008874e-07       1.208895985996e-03      -2.666863724037e-06 
   38       1.116613777506e+03       4.310747659601e-02       4.284582714839e-04       1.764350598594e+00       1.426810876425e-07       1.182370067411e-03      -2.693827883338e-06 
   39       1.133060888731e+03       4.676005201809e-02       4.512201944839e-04       1.723742506687e+00       1.425427494328e-07       1.157492541131e-03      -2.552805885089e-06 
   40       1.149647321242e+03       5.062235919883e-02       4.745887488436e-04       1.669700978269e+00       1.423822807806e-07       1.133459699500e-03      -2.281950659987e-06 
   41       1.166287407615e+03       5.474623592316e-02       4.985678445399e-04       1.603384873217e+00       1.421524070393e-07       1.109249624876e-03      -1.931706818338e-06 
   42       1.183009662912e+03       5.914600333298e-02       5.231601403624e-04       1.526005491561e+00       1.418759011813e-07       1.085041146053e-03      -1.542700321999e-06 
   43       1.199862471571e+03       6.382438874039e-02       5.483680033847e-04       1.439025208510e+00       1.415783669792e-07       1.061311283412e-03      -1.161419608186e-06 
   44       1.216876577223e+03       6.878242296996e-02       5.741938783665e-04       1.344245372724e+00       1.412524145623e-07       1.038445950581e-03      -8.475913880687e-07 
   45       1.234067550779e+03       7.401933568511e-02       6.006398952616e-04       1.243280834326e+00       1.408700244539e-07       1.016722043375e-03      -6.601871078893e-07 
   46       1.251448802987e+03       7.953248346408e-02       6.277065507518e-04       1.135752674311e+00       1.404556257105e-07       9.963062458617e-04      -6.041681832358e-07 
   47       1.269019048907e+03       8.531719852715e-02       6.553936333113e-04       1.020586587922e+00       1.400377180247e-07       9.772125977162e-04      -6.627228811938e-07 
