# Matter power spectrum P(k) at redshift z=0
# for k=1.02929e-05 to 163.123 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029287750344e-05       4.820214985430e+01 
       2.306408629449e-05       1.054452318683e+02 
       3.587926851773e-05       1.619062006506e+02 
       4.877231764121e-05       2.181240557465e+02 
       6.177767675510e-05       2.744221993220e+02 
       7.493064049969e-05       3.310537359213e+02 
       8.826766647070e-05       3.882426329455e+02 
       1.018267001798e-04       4.462007785215e+02 
       1.156475176793e-04       5.051370785482e+02 
       1.297720899936e-04       5.652632650584e+02 
       1.442449735085e-04       6.267981026962e+02 
       1.591137304203e-04       6.899708169699e+02 
       1.744293831923e-04       7.550244477098e+02 
       1.902469066377e-04       8.222187113692e+02 
       2.066257606630e-04       8.918330421170e+02 
       2.236304657464e-04       9.641695997165e+02 
       2.413312217319e-04       1.039556490447e+03 
       2.598045683113e-04       1.118350686566e+03 
       2.791340823782e-04       1.200941164923e+03 
       2.994111029921e-04       1.287751864113e+03 
       3.207354686251e-04       1.379244083331e+03 
       3.432162433231e-04       1.475918547020e+03 
       3.669723980279e-04       1.578316379719e+03 
       3.921334003248e-04       1.687018350409e+03 
       4.188396502575e-04       1.802642880071e+03 
       4.472426819870e-04       1.925840588091e+03 
       4.775050320361e-04       2.057285816328e+03 
       5.097996567796e-04       2.197664409286e+03 
       5.443087681852e-04       2.347657243020e+03 
       5.812219526636e-04       2.507919932594e+03 
       6.207334498025e-04       2.679059997531e+03 
       6.630385030907e-04       2.861613768401e+03 
       7.083287599620e-04       3.056027710549e+03 
       7.567867966029e-04       3.262646039150e+03 
       8.085799700491e-04       3.481711508624e+03 
       8.638539422511e-04       3.713377696444e+03 
       9.227263530985e-04       3.957728035340e+03 
       9.852812088663e-04       4.214794464607e+03 
       1.051564566164e-03       4.484554843326e+03 
       1.121582007779e-03       4.766903146667e+03 
       1.195298226958e-03       5.061585972143e+03 
       1.272638789155e-03       5.368129576927e+03 
       1.353493875101e-03       5.685767484216e+03 
       1.437723582752e-03       6.013504685182e+03 
       1.525164222992e-03       6.350190939648e+03 
       1.615635004368e-03       6.694626243825e+03 
       1.708944557460e-03       7.045691086090e+03 
       1.804896870773e-03       7.402391429856e+03 
       1.903296360590e-03       7.763811672248e+03 
       2.003951944269e-03       8.129035134084e+03 
       2.106680107721e-03       8.497097911980e+03 
       2.211307043597e-03       8.867028166399e+03 
       2.317669987009e-03       9.237928614577e+03 
       2.425617896367e-03       9.609050315679e+03 
