# Matter power spectrum P(k) at redshift z=0
# for k=1.02199e-05 to 3.15018 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.021991804297e-05       5.188261675248e+01 
       2.304766060174e-05       1.141979244512e+02 
       3.591964846061e-05       1.756433164651e+02 
       4.887022718413e-05       2.368041022409e+02 
       6.193430144611e-05       2.980276209106e+02 
       7.514764370805e-05       3.595836275876e+02 
       8.854721263279e-05       4.217092461689e+02 
       1.021714854384e-04       4.846276544945e+02 
       1.160608084295e-04       5.485577792749e+02 
       1.302577699763e-04       6.137203779015e+02 
       1.448076002207e-04       6.803424441390e+02 
       1.597586017343e-04       7.486607611507e+02 
       1.751626151880e-04       8.189250018933e+02 
       1.910755237485e-04       8.914007027862e+02 
       2.075577992944e-04       9.663720250602e+02 
       2.246750925348e-04       1.044144671958e+03 
       2.424988675370e-04       1.125048675964e+03 
       2.611070788388e-04       1.209441183892e+03 
       2.805848859590e-04       1.297709116624e+03 
       3.010253954297e-04       1.390271703834e+03 
       3.225304140825e-04       1.487582548364e+03 
       3.452111888425e-04       1.590131211175e+03 
       3.691890973607e-04       1.698443818958e+03 
       3.945962401644e-04       1.813082461594e+03 
       4.215758686450e-04       1.934642941458e+03 
       4.502825645530e-04       2.063750314658e+03 
       4.808820669705e-04       2.201052147167e+03 
       5.135506242722e-04       2.347208566127e+03 
       5.484737351740e-04       2.502880118622e+03 
       5.858441400349e-04       2.668712804364e+03 
       6.258589381185e-04       2.845322404370e+03 
       6.687157461844e-04       3.033279575195e+03 
       7.146078850834e-04       3.233097556607e+03 
       7.637186864546e-04       3.445224691395e+03 
       8.162151459841e-04       3.670042346157e+03 
       8.722412970730e-04       3.907863772426e+03 
       9.319118118529e-04       4.158930072619e+03 
       9.953064202863e-04       4.423391872974e+03 
       1.062465739061e-03       4.701270868166e+03 
       1.133389000440e-03       4.992402947448e+03 
       1.208033972377e-03       5.296377346044e+03 
       1.286319098729e-03       5.612501526027e+03 
       1.368127616604e-03       5.939792452313e+03 
       1.453313185115e-03       6.277127383638e+03 
       1.541706429070e-03       6.623325520692e+03 
       1.633121778025e-03       6.977242688435e+03 
       1.727364052624e-03       7.337824940715e+03 
       1.824234383734e-03       7.704074673814e+03 
       1.923535207279e-03       8.074985368232e+03 
       2.025074226164e-03       8.449510962994e+03 
       2.128667349636e-03       8.826607288760e+03 
       2.234140701852e-03       9.205315375419e+03 
       2.341331836795e-03       9.584820172116e+03 
       2.450090313039e-03       9.964439862786e+03 
       2.560277778049e-03       1.034356311799e+04 
       2.671767695883e-03       1.072159455317e+04 
       2.784444830747e-03       1.109796258779e+04 
       2.898204576336e-03       1.147216205749e+04 
       3.012952199900e-03       1.184378738135e+04 
       3.128602051783e-03       1.221251709150e+04 
       3.245076776337e-03       1.257806740884e+04 
       3.362306548369e-03       1.294015768605e+04 
       3.480228350440e-03       1.329852458987e+04 
       3.598785299762e-03       1.365295348847e+04 
       3.717926028777e-03       1.400328847030e+04 
       3.837604120291e-03       1.434940676267e+04 
       3.957777595873e-03       1.469119196009e+04 
       4.078408454916e-03       1.502852333122e+04 
       4.199462260944e-03       1.536129996536e+04 
       4.320907771403e-03       1.568945061240e+04 
       4.442716607051e-03       1.601293813196e+04 
       4.564862957136e-03       1.633172213712e+04 
       4.687323316714e-03       1.664575802276e+04 
       4.810076252734e-03       1.695501465767e+04 
       4.933102195753e-03       1.725947519777e+04 
       5.056383254454e-03       1.755913904848e+04 
       5.179903050404e-03       1.785400483124e+04 
       5.303646570765e-03       1.814407865198e+04 
       5.427600036914e-03       1.842936204411e+04 
       5.551750787151e-03       1.870985636000e+04 
       5.676087171887e-03       1.898559276818e+04 
       5.800598459900e-03       1.925659676540e+04 
       5.925274754384e-03       1.952288980864e+04 
       6.050106917693e-03       1.978450101549e+04 
       6.175086503802e-03       2.004144660441e+04 
       6.300205697611e-03       2.029375815293e+04 
       6.425457260353e-03       2.054148299898e+04 
       6.550834480407e-03       2.078464595339e+04 
       6.676331128951e-03       2.102327844162e+04 
       6.801941419907e-03       2.125741955760e+04 
       6.927659973742e-03       2.148709881538e+04 
       7.053481784690e-03       2.171235950894e+04 
       7.179402191059e-03       2.193324957102e+04 
       7.305416848282e-03       2.214979341120e+04 
       7.431521704439e-03       2.236202410321e+04 
       7.557712977998e-03       2.257000057438e+04 
       7.683987137549e-03       2.277376064174e+04 
       7.810340883324e-03       2.297334336096e+04 
       7.936771130349e-03       2.316878896949e+04 
       8.063274993037e-03       2.336013401643e+04 
       8.189849771111e-03       2.354741268747e+04 
       8.316492936717e-03       2.373067864610e+04 
       8.443202122605e-03       2.390998977441e+04 
       8.569975111304e-03       2.408537303410e+04 
       8.696809825173e-03       2.425686703692e+04 
       8.823704317262e-03       2.442450483874e+04 
       8.950656762904e-03       2.458834249075e+04 
       9.077665451979e-03       2.474840540209e+04 
       9.204728781784e-03       2.490475448653e+04 
       9.331845250456e-03       2.505740363628e+04 
       9.459013450906e-03       2.520641562651e+04 
       9.586232065214e-03       2.535180986181e+04 
       9.713499859452e-03       2.549363842886e+04 
       9.840815678893e-03       2.563193150957e+04 
       9.968178443576e-03       2.576673171872e+04 
       1.009558714420e-02       2.589807857177e+04 
       1.022304083833e-02       2.602600304598e+04 
       1.035053864686e-02       2.615054861637e+04 
       1.047807975072e-02       2.627175364977e+04 
       1.060566338788e-02       2.638965506306e+04 
       1.073328885053e-02       2.650428061784e+04 
       1.086095548239e-02       2.661569142553e+04 
       1.098866267638e-02       2.672389410308e+04 
       1.111640987226e-02       2.682895150079e+04 
       1.124419655460e-02       2.693089049577e+04 
       1.137202225078e-02       2.702973411868e+04 
       1.149988652918e-02       2.712553777000e+04 
       1.162778899750e-02       2.721831515702e+04 
       1.175572930116e-02       2.730811981356e+04 
       1.188370712187e-02       2.739500114865e+04 
       1.201172217622e-02       2.747894993830e+04 
       1.213977421446e-02       2.756001620056e+04 
