# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:(.)w_scf              19:(.)Om                 20:(.)Our                21:(.)Oscf               22:(.)OscfKin            23:(.)Otot               24:phi_scf               25:phi'_scf              26:V_scf                 27:V'_scf                28:V''_scf               29:gr.fac. D             30:gr.fac. f             31:beta                  32:dbeta/dz           
       9.326212236469e+13       8.682421076941e-26       4.965841071680e-09       1.878257081744e+22       1.420207732981e+04       1.522813010224e-10       1.324515873765e+18       2.866748752120e-09       2.081614238068e+44       2.055121525708e+33       1.084873111068e+34       4.789892829068e+43       1.596630943023e+43       9.672461440185e+43       3.527849665122e+44       3.637351571102e+20       3.637351571102e+20       1.000000000000e+00       3.657710464240e-11       8.642262770516e-01       1.031039277853e-24       1.031039277853e-24       8.642262770882e-01       1.568700000104e-03       2.892027001523e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       7.403617142096e-07       1.433565615564e+01       7.071067812069e-08       0.000000000000e+00 
       9.261382558559e+13       8.804400410651e-26       5.000401870348e-09       1.852235031783e+22       1.420207732981e+04       1.533472701296e-10       1.315308712776e+18       2.886815993384e-09       2.024334923495e+44       2.012561203626e+33       1.062406046007e+34       4.658090416733e+43       1.552696805578e+43       9.406306476697e+43       3.430774612964e+44       3.488257040590e+20       3.488257040590e+20       1.000000000000e+00       3.683314437489e-11       8.642262770514e-01       1.016754941409e-24       1.016754941409e-24       8.642262770882e-01       1.568700000114e-03       2.851959892347e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       8.143978856305e-07       1.303241468694e+01       7.071067812069e-08       0.000000000000e+00 
       9.197003533823e+13       8.928093432020e-26       5.034962669015e-09       1.826573500672e+22       1.420207732981e+04       1.544207010205e-10       1.306165553899e+18       2.907023705338e-09       1.968631751041e+44       1.970882280038e+33       1.040404260257e+34       4.529914781972e+43       1.509971593991e+43       9.147475239958e+43       3.336370753358e+44       3.345273876413e+20       3.345273876413e+20       1.000000000000e+00       3.709097638550e-11       8.642262770512e-01       1.002668505305e-24       1.002668505305e-24       8.642262770883e-01       1.568700000124e-03       2.812447887330e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       8.884340570514e-07       1.194638012970e+01       7.071067812069e-08       0.000000000000e+00 
       9.133072029615e+13       9.053524216646e-26       5.069523467682e-09       1.801267493654e+22       1.420207732981e+04       1.555016459276e-10       1.297085952233e+18       2.927372871275e-09       1.914461350357e+44       1.930066501713e+33       1.018858118164e+34       4.405266127557e+43       1.468422042519e+43       8.895766204615e+43       3.244564583695e+44       3.208151574353e+20       3.208151574353e+20       1.000000000000e+00       3.735061322019e-11       8.642262770510e-01       9.887772277595e-25       9.887772277595e-25       8.642262770883e-01       1.568700000133e-03       2.773483295859e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       9.624702284723e-07       1.102742781203e+01       7.071067812069e-08       0.000000000000e+00 
       9.069584935070e+13       9.180717178365e-26       5.105903255753e-09       1.776312085170e+22       1.420207732981e+04       1.565901574491e-10       1.288069465971e+18       2.947864481374e-09       1.861781544502e+44       1.890095993437e+33       9.977581836237e+33       4.284047402356e+43       1.428015800785e+43       8.650983390640e+43       3.155284623920e+44       3.076649898336e+20       3.076649898336e+20       1.000000000000e+00       3.761206751272e-11       8.642262770507e-01       9.750784049753e-25       9.750784049753e-25       8.642262770884e-01       1.568700000143e-03       2.735058533868e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.036506399893e-06       1.023975439688e+01       7.071067812069e-08       0.000000000000e+00 
       9.006539160943e+13       9.309697074004e-26       5.142283043824e-09       1.751702417901e+22       1.420207732981e+04       1.576862885513e-10       1.279115656377e+18       2.968499532744e-09       1.810551317112e+44       1.850953250179e+33       9.770952159484e+33       4.166164225771e+43       1.388721408590e+43       8.412936210745e+43       3.068461360880e+44       2.950538459538e+20       2.950538459538e+20       1.000000000000e+00       3.787535198530e-11       8.642262770505e-01       9.615693706149e-25       9.615693706149e-25       8.642262770884e-01       1.568700000153e-03       2.697166122367e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.110542571314e-06       9.557104103757e+00       7.071067812069e-08       0.000000000000e+00 
       8.943931639467e+13       9.440489008196e-26       5.176843842492e-09       1.727433701824e+22       1.420207732981e+04       1.587900925711e-10       1.270224087762e+18       2.989279029473e-09       1.760730780460e+44       1.812621129426e+33       9.568601658187e+33       4.051524814257e+43       1.350508271419e+43       8.181439321990e+43       2.984027194198e+44       2.829596312749e+20       2.829596312749e+20       1.000000000000e+00       3.814047944918e-11       8.642262770503e-01       9.482474952811e-25       9.482474952811e-25       8.642262770884e-01       1.568700000163e-03       2.659798685980e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.184578742735e-06       8.959785097272e+00       7.071067812069e-08       0.000000000000e+00 
       8.881759324197e+13       9.573118438272e-26       5.213223630562e-09       1.703501213279e+22       1.420207732981e+04       1.599016232191e-10       1.261394327470e+18       3.010203982679e-09       1.712281144399e+44       1.775082843677e+33       9.370441713216e+33       3.940039909853e+43       1.313346636618e+43       7.956312481476e+43       2.901916383644e+44       2.713611569281e+20       2.713611569281e+20       1.000000000000e+00       3.840746280532e-11       8.642262770501e-01       9.351101860053e-25       9.351101860053e-25       8.642262770885e-01       1.568700000172e-03       2.622948951512e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.258614914156e-06       8.432738915079e+00       7.071067812069e-08       0.000000000000e+00 
       8.820019189868e+13       9.707611179211e-26       5.249603418633e-09       1.679900294048e+22       1.420207732981e+04       1.610209345817e-10       1.252625945849e+18       3.031275410558e-09       1.665164686165e+44       1.738321953091e+33       9.176385540687e+33       3.831622710690e+43       1.277207570230e+43       7.737380406005e+43       2.822064997944e+44       2.602381025737e+20       2.602381025737e+20       1.000000000000e+00       3.867631504494e-11       8.642262770498e-01       9.221548857428e-25       9.221548857428e-25       8.642262770885e-01       1.568700000182e-03       2.586609746535e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.332651085577e-06       7.964253419797e+00       7.071067812069e-08       0.000000000000e+00 
       8.758708232243e+13       9.843993408668e-26       5.287802196108e-09       1.656626350451e+22       1.420207732981e+04       1.621480811237e-10       1.243918516235e+18       3.052494338431e-09       1.619344721000e+44       1.702322358283e+33       8.986348153958e+33       3.726188803409e+43       1.242062934470e+43       7.524472635610e+43       2.744410865009e+44       2.495709808011e+20       2.495709808011e+20       1.000000000000e+00       3.894704925025e-11       8.642262770496e-01       9.093790728754e-25       9.093790728754e-25       8.642262770885e-01       1.568700000191e-03       2.550773997989e-04       3.680090060397e-08      -0.000000000000e+00       0.000000000000e+00       1.406687256997e-06       7.545082187175e+00       7.071067812069e-08       0.000000000000e+00 
