#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_scf             23:theta_scf          
       7.090225601838e+00       1.551095742041e-05      -1.658205542244e-03      -9.718713763056e-08       3.922317830163e-08       9.805794575408e-08       1.021070887858e-13       1.961158915082e-08      -1.243654156683e-03      -9.718713763046e-08       6.010715145165e-01       6.968872496703e-01      -1.658205542196e-03      -1.457363756515e-07       2.008513483926e-04      -1.243654156753e-03       1.756292167108e-42      -1.659913940807e-03      -1.458866850273e-07       2.010580578697e-04       3.333325967300e-01      -1.576769343924e-11      -3.132806394199e-20 
       7.090226329409e+00       1.551095903260e-05      -1.658205880686e-03      -9.718716736827e-08       3.922319045995e-08       9.805797614987e-08       1.021071416625e-13       1.961159522997e-08      -1.243654410515e-03      -9.718716736808e-08       6.010715145105e-01       6.968872493616e-01      -1.658205880592e-03      -1.457364204265e-07       2.008513895044e-04      -1.243654410656e-03       7.573546450101e-42      -1.659914279551e-03      -1.458867298483e-07       2.010580990237e-04       3.333325967298e-01      -3.153537870745e-11      -9.887506787655e-20 
       7.090227056981e+00       1.551096064479e-05      -1.658206219129e-03      -9.718719710599e-08       3.922320261827e-08       9.805800654567e-08       1.021071945393e-13       1.961160130913e-08      -1.243654664347e-03      -9.718719710571e-08       6.010715145046e-01       6.968872490528e-01      -1.658206218988e-03      -1.457364652014e-07       2.008514306163e-04      -1.243654664559e-03       1.988484998018e-41      -1.659914618294e-03      -1.458867746693e-07       2.010581401777e-04       3.333325967297e-01      -4.730305576957e-11      -2.034045630855e-19 
       7.090234332697e+00       1.551097676669e-05      -1.658209603559e-03      -9.718749448369e-08       3.922332420149e-08       9.805831050374e-08       1.021077233076e-13       1.961166210075e-08      -1.243657202669e-03      -9.718749448246e-08       6.010715144454e-01       6.968872459659e-01      -1.658209602947e-03      -1.457369129520e-07       2.008518417351e-04      -1.243657203589e-03       2.527798206019e-39      -1.659918005732e-03      -1.458872228800e-07       2.010585517182e-04       3.333325967281e-01      -2.049793219553e-10      -4.439238796691e-18 
       7.090241608414e+00       1.551099288859e-05      -1.658212987992e-03      -9.718779186198e-08       3.922344578498e-08       9.805861446245e-08       1.021082520782e-13       1.961172289249e-08      -1.243659740994e-03      -9.718779185981e-08       6.010715143862e-01       6.968872428789e-01      -1.658212986909e-03      -1.457373607034e-07       2.008522528543e-04      -1.243659742621e-03       9.818210335041e-39      -1.659921393173e-03      -1.458876710915e-07       2.010589632592e-04       3.333325967266e-01      -3.626547706307e-10      -1.230597387882e-17 
       7.090248884130e+00       1.551100901050e-05      -1.658216372429e-03      -9.718808924087e-08       3.922356736872e-08       9.805891842180e-08       1.021087808510e-13       1.961178368436e-08      -1.243662279322e-03      -9.718808923776e-08       6.010715143269e-01       6.968872397919e-01      -1.658216370875e-03      -1.457378084557e-07       2.008526639739e-04      -1.243662281655e-03       2.433950892442e-38      -1.659924780618e-03      -1.458881193040e-07       2.010593748006e-04       3.333325967251e-01      -5.203293986442e-10      -2.387235502866e-17 
       7.090289283841e+00       1.551109853024e-05      -1.658235165176e-03      -9.718974050049e-08       3.922424248901e-08       9.806060622252e-08       1.021117169968e-13       1.961212124450e-08      -1.243676373882e-03      -9.718974049213e-08       6.010715139959e-01       6.968872226486e-01      -1.658235161007e-03      -1.457402946960e-07       2.008549467961e-04      -1.243676380142e-03       3.782018592709e-37      -1.659943590068e-03      -1.458906080994e-07       2.010616599646e-04       3.333325967166e-01      -1.395831102754e-09      -1.517548323081e-16 
       7.090329683552e+00       1.551118805001e-05      -1.658253958027e-03      -9.719139177836e-08       3.922491761724e-08       9.806229404311e-08       1.021146532110e-13       1.961245880862e-08      -1.243690468520e-03      -9.719139176476e-08       6.010715136638e-01       6.968872055041e-01      -1.658253951243e-03      -1.457427809639e-07       2.008572296310e-04      -1.243690478707e-03       1.424066066713e-36      -1.659962399621e-03      -1.458930969225e-07       2.010639451413e-04       3.333325967081e-01      -2.271307577958e-09      -3.921165549750e-16 
       7.090370083263e+00       1.551127756978e-05      -1.658272750983e-03      -9.719304307472e-08       3.922559275332e-08       9.806398188331e-08       1.021175894930e-13       1.961279637666e-08      -1.243704563237e-03      -9.719304305587e-08       6.010715133314e-01       6.968871883593e-01      -1.658272741583e-03      -1.457452672600e-07       2.008595124787e-04      -1.243704577350e-03       3.563479176418e-36      -1.659981209279e-03      -1.458955857737e-07       2.010662303309e-04       3.333325966996e-01      -3.146758761091e-09      -7.463511157298e-16 
       7.090410482975e+00       1.551136708957e-05      -1.658291544044e-03      -9.719469438964e-08       3.922626789720e-08       9.806566974300e-08       1.021205258429e-13       1.961313394860e-08      -1.243718658033e-03      -9.719469436555e-08       6.010715129989e-01       6.968871712144e-01      -1.658291532028e-03      -1.457477535842e-07       2.008617953394e-04      -1.243718676072e-03       7.217589350507e-36      -1.660000019042e-03      -1.458980746531e-07       2.010685155334e-04       3.333325966910e-01      -4.022184630459e-09      -1.214949073537e-15 
